annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
962	53502	2508	17043	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	What is being done now ?	1	clara							hoetswang jwale	Sesotho	ho-ets-w-a-ng jwale	sm17-t^p_do-p-m^in-wh av	hoetswang jwale	2709211	pfx-v-sfx-sfx-sfx av	45.5	48.062	45.5	48.062	Sesotho	JUL	sme	u16	NA	NA	NA	Grandmother	17043	0	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	adult	Brother	OCDS
962	53504	2508	17043	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	What is being done ?	1	clara							hoetswang	Sesotho	ho-ets-w-a-ng	sm17-t^p_do-p-m^in-wh	hoetswang	2709213	pfx-v-sfx-sfx-sfx	51.2	53.345	51.2	53.345	Sesotho	JUL	sme	u18	NA	NA	NA	Grandmother	17043	0	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	adult	Brother	OCDS
962	53506	2508	17043	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	What is being done now ?	1	clara							hoetswang jwale	Sesotho	ho-ets-w-a-ng jwale	sm17-t^p_do-p-m^in-wh av	hoetswang jwale	2709215	pfx-v-sfx-sfx-sfx av	57.6	60.122	57.6	60.122	Sesotho	JUL	sme	u20	NA	NA	NA	Grandmother	17043	0	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	adult	Brother	OCDS
962	53771	2509	17052	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	You will be full during the day	1	clara							utlakhora motSehare	Sesotho	u-tla-khor-a motSehare	sm2s-t^f1-fill_belly-m^in av	utlakhora motSehare	2709480	pfx-pfx-v-sfx av	3602.4	3.604.879	3602.4	3.604.879	Sesotho	JUL	sme	u49	NA	NA	NA	Grandmother	17052	60	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	adult	Brother	OCDS
962	53772	2509	17052	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Get out	1	clara							ake utswe	Sesotho	ake u-tsw-e	ij sm2s-t^p_go_out-m^s	ake utswe	2709481	ij pfx-v-sfx	3.604.879	3.606.822	3.604.879	3.606.822	Sesotho	JUL	sme	u50	NA	NA	NA	Grandmother	17052	60	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	adult	Brother	OCDS
962	53773	2509	17052	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	wash the thing first the dish	1	clara							ake uhlatswe senyee pele sekotlolo	Sesotho	ake u-hlatsw-e se-nyee pele se-kotlolo	ij sm2s-t^p_wash-m^s 7-word av 7-dish(7,8)	ake uhlatswe senyee pele sekotlolo	2709482	ij pfx-v-sfx pfx-pfx av pfx-n	3.606.822	3.610.649	3.606.822	3.610.649	Sesotho	JUL	sme	u51	NA	NA	NA	Grandmother	17052	60	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	adult	Brother	OCDS
962	53786	2509	17052	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Where is the rat ?	1	clara							tadi e hokae	Sesotho	tadi e ho-kae	mouse(9,10) cp9 17-wh	tadi e hokae	2709495	n cop pfx-pfx	3639.5	3.641.461	3639.5	3.641.461	Sesotho	JUL	sme	u64	NA	NA	NA	Grandmother	17052	60	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	adult	Brother	OCDS
965	53808	2509	17052	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Hleso what are you doing ?	965	clara							Hleso untseuetsang	Sesotho	Hleso u-ntse-u-ets-a-ng	a_name sm2s-t^pp-sm2s-do-m^pt-wh	Hleso untseuetsang	2709517	??? pfx-pfx-pfx-v-sfx-sfx	3.694.396	3.697.117	3.694.396	3.697.117	Sesotho	JUL	sme	u86	NA	NA	NA	Grandmother	17052	61	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	adult	Brother	OCDS
962	53835	2509	17052	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	This	1	clara							ena	Sesotho	ena	9	ena	2709544	d	3774	3.775.791	3774	3.775.791	Sesotho	JUL	sme	u113	NA	NA	NA	Grandmother	17052	62	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	adult	Brother	OCDS
962	53836	2509	17052	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Sit down	1	clara							dula fatSe	Sesotho	dul-a fatSe	sit-m^i loc	dula fatSe	2709545	v-sfx loc	3775.2	3.778.923	3775.2	3.778.923	Sesotho	JUL	sme	u114	NA	NA	NA	Grandmother	17052	62	3c_63.58	030800ef.cha	Neuoe	Neuoe-030800ef.cha	adult	Brother	OCDS
