utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
16381	MOT	mother	viens				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16383	MOT	mother	ça tu y donnes à papa				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16394	MOT	mother	Chl elle va à l'école				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16396	MOT	mother	tu fais un bisou à papa				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16397	MOT	mother	tu te dépêches si il te plaît				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16429	MOT	mother	tu me donnes titine@c ma chérie				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16431	MOT	mother	mets là dans ton camion			%sit  la mère d' Ana parle à Ger 137515352	Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16448	MOT	mother	oui tombé oui				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16450	MOT	mother	c'est des choses qui arrivent hein				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16452	MOT	mother	aïe bobo				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16453	MOT	mother	où ça?				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16455	MOT	mother	c'est pas grave ma chérie				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16458	MOT	mother	euh				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16460	MOT	mother	on va pousser la table par là				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16463	MOT	mother	plus de place				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16464	MOT	mother	c'est tombé?				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16465	MOT	mother	bah remets www y dans ton camion				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16467	MOT	mother	remets dans le camion				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16469	MOT	mother	ouais				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16471	MOT	mother	oui là				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16472	MOT	mother	tu viens mettre le sac?				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16477	MOT	mother	on monte pas debout sur un camion qui roule ma chérie				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16478	MOT	mother	viens me faire voir				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16479	MOT	mother	où tu as fait bobo petit coeur?				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16482	MOT	mother	ah là là là là				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16483	MOT	mother	tiens				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16484	MOT	mother	prends Titine				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16485	MOT	mother	prends doudou et viens me me montrer				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16487	MOT	mother	oh mon enfant				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16488	MOT	mother	tu t'es fait bobo où?				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
16492	MOT	mother	c'est pas la première fois que tu montes debout sur ce camion qui roule				Anais/239a.cha	1	clara	1	Lara		Anais	mother	Keychild	CDS
