annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	34907	2477	16838	880	Noi	NA	NA	Adult	Adult	Adult	question	What?	1	emilie							e	Sesotho	e	wh	e	2690616	wh	471	471.761	471	471.761	Sesotho	NOI	sme	u90	NA	NA	NA	Speaker	16838	7	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	adult	Keychild	CDS
1	34919	2477	16838	880	Noi	NA	NA	Adult	Adult	Adult	default	Say fat cakes arrived	1	emilie							ere makwenya aileafihla	Sesotho	er-e ma-kwenya a-ile-a-fihl-a	say-m^i 6-fatcakes(5,6) sm1-t^ps-sm6-arrive-m^pt	ere makwenya aileafihla	2690628	v-sfx pfx-n pfx-pfx-pfx-v-sfx	507.539	510.61	507.539	510.61	Sesotho	NOI	sme	u102	NA	NA	NA	Speaker	16838	8	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	adult	Keychild	CDS
1	34962	2477	16838	880	Noi	NA	NA	Adult	Adult	Adult	default	In there	1	emilie							ka mono	Sesotho	ka mono	pr loc	ka mono	2690671	pr loc	830.093	834.637	830.093	834.637	Sesotho	NOI	sme	u145	NA	NA	NA	Speaker	16838	13	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	adult	Keychild	CDS
1	34964	2477	16838	880	Noi	NA	NA	Adult	Adult	Adult	question	Where are those fat cakes?	1	emilie							a kae makwenya ale	Sesotho	a kae ma-kwenya ale	cp6 wh 6-fatcakes(5,6) 6	a kae makwenya ale	2690673	cop wh pfx-n d	835.2	836.749	835.2	836.749	Sesotho	NOI	sme	u147	NA	NA	NA	Speaker	16838	13	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	adult	Keychild	CDS
1	34965	2477	16838	880	Noi	NA	NA	Adult	Adult	Adult	default	Bring so I taste one	1	emilie							tlisa keutlwe leleng	Sesotho	tl-is-a ke-utlw-e le-le-ng	come-c-m^i sm1s-t^p_taste-m^s 5-5-aj	tlisa keutlwe leleng	2690674	v-sfx-sfx pfx-v-sfx pfx-pfx-aj	836.749	839.636	836.749	839.636	Sesotho	NOI	sme	u148	NA	NA	NA	Speaker	16838	13	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	adult	Keychild	CDS
1	34967	2477	16838	880	Noi	NA	NA	Adult	Adult	Adult	question	You hid it?	1	emilie							ulepatile	Sesotho	u-le-pat-il-e	sm2s-om5-hide-t^pf-m^in	ulepatile	2690676	pfx-pfx-v-sfx-sfx	840.2	841.415	840.2	841.415	Sesotho	NOI	sme	u150	NA	NA	NA	Speaker	16838	14	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	adult	Keychild	CDS
1	34970	2477	16838	880	Noi	NA	NA	Adult	Adult	Adult	question	You don't know?	1	emilie							ha utsebe	Sesotho	ha u-tseb-e	ng sm2s-t^p_know-m^x	ha utsebe	2690679	ng pfx-v-sfx	843.6	844.701	843.6	844.701	Sesotho	NOI	sme	u153	NA	NA	NA	Speaker	16838	14	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	adult	Keychild	CDS
1	34972	2477	16838	880	Noi	NA	NA	Adult	Adult	Adult	default	Uncover so we see	1	emilie							phuthulla rebone	Sesotho	phuth-ull-a re-bon-e	wrap-rv-m^i sm1p-t^p_see-m^s	phuthulla rebone	2690681	v-sfx-sfx pfx-v-sfx	845.477	848.363	845.477	848.363	Sesotho	NOI	sme	u155	NA	NA	NA	Speaker	16838	14	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	adult	Keychild	CDS
1	34974	2477	16838	880	Noi	NA	NA	Adult	Adult	Adult	default	There is one left here it is	1	emilie							hosetse leleng ke lena	Sesotho	ho-sets-e le-le-ng ke lena	sm17-remain/t^pf-m^in 5-5-aj cp 5	hosetse leleng ke lena	2690683	pfx-v-sfx pfx-pfx-aj cop d	852.2	854.234	852.2	854.234	Sesotho	NOI	sme	u157	NA	NA	NA	Speaker	16838	14	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	adult	Keychild	CDS
1	34976	2477	16838	880	Noi	NA	NA	Adult	Adult	Adult	default	Give me a little	1	emilie							ntswepelele	Sesotho	n-tswepel-el-e	om1s-break_piece-ap-m^i	ntswepelele	2690685	pfx-v-sfx-sfx	854.891	859.975	854.891	859.975	Sesotho	NOI	sme	u159	NA	NA	NA	Speaker	16838	14	10b_77.16	020500ef.cha	Litlhare	Litlhare-020500ef.cha	adult	Keychild	CDS
