%mor:	?|dix–huit ?|dix–neuf
%mor:	pro:obj|te$v:poss|avoir&PRES&2s part|oublier-PP&m ?|dix–neuf
%mor:	n|vingt&m n|cinq&m
%mor:	co|ah co|bon ?
%mor:	?|ame ?|ame
%mor:	?|ame
%mor:	co|chut ?|ame v|parler-PRES&SUB&13s neg|pas
%mor:	co|chut ?|ame v|arrêter-PRES&SUB&13s prep|de v|parler-INF
%mor:	?|ame
%mor:	part|taire-PP&m v:mdl|pouvoir&PRES&12s v|rester-INF prep|à n|côté&m
	adv|mais part|taire-PP&m v|parler-PRES&SUB&2s neg|pas
%mor:	co|ouais=yes
%mor:	part|taire-PP&m v:mdl|savoir&IMPF&12s
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s pro:y|y v:mdl|aller&INF prep|à
	n|pied&m adv:place|d'ici
%mor:	pro:sub|on v|prendre-FUT&3s det:art|le&m&sg n|bus&m
%mor:	v|prendre-INF det:poss|mon&m&sg n|doudou&m=blankie
%mor:	prep|de&les n|fois&f prep|que n|porcinet&m=piglet adv|soit
	det:art|un&m&sg n|peu&m
%mor:	co|chut co|chut
%mor:	?|mmh
%mor:	co|chut
%mor:	?|tim det:art|le$pro|autre&sg n|jour&m pro:sub|il
	v:aux|avoir&PRES&3s part|dormir-PP&m prep|avec
%mor:	n|dessin&m prep|pour n|papa&m ?|ame ?
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|un&m&sg n|dessin&m
	prep|pour n|papa&m prep|pour pro:dem|ce n|soir&m ?
%mor:	co|oui=yes
%mor:	adv|tellement adv|doucement
%mor:	v:mdl|falloir&PRES&3s v|dire-INF det:art|un&m&sg ?|ptit n|peu&m
	prep|plus n|fort&m prep|sinon pro:dem|ça v|devenir-PRES&3s
	pro|un&m&sg adv|peu
%mor:	pro:dem|ça pro:obj|me n|souffle&m prep|dans det:art|les&pl
	n|oreille&f-PL
%mor:	n|comment&m pro:dem|ça conj|si$n|écrit&m ?
%mor:	adv|comme pro:dem|ça ?
%mor:	adv|alors ?|vas–y ?|e
%mor:	co|eh adv|ben v|commencer-PRES&SUB&13s prep|par det:art|un&m&sg ?|e
%mor:	co|bah co|non=no
%mor:	?|m
%mor:	?|m adv|comme ?|amélie
%mor:	?|i
%mor:	det:poss|ta&f&sg n|tête&f
%mor:	?|l
%mor:	?|i
%mor:	?|e
%mor:	v|arrêter-IMP&2s v|calmer-IMP&2s pro|toi&sg ?|ame
%mor:	part|taire-PP&m neg|ne$v:poss|avoir&PRES&2s neg|pas part|faire-PP&m
	prep|de n|dessin&m-PL prep|pour n|papa&m
