%mor:	part|taire-PP&m det:art|les&pl re#v|mettre-PRES&12s prep|dans
	det:poss|ton&m&sg n|cartable&m adv|parce adv|que prep|sinon
	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|les v|oublier-INF
%mor:	co|ah n|super&m co|merci v|regarder-IMP&2s ?|anouk
%mor:	v|regarder-IMP&2s
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&IMPF&12s part|oublier-PP&f
	det:art|le$pro|autre&sg n|jour&m
%mor:	co|ouais=yes n|tien&m-PL pro:sub|je v:mdl|aller&PRES&1s
	pro:obj|te$v|amener-INF det:poss|ton&m&sg n|sac&m adv|comme
	pro:dem|ça part|taire-PP&m v:mdl|aller&PRES&2s v:mdl|pouvoir&INF
	v|montrer-INF prep|à ?|aliyah
%mor:	prep|de&le n|café&m ?
%mor:	conj|et pro:dem|ça pro:rel|que$v:int|est–ce prep|que
	pro:dem|ce$v:aux|être&PRES&3s ?|anouk ?
%mor:	prep|dans det:poss|ta&f&sg n|main&f ?
%mor:	co|boh pro:dem|ce$v:aux|être&PRES&3s prep|de&les adj|petit&m-PL
%mor:	prep|de&les adj|petit&m-PL n|pois&m
%mor:	?|anouk v:int|est–ce adv|que
%mor:	prep|à ?|marius
%mor:	prep|de&les adj|petit&m-PL n|pois&m
%mor:	?|anouk v:int|est–ce adv|que part|taire-PP&m v:mdl|aller&PRES&2s
	v|manger-INF prep|à det:art|la&f&sg n|cantine&f prep|à
	det:art|le$n|école&f ?
%mor:	co|oui=yes n|mai&m-PL pro:dem|ce$v:aux|être&PRES&3s neg|pas
	det:art|la&f&sg adj|même&m=same n|cantine&f ?|anouk
%mor:	pro:obj|vous v:mdllex|aller&IMP&2p neg|pas prep|dans
	det:art|la&f&sg adj|même&m=same n|école&f
%mor:	pro|toi&sg pro:sub|tu v:mdl|aller&PRES&2s prep|dans det:art|la&f&sg
	adj|même&m=same n|école&f prep|que ?|alexandre
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ton&m&sg n|copain&m
	?|alexandre ?
%mor:	part|taire-PP&m n|peu&m-PL v:mdl|aller&INF v|regarder-INF ?|arthur
	adv|si pro:sub|il pro:y|y v:aux|avoir&PRES&3s n|rien&m pro:int|qui
	v|brûler-PRES&SUB&13s prep|dans co|la n|cuisine&f
%mor:	co|non=no adv|mais part|taire-PP&m v:mdl|savoir&PRES&12s adv|quand
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les n|insecte&m-PL
	pro:int|qui pro:refl|se v|mettre-PRES&SUB&3p prep|dessus pro:sub|ils
	v|brûler-PRES&3p conj|et pro:dem|ça v|sentir-PRES&3s neg|pas
	adv|très co|bon
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s num|huit n|an&m-PL ?|anouk ?
%mor:	co|ben n|oui&m adv|mais part|taire-PP&m v:aux|avoir&PRES&2s
	det:gen|quel&m&sg n|âge&m ?
%mor:	co|non=no neg|pas adv|encore
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s det:gen|quel&m&sg n|âge&m
	?|anouk ?
