utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee
4013	FAT	father	Arthur tu te prépares ?			 	Anae/2428.cha	BR1	clara				Anae	adult	Other child
4018	FAT	father	xxx .			 	Anae/2428.cha	BR1	clara				Anae	adult	Other child
4196	FAT	father	tu viens avec moi Ael ?			 	Anae/2428.cha	BRO	clara				Anae	adult	Other child
4198	FAT	father	on va à la poste .			 	Anae/2428.cha	BRO	clara				Anae	adult	Other child
4221	FAT	father	tu viens Arthur ?			 	Anae/2428.cha	BR1	clara				Anae	adult	Other child
8180	FAT	father	< xxx .			 	Anae/2626.cha	BRO	clara	BRO	Lara		Anae	adult	Other child
11734	FAT	father	< Ael .			 	Anae/2123.cha	BRO	clara				Anae	adult	Other child
12599	FAT	father	génial .			 	Anae/2123.cha	O	clara	O	Lara		Anae	adult	Other child
12600	FAT	father	merci les gars xxx c'est ça ?			 	Anae/2123.cha	O	clara	O	Lara		Anae	adult	Other child
16078	FAT	father	t(u) as fini toi ?			 	Anae/317.cha	BR1	clara		Lara		Anae	adult	Other child
16079	FAT	father	même le bureau et tout ?			 	Anae/317.cha	BR1	clara		Lara		Anae	adult	Other child
16082	FAT	father	d'accord j'irai voir après .			 	Anae/317.cha	BR1	clara		Lara		Anae	adult	Other child
16101	FAT	father	< non pas avec ça .			 	Anae/317.cha	COU	clara		Lara		Anae	adult	Other child
16103	FAT	father	donne leur de l'eau ouais mais un tout petit peu hein .			 	Anae/317.cha	COU	clara		Lara		Anae	adult	Other child
16121	FAT	father	ben ramasse les .			 	Anae/317.cha	BR1	clara		Lara		Anae	adult	Other child
16294	AUN	Aunt Relative	c'était bien ?	com la mère de COU s'adresse à COU		com la mère de COU s'adresse à COU 	Anae/317.cha	COU	clara		Lara		Anae	adult	Other child
