%mor:	n|laisse&f det:art|le&m&sg adv:place|là
	n|bichette&f=term_of_endearment
%mor:	adv|parce adv|que part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|te
	v|brûler-INF adv|puis part|taire-PP&m v:mdl|aller&PRES&3s pro:obj|me
	pro:obj|le v|renverser-INF
%mor:	co|merci ?|ana
%mor:	co|ohlàlà
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|cadeau&m prep|pour
	pro|moi&sg ?
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi ?
%mor:	co|oh n|super&m
%mor:	n|super&m
%mor:	co|ouais=yes pro:sub|on v:mdl|aller&PRES&3s v|regarder-INF
	det:art|le&m&sg n|livre adv|si part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	v|tenir-IMP&2s
%mor:	co|oui=yes pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|regarder-INF
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le v|regarder-INF ?
%mor:	v|attendre-IMP&2s
%mor:	adv|parce adv|que pro:sub|je v:mdl|vouloir&PRES&12s
	pro:obj|me$v|asseoir&INF
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|enlever-INF pro:dem|ça
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s pro|toi&sg pro:int|qui
	n|lis&m
%mor:	adv|alors
%mor:	?|arielle
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|écrire-PP&m
%mor:	?|arielle
%mor:	det:art|la&f&sg adj|petit&f n|sirène&f
%mor:	det:art|le&m&sg n|poisson&m ?|arielle
%mor:	adv|d'accord
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|qui ?
%mor:	n|polochon&m
%mor:	det:art|une&f&sg n|méduse&f ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi
%mor:	det:art|un&m&sg n|coquillage&m
%mor:	det:art|un&m&sg n|coquillage&m
%mor:	co|oui=yes pro:sub|on det:art|le&m&sg n|lit&m
%mor:	det:art|le&m&sg n|coquillage&m
%mor:	adv|encore det:art|un&m&sg n|coquillage&m
%mor:	co|oui=yes
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|on v|prendre-PRES&3s prep|dans det:art|le$n|ordre&m
%mor:	pro:sub|on v|prendre-PRES&3s prep|à det:art|le$n|endroit&m
	det:art|le&m&sg n|livre ?
%mor:	co|non=no
%mor:	co|bah adv|d'accord
%mor:	pro:dem|ce$v:aux|être&PRES&3s
%mor:	adv|encore det:art|un&m&sg n|coquillage&m
%mor:	adv:place|là
%mor:	co|oui=yes pro:y|y pro:y|en v:aux|avoir&PRES&3s n|plein&m prep|de
	adv|partout
%mor:	conj|et pro:dem|ça adv|alors pro:dem|ce$v:aux|être&PRES&3s
	pro:int|quoi ?
%mor:	co|oui=yes
%mor:	n|méduse&f
%mor:	n|méduse&f
%mor:	v|prendre-PRES&IMP&12s det:art|le&m&sg prep|à
	det:art|le$n|endroit&m det:art|le&m&sg n|livre
%mor:	pro:sub|on pro:y|y v:mdl|aller&PRES&3s n|oui&m n|mai&m-PL prep|dans
	det:art|le&m&sg adj|bon&m n|sens&m
%mor:	co|voilà adv|comme pro:dem|ça
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|non=no det:art|un&m&sg n|dauphin&m
%mor:	conj|et pro:dem|ça ?
%mor:	det:art|un&m&sg n|crabe&m
%mor:	conj|et pro:dem|ça ?
%mor:	det:art|un&m&sg n|crocodile&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|requin&m
	det:poss|ma&sg n|chéri&f adv|mais pro:dem|ça v:aux|avoir&PRES&3s
	det:art|le&m&sg adv|même n|nez&m adv|presque
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:sub|il
	v:aux|avoir&PRES&3s n|plein&m prep|de n|dent&f-PL ?|celuilà
%mor:	co|mh co|mh
%mor:	co|oui=yes
%mor:	co|non=no pro:sub|elles v:aux|être&PRES&3p neg|pas adv|comme
	pro:dem|ça
%mor:	pro:sub|elles v:aux|être&PRES&3p prep|en adv|long
%mor:	co|mh co|mh
%mor:	det:art|le&m&sg n|crabe&m
%mor:	pro:sub|il pro:obj|te n|pince&f adv|comme pro:dem|ça ?
%mor:	pro:sub|on n|lit&m co|allez
%mor:	conj|et pro:dem|ça ?
%mor:	n|hippocampe&m
