%mor:	co|chut
%mor:	pro:obj|te n|mets&m neg|pas n|devant&m
%mor:	conj|et pro:dem|ça pro:obj|te v|plaire-COND&3s pro|toi&sg prep|de
	v|prendre-INF pro:dem|ça
%mor:	v|arrêter-PRES&SUB&13s ?|ame v|taire-IMP&2s~pro|toi det:art|un&m&sg
	?|ptit n|peu&m
%mor:	pro:obj|te n|mets&m neg|pas adj|juste n|devant&m conj|si$pro:sub|il
	pro:obj|te v|plaire-PRES&3s
%mor:	v|mettre-IMP&2s~pro|toi adv:place|là n|mai&m-PL adv|si
	part|taire-PP&m v|voir&IMP&PRES&12s adv|bien
%mor:	v|mettre-IMP&2s~pro|toi adv|par adv:place|là adv:place|voilà
%mor:	co|chut
%mor:	co|chut
%mor:	?|roh v|attendre-IMP&2s
%mor:	det:art|une&f&sg n|orange
%mor:	co|bon co|allez ?|ame
%mor:	co|chut ?|ame
%mor:	co|non=no n|mai&m-PL ?|jte n|pose&f
%mor:	v:aux|avoir&PRES&3s neg|pas prep|de pro:refl|se v|tacher-INF
%mor:	v|arrêter-PRES&SUB&13s ?|ame part|taire-PP&m
	pro:obj|me$v|fatiguer-PRES&SUB&2s adv:place|là
%mor:	co|oui=yes co|oui=yes co|oui=yes n|mai&m-PL co|oh
%mor:	part|taire-PP&m n|ferme&f-PL det:poss|ta&f&sg n|bouche&f adv|comme
	part|dire-PP&m det:art|la&f&sg n|maîtresse&f
%mor:	n|ferme&f det:poss|ta&f&sg n|bouche&f
%mor:	?|roh v|arrêter-PRES&SUB&13s det:art|un&m&sg n|peu&m
%mor:	co|ah adv|mais v|taire-PRES&12s~pro|toi ?|ame
	pro:dem|ce$v:aux|être&PRES&3s
%mor:	co|hein part|taire-PP&m v|arrêter-PRES&SUB&2s det:art|un&m&sg
	n|peu&m adv:place|là prep|sinon pro:sub|je
	pro:obj|te$v|envoyer-PRES&SUB&13s prep|dans det:poss|ta&f&sg
	n|chambre&f
%mor:	co|non=no part|taire-PP&m pro:obj|te v|taire-IMP&2s det:art|un&m&sg
	?|ptit n|peu&m
%mor:	co|chut
%mor:	pro:obj|te$v|entendre-PRES&SUB&1s
%mor:	pro|toi&sg part|taire-PP&m v:mdl|aller&PRES&2s prep|dans
	det:poss|ta&f&sg v|chambrer-PRES&SUB&13s adv|parce adv|que
	pro:sub|je$pro:y|en v:aux|avoir&PRES&1s adv|marre co|hein
%mor:	prep|de pro:obj|te$v|entendre-INF prep|à n|côté&m pro:sub|on
	v:mdl|aller&PRES&3s n|rien&m n|pouvoir&m v:mdl|faire-INF pro:dem|ça
	v:mdl|aller&PRES&3s v|servir-INF prep|à n|rien&m
%mor:	co|allez co|zou=off_with_you
