%mor:	v:mdllex|faire-PRES&12s co|attention
%mor:	?|anaé v|venir-PRES&12s pro:y|en adj|bas&m
%mor:	adv|mais n|si&m
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|lire-INF prep|en
	adj|bas&m
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF det:art|un&m&sg
	n|livre conj|et pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|lire-INF
	prep|en n|bas&m pro|toutes&f&pl det:art|les&pl num|deux
%mor:	adv|d'accord ?
%mor:	co|allez v|venir-PRES&12s pro:sub|on v:mdl|aller&PRES&3s
	v|prendre-INF pro:sub|on v|prendre-PRES&3s prep|de&les n|livre-PL
	prep|pour v:mdl|aller&INF det:art|les&pl v|lire-INF prep|en
	adj|bas&m
%mor:	pro:dem|ça adv|d'accord
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|prendre-INF
	det:art|un&m&sg pro|autre&sg ?
%mor:	co|euh
%mor:	v|tenir-IMP&2s ?|hansel conj|et ?|gretel
%mor:	pro:dem|ça part|faire-PP&m n|longtemps&m pro:rel|que$pro:sub|on
	pro:sub|il$v:aux|avoir&PRES&3s neg|pas part|lire-PP&m
%mor:	adv:place|voilà
%mor:	co|allez pro:sub|on pro:y|y v:mdl|aller&PRES&3s
%mor:	part|taire-PP&m v|descendre-IMP&2s ?
%mor:	adv|ben pro:rel|que$v:int|est–ce part|taire-PP&m
	v:aux|avoir&PRES&2s part|faire-PP&m ?
%mor:	part|taire-PP&m pro:sub|tu$v:aux|être&PRES&2s n|cognée&f prep|avec
	det:art|le&m&sg n|livre ?
%mor:	v|tenir-IMP&2s v|venir-IMP&2s pro:sub|je v:mdl|aller&PRES&1s
	pro:obj|te
%mor:	co|hop
%mor:	adv|alors v:mdl|aller&PRES&2s pro:y|y
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:int|qui pro:refl|se
	v|passer-PRES&SUB&13s prep|dans pro:dem|ce n|livre ?
%mor:	adv|alors
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|hou pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s prep|à det:art|le$n|oeil&m ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&FUT&2s v|emmener-INF pro|toi&sg ?|anaé adv|comme
	n|jouet&m-PL ?
%mor:	?|dracula
