%mor:	co|oui=yes
%mor:	v|tenir-IMP&2s prep|de det:art|le$n|eau&f ?|arthur
%mor:	?|arthur prep|de det:art|le$n|eau&f
%mor:	adv|mais pro:sub|je$pro:y|en v:mdl|vouloir&PRES&12s neg|pas
%mor:	co|ben n|si&m
%mor:	adv|mais co|non=no part|taire-PP&m v:aux|avoir&PRES&2s
	dé#part|ménager-PP&m
%mor:	adv|mais n|si&m
%mor:	v|regarder-PRES&SUB&13s adv|comme pro:dem|ça conj|et
	adv:place|après pro:sub|il pro:y|y v:aux|avoir&PRES&3s ?|anaé
	pro:int|qui pro:refl|se v|mettre-PRES&3s n|derrière&m
%mor:	co|hé ?|arthur co|euh v|regarder-IMP&2s det:art|les&pl
	n|+n|play+n|mobil&m=playmobil adv|de ?|anaé
%mor:	?|arthur ?|arthur
%mor:	adv|mais co|non=no pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|pantalon&m
%mor:	co|non=no
