annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
926	23107	2459	16714	930	Masebina	NA	Female	Mother	Mother	Adult	default	Sister Manthabiseng turn in this direction	926	emilie							ausi Manthabiseng hetla ka nqena	Sesotho	ausi Manthabiseng hetl-a ka nqena	sister(1a,2a) a_name turn_head-m^i pr loc	ausi Manthabiseng hetla ka nqena	2678816	n ??? v-sfx pr loc	650.3	653.463	650.3	653.463	Sesotho	MMS	sme	u342	NA	NA	NA	Mother	16714	10	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
926	23112	2459	16714	930	Masebina	NA	Female	Mother	Mother	Adult	default	No	926	emilie							ee	Sesotho	ee	ij	ee	2678821	ij	659.8	660.844	659.8	660.844	Sesotho	MMS	sme	u347	NA	NA	NA	Mother	16714	10	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
926	23463	2459	16714	930	Masebina	NA	Female	Mother	Mother	Adult	question	What is making noise , women ?	926	emilie							hollang na basadi	Sesotho	ho-ll-a-ng na basadi	sm17-t^p_cry-m^in-wh q ij	hollang na basadi	2679172	pfx-v-sfx-sfx q ij	1.519.941	1531.23	1.519.941	1531.23	Sesotho	MMS	sme	u698	NA	NA	NA	Mother	16714	25	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
926	23473	2459	16714	930	Masebina	NA	Female	Mother	Mother	Adult	default	Water is making noise in his stomach	926	emilie							holla metsi a ka mpeng ho yena	Sesotho	ho-ll-a metsi a ka mpe-ng ho yena	sm17-t^p_cry-m^in water(6irg) cp6 pr belly(9,10)-lc pr 1	holla metsi a ka mpeng ho yena	2679182	pfx-v-sfx n cop pr n-sfx pr pn	1543.4	1.545.898	1543.4	1.545.898	Sesotho	MMS	sme	u708	NA	NA	NA	Mother	16714	25	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	23528	2459	16714	930	Masebina	NA	Female	Mother	Mother	Adult	default	Give me water	A	emilie							mphe metsi	Sesotho	m-ph-e metsi	om1s-give-m^i water(6irg)	mphe metsi	2679237	pfx-v-sfx n	1.630.793	1.634.477	1.630.793	1.634.477	Sesotho	MMS	sme	u763	NA	NA	NA	Mother	16714	27	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
926	23629	2459	16714	930	Masebina	NA	Female	Mother	Mother	Adult	default	It does not have bowels	926	emilie							ha ena mala	Sesotho	ha e-na ma-la	ng sm9-cp 6-bowel(5,6)	ha ena mala	2679338	ng pfx-pfx pfx-n	1888.7	1.890.699	1888.7	1.890.699	Sesotho	MMS	sme	u864	NA	NA	NA	Mother	16714	31	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
926	23633	2459	16714	930	Masebina	NA	Female	Mother	Mother	Adult	default	Certainly not I do not feel its bowels this thing	926	emilie							ache ha keutlwe mala a yona ntho ena	Sesotho	ache ha ke-utlw-e ma-la a yona ntho ena	ij ng sm1s-t^p_feel-m^x 6-bowel(5,6) 6 9 thing(9,10) 9	ache ha keutlwe mala a yona ntho ena	2679342	ij ng pfx-v-sfx pfx-n ps pn n d	1.897.324	1.900.654	1.897.324	1.900.654	Sesotho	MMS	sme	u868	NA	NA	NA	Mother	16714	31	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	23682	2459	16714	930	Masebina	NA	Female	Mother	Mother	Adult	default	She says that she is jumping	A	emilie							ore oaqhoma	Sesotho	o-r-e o-a-qhom-a	sm1-t^p_say-m^in sm1-t^p-jump-m^in	ore oaqhoma	2679391	pfx-v-sfx pfx-pfx-v-sfx	2022.8	2.024.109	2022.8	2.024.109	Sesotho	MMS	sme	u917	NA	NA	NA	Mother	16714	33	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	23985	2460	16724	930	Masebina	NA	Female	Mother	Mother	Adult	default	Water was not pressed out of mine	A	emilie							yaka ha yatlhotlwa	Sesotho	ya-ka ha ya-tlhotl-w-a	9-1s ng sm9/t^np-strain-p-m^x	yaka ha yatlhotlwa	2679694	ps-sfx ng pfx-v-sfx-sfx	2.965.421	2.976.248	2.965.421	2.976.248	Sesotho	MMS	sme	u50	NA	NA	NA	Mother	16724	49	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	23986	2460	16724	930	Masebina	NA	Female	Mother	Mother	Adult	default	It is playing with its mother	A	emilie							sebapala le mme wa sona	Sesotho	se-bapal-a le mme wa sona	sm7-t^p_play-m^in cj mother(1a,2a) 1 7	sebapala le mme wa sona	2679695	pfx-v-sfx cj n ps pn	2.976.248	2.979.327	2.976.248	2.979.327	Sesotho	MMS	sme	u51	NA	NA	NA	Mother	16724	49	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	24025	2460	16724	930	Masebina	NA	Female	Mother	Mother	Adult	default	H Poor Women help !	A	emilie							he joo basadi	Sesotho	he joo basadi	ij ij ij	he joo basadi	2679734	ij ij ij	3131	3.134.748	3131	3.134.748	Sesotho	MMS	sme	u90	NA	NA	NA	Mother	16724	52	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	24035	2460	16724	930	Masebina	NA	Female	Mother	Mother	Adult	default	Hey people!	A	emilie							helang batho	Sesotho	helang ba-tho	ij 2-person(1,2)	helang batho	2679744	ij pfx-n	3.189.005	3.195.948	3.189.005	3.195.948	Sesotho	MMS	sme	u100	NA	NA	NA	Mother	16724	53	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	24036	2460	16724	930	Masebina	NA	Female	Mother	Mother	Adult	question	I am exposed the behind by you?	A	emilie							kephetlwa ditono ke wena	Sesotho	ke-phetl-w-a di-tono ke wena	sm1s-t^p_expose-p-m^in 8-buttock(7,8) cp 2s	kephetlwa ditono ke wena	2679745	pfx-v-sfx-sfx pfx-n cop pn	3.195.948	3.200.147	3.195.948	3.200.147	Sesotho	MMS	sme	u101	NA	NA	NA	Mother	16724	53	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	24049	2460	16724	930	Masebina	NA	Female	Mother	Mother	Adult	question	What is being done to me ?	A	emilie							keetswa jwang ho nna	Sesotho	ke-ets-w-a jwang ho nna	sm1s-t^p_do-p-m^in wh pr 1s	keetswa jwang ho nna	2679758	pfx-v-sfx-sfx wh pr pn	3249.52	3.252.044	3249.52	3.252.044	Sesotho	MMS	sme	u114	NA	NA	NA	Mother	16724	54	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	24092	2460	16724	930	Masebina	NA	Female	Mother	Mother	Adult	default	God the child drank so much water	A	emilie							modimo ha anwa metsi ngwana	Sesotho	modimo ha a-nw-a metsi ngwana	ij ng sm1/t^np-drink-m^x water(6irg) child(1irg)	modimo ha anwa metsi ngwana	2679801	ij ng pfx-v-sfx n n	3.401.923	3407.88	3.401.923	3407.88	Sesotho	MMS	sme	u157	NA	NA	NA	Mother	16724	56	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	24117	2460	16724	930	Masebina	NA	Female	Mother	Mother	Adult	question	Hey women he is already here	A	emilie							helang basadi oseale teng	Sesotho	helang basadi o-se-a-le teng	ij ij sm1-t^se-sm1-cp loc	helang basadi oseale teng	2679826	ij ij pfx-pfx-pfx-pfx loc	3.501.831	3.509.531	3.501.831	3.509.531	Sesotho	MMS	sme	u182	NA	NA	NA	Mother	16724	58	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
A	24128	2460	16724	930	Masebina	NA	Female	Mother	Mother	Adult	default	Litlhare has not even seen me when I do this	A	emilie							Litlhare ebile ha asompone ha keetsa tjena	Sesotho	Litlhare ebile ha a-so-m-pon-e ha ke-ets-a tjena	a_name cj ng sm1-t^ny-om1s-see-m^x cd sm1s-t^p_do-m^in av	Litlhare ebile ha asompone ha keetsa tjena	2679837	??? cj ng pfx-pfx-pfx-v-sfx cd pfx-v-sfx av	3.523.912	3.526.378	3.523.912	3.526.378	Sesotho	MMS	sme	u193	NA	NA	NA	Mother	16724	58	1b_92.08	020100ab.cha	Litlhare	Litlhare-020100ab.cha	mother	Adult	ADS
