%mor:	co|non=no
%mor:	pro:sub|elle v:aux|avoir&PRES&3s adj|dû&m part|tomber-PP&m
%mor:	pro:sub|tu pro:y|y v|arriver-PRES&SUB&2s ?|ninette ?
%mor:	co|non=no ?
%mor:	v|tenir-IMP&2s
%mor:	part|taire-PP&m pro:obj|te$v|asseoir&IMP&2s adv:place|là ?
%mor:	co|non=no adv:place|là ?
%mor:	pro:sub|il pro:y|y v:aux|être&PRES&3s adv:place|là det:art|le&m&sg
	n|jeu&m ?
%mor:	pro:int|où pro:sub|elle pro:obj|me$v:poss|avoir&PRES&3s
	part|mettre-PP&m det:poss|mon&m&sg det:poss|mon&m&sg n|bloc&m ?
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|les v|coller-INF
	adv:place|dessus
%mor:	co|oui=yes pro:sub|je v|venir-PRES&12s pro:obj|le$v|ouvrir-INF
%mor:	co|oh adv:place|là adv:place|là
%mor:	co|oui=yes ?|ana
%mor:	pro:sub|je v|venir-IMP&2s
%mor:	co|hop
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ton&m&sg n|chocolat&m ?
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s adj|mi&m-PL=half
	pro:int|où det:poss|ton&m&sg n|chocolat&m ?
%mor:	co|mm
%mor:	v|venir-IMP&2s v|voir&INF pro|toi&sg
%mor:	part|taire-PP&m v|venir-IMP&2s ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|prendre-INF det:art|les&pl
	n|crayon&m-PL ?
%mor:	co|si n|si&m
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	det:art|un&m&sg n|ciseau&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s dé#v|couper-INF ?
%mor:	co|non=no
%mor:	adv|mais part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|un&m&sg
	n|ciseau&m
%mor:	v|venir-IMP&2s
%mor:	co|allez v|venir-IMP&2s
%mor:	part|taire-PP&m v|venir-IMP&2s ?
%mor:	v|venir-IMP&2s n|bichette&f=term_of_endearment
%mor:	v|regarder-PRES&SUB&13s prep|dans det:art|la&f&sg
	v|boiter-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg v|boiter-PRES&SUB&13s
	adj|magique
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg v|boiter-PRES&SUB&13s
	prep|de&le n|bricolage&m
%mor:	v|tenir-IMP&2s ?|nine
%mor:	part|taire-PP&m v|colorer-PRES&SUB&2s
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|on
	v|dessiner-PRES&SUB&13s ?
%mor:	co|non=no ?
%mor:	adv|d'accord
%mor:	part|taire-PP&m v|prendre-PRES&IMP&12s prep|que det:art|le&m&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	co|hein
%mor:	n|rose ?
