%mor:	co|bah co|oui=yes adv:place|là pro:dem|ce$v:exist|être&PRES&3s
	neg|pas adv|très adj|pratique v|regarder-PRES&SUB&13s
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s co|bonjour prep|à ?|aliyah ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	pro:obj|le$v|ouvrir-PRES&SUB&2s pro:dem|ça ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|super&m part|taire-PP&m
	v:aux|avoir&PRES&2s prep|vu n|chéri&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|écureuil&m
%mor:	co|wow
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s n|merci ?
%mor:	co|merci
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v:mdl|faire-INF ?|anaé ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là det:art|le&m&sg
	n|cadeau&m
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v:mdllex|faire-INF ?
%mor:	prep|de det:art|la&f&sg n|pâte&f prep|à v|modeler-INF conj|ou
	prep|de&le n|dessin&m ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|lire-INF det:art|la&f&sg
	n|momie&f adv|d'abord ?
%mor:	co|bah v|tenir-IMP&2s
%mor:	part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|aliyah
	det:art|le$n|histoire&f prep|de det:art|la&f&sg n|momie&f ?
%mor:	pro:sub|elle part|faire-PP&m n|peur&f co|hein
%mor:	co|attention
%mor:	adv|alors
%mor:	v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m
	v|dire-PRES&SUB&2s
%mor:	co|oh pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	co|ah co|bah co|oui=yes
%mor:	conj|et adv:place|là ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|vautour&m ?
%mor:	co|non=no det:art|le&m&sg n|vautour&m
%mor:	v|appuyer-IMP&2s neg|pas prep|dessus part|taire-PP&m
	v:mdl|aller&PRES&2s pro:obj|le$v|abîmer-INF=deteriorate
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|oiseau&m
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg
	n|statue&f pro:int|qui v:aux|être&PRES&3s part|tomber-PP&f
%mor:	co|han pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	det:art|le&m&sg n|serpent&m
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s adv|comment
	pro:dem|ça pro:refl|se$v|appeler-IMP&2s pro:dem|ça ?
%mor:	det:art|le&m&sg n|scarabée&m ?
%mor:	co|oui=yes
%mor:	co|ah co|ouh det:art|la&f&sg n|momie&f
%mor:	co|oh part|taire-PP&m part|luire&PP&m v:mdl|faire-PRES&12s
	det:art|un&m&sg n|bisou&m
%mor:	adv|parce prep|que ?|anaé pro:sub|elle det:art|le&m&sg n|lit&m
	adv|beaucoup co|hein det:art|la&f&sg n|momie&f adv|alors
	adv|forcément
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|un&m&sg adj|petit&m
	n|dessin&m conj|ou part|taire-PP&m v:mdl|faire-PRES&12s prep|de
	det:art|la&f&sg n|pâte&f prep|à v|modeler-INF ?
%mor:	co|oh co|pardon
%mor:	pro:sub|je pro:sub|je pro:sub|je det:art|le&m&sg n|mets&m
	adv:place|là det:art|la&f&sg n|momie&f adv|d'accord ?
%mor:	v:mdl|faire-PRES&12s adv|comme pro:dem|ça
%mor:	v:mdl|faire-PRES&12s adv|comme pro:dem|ça
%mor:	co|ouais=yes
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF det:art|le&m&sg
	n|thé&m
%mor:	part|taire-PP&m v:mdllex|faire-PRES&12s adv|doucement ?|anaé
	prep|avec pro:dem|ce n|livre
%mor:	pro:sub|elle v:aux|être&PRES&3s adv|trop adv:place|loin
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|dire-PP&m ?
%mor:	adv|alors v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v:mdl|faire-INF prep|de det:art|la&f&sg
	n|pâte&f prep|à v|modeler-INF det:art|un&m&sg adj|petit&m n|peu&m ?
%mor:	pro:sub|on n|montre&f prep|à ?|aliyah det:art|les&pl n|truc&m-PL
	prep|de n|pâte&f prep|à v|modeler-INF ?
%mor:	v|regarder-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF
	det:art|un&m&sg adj|petit&m n|peu&m prep|de n|place&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	adj|bleu&m ?
%mor:	det:art|le&m&sg n|gros&m n|pot&m=pot adj|bleu&m adv|comme
	pro:dem|ça ?
%mor:	co|oui=yes ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	pro:obj|le$v|ouvrir-PRES&SUB&2s conj|ou
	pro:dem|ce$v:exist|être&PRES&3s pro|moi&sg ?
%mor:	co|oui=yes co|oui=yes co|oui=yes pro:dem|ce$v:exist|être&PRES&3s
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|calendrier&m
	adj|spécial&m&sg n|peinture&f
%mor:	co|ah co|pardon
%mor:	conj|et part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|les
	det:art|les&pl n|moule-PL conj|et det:art|les&pl n|truc&m-PL ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv:place|là–dedans ?
%mor:	co|attention v|tomber-INF
%mor:	v|ramasser-PRES&SUB&13s det:art|la&f&sg n|boîte&f
	v|regarder-PRES&SUB&13s
%mor:	co|oui=yes v|regarder-IMP&2s pro:sub|on v:mdl|aller&PRES&3s
	re#v|lever-INF det:art|les&pl n|manche-PL det:art|un&m&sg
	adj|petit&m n|peu&m
%mor:	co|hop
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m det:art|un&m&sg
	n|trou&m ?
%mor:	v|tenir-IMP&2s det:art|les&pl n|ciseau&m-PL
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	co|oui=yes n|mai&m-PL pro:int|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|oui=yes
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s prep|de&le n|fromage&m co|merci
%mor:	co|mmh
%mor:	pro:sub|elle v|aimer-IMP&2s neg|pas pro:dem|ça det:art|le&m&sg
	n|fromage&m ?|aliyah
%mor:	part|taire-PP&m part|luire&PP&m v:mdl|faire-PRES&12s
	det:art|un&m&sg n|gâteau&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	?|aliyah pro:sub|elle v:mdl|vouloir&PRES&3s neg|pas
%mor:	co|hum
%mor:	v|attendre-IMP&2s v:mdl|falloir&IMP&2s neg|pas prep|en v|mettre-INF
	adv|partout co|hein
%mor:	v|regarder-IMP&2s part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas
	v:mdl|faire-INF det:art|un&m&sg n|bonhomme&m ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?|anaé ?
%mor:	part|taire-PP&m n|colle&f-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|gâteau&m prep|à
	pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro:rel|quoi pro:dem|ce
	n|gâteau&m ?
%mor:	co|ah co|bon
%mor:	co|merci
%mor:	co|mmh pro:sub|il v:aux|être&PRES&3s adv|très co|bon
%mor:	pro:sub|je v:mdllex|vouloir&PRES&12s adj|bien n|oui&m adv|si
	pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s adj|petit&m n|ours&m adj|brun&m
	adv|aussi pro:sub|il v:mdl|vouloir&PRES&3s prep|de&le n|gâteau&m
%mor:	co|attention v|regarder-IMP&2s ?|anaé part|taire-PP&m prep|en
	n|mets&m adv|partout adv:place|là prep|de&les adj|petit&m-PL
	n|bout&m-PL
%mor:	co|attention det:poss|ma&sg n|nénette&f
%mor:	co|ouais=yes
%mor:	co|hop
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s pro:dem|ce pro:rel|que$pro:sub|on
	v:mdl|aller&PRES&3s v:mdl|faire-INF
%mor:	pro:sub|on v:mdl|aller&PRES&3s det:art|un&m&sg n|peu&m co|la
	v|malaxer-INF pro:dem|ça v:aux|être&FUT&3s adv|plus adj|facile
%mor:	adv|d'accord ?
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|un&m&sg n|train&m ?
%mor:	co|wouah pro:sub|il v:aux|être&PRES&3s adv|très
	adj|beau&m&sg=pretty
%mor:	co|hop
%mor:	det:art|les&pl n|wagon&m-PL v:aux|être&PRES&3p pro:int|où
	det:art|les&pl n|wagon&m-PL ?
%mor:	co|ah n|tien&m-PL v|regarder-PRES&SUB&13s pro:rel|ce–que
	pro:sub|je$v:aux|avoir&IMPF&12s part|oublier-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour v:mdl|aller&INF prep|avec
	det:art|le$n|écureuil&m n|pot&m=pot prep|de n|nutella&m=nutella
%mor:	co|ouais=yes
%mor:	co|bon part|taire-PP&m pro:obj|nous v|raconter-PRES&SUB&2s
	pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?|anaé ?
%mor:	conj|et part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas
	v|chanter-INF det:art|une&f&sg n|chanson&f prep|de n|noël prep|à
	?|aliyah ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v|connaître-PRES&IMP&12s prep|comme n|chanson&f prep|de n|noël ?
%mor:	co|oui=yes
%mor:	part|taire-PP&m det:art|la&f&sg part|taire-PP&m det:art|la&f&sg
	v|chanter-PRES&SUB&2s prep|à ?|aliyah adj|petit&m n|papa&m n|noël ?
%mor:	pro:sub|je v:aux|être&PRES&1s adj|sûr&f pro:rel|que$pro:sub|elle
	co|la v|connaître-PRES&3s neg|pas ?|aliyah
%mor:	prep|avec
%mor:	neg|ne v|oublier-PRES&SUB&13s
%mor:	neg|ne v|oublier-IMP&2s neg|pas
%mor:	adv|mais
%mor:	v|chanter-IMP&2s ?|anaé adv|parce pro:rel|que prep|sinon ?|ael
	pro:sub|il v:mdl|aller&PRES&3s v|chanter-INF prep|à det:poss|ta&f&sg
	n|place&f
%mor:	adj|petit&m
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	n|laisse&f pro|moi&sg v|couper-INF
%mor:	det:art|le&m&sg pro:int|quoi ?
%mor:	part|taire-PP&m part|luire&PP&m v|dire-PRES&PASS&12s n|merci ?
%mor:	co|oh co|oh
%mor:	?|anaé part|taire-PP&m v|dire-PRES&PASS&12s co|merci prep|à
	det:poss|ton&m&sg n|frère&m ?
%mor:	co|bah co|hé
%mor:	v:mdllex|aller&PRES&2p v:mdl|aller&PRES&3s v|couper-INF
	det:poss|ta&f&sg n|pâte&f prep|à v|modeler-INF prep|avec
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|dans det:art|le$pro|autre&sg
	n|sens&m
%mor:	pro:dem|celui–là ?
%mor:	co|attention prep|de neg|pas v|couper-INF det:poss|tes&pl
	n|doigt&m-PL co|hein
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|quoi ?
%mor:	pro:sub|tu v:aux|avoir&PRES&2s part|mettre-PP&m adj|petit&m
	n|ours&m adj|brun&m n|mai&m-PL pro:sub|tu v:aux|avoir&PRES&2s
	part|dire-PP&m pro:sub|il v:aux|être&PRES&3s pro:int|quoi ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv|complètement prep|dans
	det:art|la&f&sg n|pâte&f prep|à v|modeler-INF
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	conj|ou adv|correctement ?
%mor:	co|oh
%mor:	co|pardon
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?
%mor:	prep|pour pro:int|quoi v:mdllex|faire-INF ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le$n|anniversaire&m
	prep|de&le n|père&m n|noël co|ah co|ouais=yes ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s det:gen|quel&m&sg n|âge&m
	pro|toi&sg ?
%mor:	conj|et det:art|le&m&sg n|père&m n|noël pro:sub|il
