utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
14776	MOT	mother	< vous allez jouer un petit peu dedans .			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14777	MOT	mother	hein on joue un petit peu dedans d'abord ?			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14780	MOT	mother	< il y a les livres les poupées la cuisine .			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14781	MOT	mother	et puis après on ira jouer dehors .			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14783	MOT	mother	hé tu sais les araignées à la campagne il y en a partout hein .			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14784	MOT	mother	c'est comme ça .			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14789	MOT	mother	Anaé ça va pas non ?			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14799	MOT	mother	tenez il y a les crêpes les filles là .			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14800	MOT	mother	vous voulez les crêpes ?			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14805	MOT	mother	ah ben si tu veux .			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14806	MOT	mother	je vais te chercher une barrette .			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14817	MOT	mother	qu'est-ce que tu as trouvé ?			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14818	MOT	mother	hein ?			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14820	MOT	mother	ah le [//] les [/] les [/] les billets ?	%act MOT met sa barrette à CHI		%act MOT met sa barrette à CHI 	Anae/317.cha	1	clara						Anae	mother	Keychild
14868	MOT	mother	< oui c'est pour mettre les sachets de thé .			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14869	MOT	mother	c'est quoi toutes ces affaires parterre là ?			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14870	MOT	mother	^ c'est tes affaires Anouk ?			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14874	MOT	mother	< et Anaé tu sais la petite poupée que Anouk elle avait oublié l'autre jour il faudrait lui rendre .			 	Anae/317.cha	1	clara						Anae	mother	Keychild
14875	MOT	mother	tu sais où elle est ?			 	Anae/317.cha	1	clara						Anae	mother	Keychild
