utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
275	BR1	Brother1	et c'est pour qui [>] ?			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
279	BR1	Brother1	< non (.) regarde !			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
283	BR1	Brother1	< non .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
295	BR1	Brother1	< t(u) es sûre ?	%act BR1 regarde la carte de CHI		%act BR1 regarde la carte de CHI 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
332	BR1	Brother1	oh moi je sais .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
334	BR1	Brother1	ouais .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
341	BR1	Brother1	< tu sais comme au ski .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
352	BR1	Brother1	allez à mon tour de piocher (.) Anaé ?			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
356	BR1	Brother1	< c'est pour qui ça ?	%act BR1 tend une carte à CHI		%act BR1 tend une carte à CHI 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
358	BR1	Brother1	non (.) je crois pas .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
359	BR1	Brother1	il a quoi sur ses bras ?	%sit CHI laisse tomber sa carte et se baisse pour la ramasser		%sit CHI laisse tomber sa carte et se baisse pour la ramasser 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
360	BR1	Brother1	il a comme toi .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
361	BR1	Brother1	il a des ...	%sit CHI ramasse la carte et s'approche de la planche de MOT		%sit CHI ramasse la carte et s'approche de la planche de MOT 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
363	BR1	Brother1	il a des brassards .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
541	BR1	Brother1	< quand t(u) as fait du poney .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
571	BR1	Brother1	< c'est [/] c'est beau ce qu'i(ls) font hein ?			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
573	BR1	Brother1	c'est le même que l'année dernière .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
628	BR1	Brother1	elles dansaient .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
669	BRO	Brother	< quoi ?	com BRO répond de loin		com BRO répond de loin 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
673	BRO	Brother	< quoi ?			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
710	BRO	Brother	la valise blanche .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
723	BRO	Brother	<c'est dans celle-là Anaé> [=! chuchote] !	%act BRO s'avance vers les jouets		%act BRO s'avance vers les jouets 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
725	BRO	Brother	<c'est dans celle-là> [=! chuchote] .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
740	BRO	Brother	on ouvre la valise d' Anaé ?	%act BRO s'approche		%act BRO s'approche 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
742	BRO	Brother	les habits de poupée !			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
743	BRO	Brother	c'est des habits de poupée .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
746	BRO	Brother	il y en a un dans le ...	%act BRO va voir dans les jouets et prend un bébé		%act BRO va voir dans les jouets et prend un bébé 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
747	BRO	Brother	xxx	%act BRO donne le bébé à CHI		%act BRO donne le bébé à CHI 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
749	BRO	Brother	il y en a pas dans la poussette .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
751	BRO	Brother	au bébé .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
756	BRO	Brother	oh ça c'est un collant pour les (.) bébés .	%act BRO sort un collant de la valise		%act BRO sort un collant de la valise 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
758	BRO	Brother	pour les bébés d' Anaé .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
759	BR1	Brother1	déjà le pantalon .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
761	BRO	Brother	on peut mettre (.) à Lala celui-là hein@i ?	%act BRO sort un habit de la malle		%act BRO sort un habit de la malle 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
764	BRO	Brother	on peut en mettre à Lala aussi .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
766	BR1	Brother1	trop grand et trop petit .			 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
772	BRO	Brother	< et des trucs à Lala .	%act BRO tend une peluche à MOT		%act BRO tend une peluche à MOT 	Anae/215.cha	1	clara				Anae	other child	Keychild	CDS
