%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s prep|pour pro:rel|qui ?
%mor:	co|non=no v|regarder-IMP&2s
%mor:	co|non=no
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	co|oh pro|moi&sg pro:sub|je v:mdl|savoir&PRES&12s
%mor:	co|ouais=yes
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s prep|comme prep|à&le n|ski&m
%mor:	v:mdl|aller&PRES&2p prep|à det:poss|mon&m&sg n|tour prep|de
	v|piocher-INF ?|anaé ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:rel|qui pro:dem|ça ?
%mor:	co|non=no pro:sub|je v|croire&PRES&12s neg|pas
%mor:	pro:sub|il v:aux|avoir&PRES&3s pro:int|quoi prep|sur
	det:poss|ses&pl n|bras&m ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s prep|comme pro|toi&sg
%mor:	pro:sub|il v:aux|avoir&PRES&3s prep|de&les
%mor:	pro:sub|il v:aux|avoir&PRES&3s prep|de&les n|brassard&m-PL
%mor:	adv|quand part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m
	prep|de&le n|poney&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ce$v:exist|être&PRES&3s
	adj|beau&m&sg=pretty pro:dem|ce pro:rel|que$pro:sub|ils
	v:mdl|faire-PRES&3p co|hein ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg adv|même prep|que
	det:art|le$n|année&f n|dernier&f
%mor:	pro:sub|elles v|danser-IMPF&3p
%mor:	pro:int|quoi ?
%mor:	pro:int|quoi ?
%mor:	det:art|la&f&sg n|valise&f adj|blanche&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|dans pro:dem|celle–là ?|anaé
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|dans pro:dem|celle–là
%mor:	pro:sub|on v|ouvrir-PRES&SUB&13s det:art|la&f&sg n|valise&f adv|de
	?|anaé ?
%mor:	det:art|les&pl n|habit&m-PL prep|de n|poupée&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|habit&m-PL prep|de
	n|poupée&f
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s det:art|un&m&sg
	prep|dans det:art|le&m&sg
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s neg|pas prep|dans
	det:art|la&f&sg n|poussette&f
%mor:	prep|à&le n|bébé&m
%mor:	co|oh pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|collant&m prep|pour det:art|les&pl n|bébé&m-PL
%mor:	prep|pour det:art|les&pl n|bébé&m-PL adv|de ?|anaé
%mor:	adv|déjà det:art|le&m&sg n|pantalon&m
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s v|mettre-INF prep|à ?|lala
	pro:dem|celui–là co|hein ?
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s prep|en v|mettre-INF prep|à ?|lala
	adv|aussi
%mor:	adv|trop adj|grand&m conj|et adv|trop adj|petit&m
%mor:	conj|et prep|de&les n|truc&m-PL prep|à ?|lala
%mor:	co|allez part|taire-PP&m det:art|le&m&sg n|mets&m prep|dans
	det:art|la&f&sg n|poussette&f det:art|le&m&sg n|bébé&m ?
%mor:	?|anaé
%mor:	?|ael pro:sub|il v:aux|être&PRES&3s part|déguiser-PP&m prep|en
	pro:int|quoi ?
%mor:	on|wouaf on|wouaf on|wouaf on|wouaf on|wouaf on|wouaf
%mor:	on|wouaf on|wouaf
%mor:	pro:sub|on v:mdl|aller&PRES&3s part|luire&PP&m v:mdl|faire-INF
	prep|à v|manger-INF ?
%mor:	part|taire-PP&m part|luire&PP&m v|donner-PRES&SUB&2s prep|à
	v|manger-INF
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|coucou=peekaboo ?|anaé co|coucou=peekaboo co|coucou=peekaboo
	?|anaé co|coucou=peekaboo co|coucou=peekaboo
%mor:	det:art|un&m&sg n|truc&m prep|de ?|télétubbies
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|essayer-INF ?|anaé ?
%mor:	det:art|la&f&sg n|tête&f prep|de ?|télétubbies ?
%mor:	co|na
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s co|topitoun
%mor:	?|anaé
%mor:	?|anaé v|regarder-PRES&SUB&13s ?|ael
%mor:	v|tenir-IMP&2s
