%mor:	det:poss|ta&f&sg n|fourchette&f conj|et det:poss|ton&m&sg
	n|couteau&m ?
%mor:	co|oui=yes det:poss|mon&m&sg n|ange&m
%mor:	?|qu'estce prep|que part|taire-PP&m v|chercher-PRES&SUB&2s ?
%mor:	det:poss|ton&m&sg n|couteau&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où ?
%mor:	conj|et det:poss|mon&m&sg n|gâteau&m pro:sub|il v:aux|être&PRES&3s
	pro:int|où ?
%mor:	v|attendre-IMP&2s pro:sub|je v|passer-IMP&2s pro|toi&sg
%mor:	v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|finir-PP&m ?
%mor:	adj|petit&f
%mor:	co|oui=yes pro:sub|je$v:aux|avoir&PRES&1s part|comprendre-PP&m
	adv|que part|taire-PP&m v:mdl|vouloir&IMPF&12s adv|que pro:sub|je
	v|prendre-PRES&SUB&13s det:art|le&m&sg n|couteau&m
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|cuillère&f=spoon
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça adv|que part|taire-PP&m
	v:mdl|vouloir&IMPF&12s ?
%mor:	conj|et adv|puis ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|couteau&m
	pro:dem|ça part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s
%mor:	pro:y|y v:aux|avoir&PRES&3s det:art|la&f&sg n|sou&m-PL n|tasse&f
%mor:	conj|et co|ouais=yes
%mor:	co|euh part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m
	adv:place|là ?
%mor:	v|tenir-IMP&2s adv|encore det:art|une&f&sg n|cuillère&f=spoon
%mor:	det:art|une&f&sg n|orange
%mor:	co|ouais=yes
%mor:	pro:dem|ça pro:dem|ce v:aux|être&PRES&3p det:art|les&pl
	n|fourchette&f-PL
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdl|vouloir&IMP&2s
	prep|de$pro|autre&sg ?
%mor:	adv|encore det:art|une&f&sg n|fourchette&f
%mor:	co|ah pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg
	n|fourchette&f prep|de det:art|la&f&sg n|poupée&f
%mor:	co|ouais=yes
%mor:	adv|ben pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	prep|avec det:poss|son&m&sg n|assiette&f
%mor:	conj|et pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon adv:place|là ?
