%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|marché&m adv:place|dessous ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|marché&m adv:place|dessous ?
%mor:	co|ohlàlà
%mor:	adv:place|là adv|aussi part|taire-PP&m v:aux|avoir&PRES&2s
	n|marché&m adv:place|dessous ?
%mor:	conj|et ?|qu'estce adv|que part|taire-PP&m v:mdl|faire-IMPF&12s ?
%mor:	part|taire-PP&m v|dormir-IMPF&12s ?
%mor:	part|taire-PP&m v:aux|avoir&IMPF&12s det:art|les&pl n|pied&m-PL
	prep|en det:art|le$n|air&m=air ?
%mor:	adv|comment part|taire-PP&m v:aux|avoir&PRES&2s
	v:mdl|faire-PRES&12s prep|pour pro:rel|que$pro:sub|elle pro:obj|te
	n|marche&f adv:place|dessus ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|canaille&f=scoundrel ?
%mor:	part|taire-PP&m n|étai&m-PL adv|comme pro:dem|ça ?
%mor:	pro:sub|elle pro:obj|te$v:poss|avoir&PRES&3s n|marché&m prep|sur
	det:art|les&pl n|pied&m-PL ?
%mor:	conj|et part|taire-PP&m pro:sub|tu$v:aux|être&PRES&2s neg|pas
	part|laisser-PP&f v:mdllex|faire-INF ?
%mor:	co|ah part|taire-PP&m v:exist|être&PRES&2s n|sotte&f co|hein
%mor:	v:mdl|aller&PRES&3s v|poser-INF det:art|la&f&sg n|tutu&m prep|sur
	det:art|le&m&sg n|rebord&m adv:place|là
%mor:	co|eh v|prendre-PRES&IMP&12s det:art|le&m&sg
	n|+n|sac+prep|à+n|dos&m=backpack adv:place|là
%mor:	v|prendre-PRES&IMP&12s det:poss|ton&m&sg
	n|+n|sac+prep|à+n|dos&m=backpack adv:place|là
%mor:	v:mdl|aller&IMP&2p v:mdl|aller&PRES&3s pro:obj|le v|chercher-INF
%mor:	adv|mais pro:sub|je$pro:y|en v:aux|avoir&PRES&1s det:art|un&m&sg
	adv|aussi adj|tien&m-PL part|taire-PP&m v:mdl|aller&PRES&2s
	v|voir&INF
%mor:	v|attendre-IMP&2s
%mor:	conj|et pro:dem|ça pro:dem|ça v:mdl|falloir&FUT&3s pro:obj|le
	v|poser-INF adv:place|là
%mor:	prep|dans det:poss|ma&sg n|poche&f ?
%mor:	prep|dans det:poss|ta&f&sg n|poche&f adv:place|là ?
%mor:	v|regarder-PRES&SUB&2s part|taire-PP&m v:aux|avoir&PRES&2s
	det:art|une&f&sg n|poche&f
%mor:	adv:place|là n|mets&m prep|dans det:poss|ta&f&sg n|poche&f
	det:art|la&f&sg n|tétine&f adv|si part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	pro:int|quoi ?|qu'estce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s ?
%mor:	co|ah co|oui=yes pro|moi&sg pro:sub|je$pro:y|en v:aux|avoir&PRES&1s
	det:art|un&m&sg pro|moi&sg adv|aussi
%mor:	co|ouais=yes
%mor:	pro:sub|il v:aux|être&PRES&3s neg|pas n|bien&m adv:place|là
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|mettre-INF prep|de
	det:art|le$pro|autre&sg n|côté&m
%mor:	co|hop
%mor:	prep|sur det:art|le$n|épaule&f ?
%mor:	prep|dans det:art|le&m&sg n|dos&m ?
%mor:	co|oui=yes
%mor:	co|bah part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s n|rangée&f
%mor:	n|si&m
%mor:	n|si&m
%mor:	n|si&m
%mor:	n|si&m
%mor:	co|oui=yes
%mor:	adv|alors ?|qu'estce prep|que part|taire-PP&m v:mdllex|faire-IMP&2s
	pro:dem|ce n|matin&m prep|avec n|maman&f ?
%mor:	?|dismoi
%mor:	pro:sub|je v:mdl|savoir&PRES&12s part|taire-PP&m
	v:aux|avoir&PRES&2s part|danser-PP&m
%mor:	co|oui=yes ?
%mor:	pro:int|où ?
%mor:	adv|comme pro:dem|ça ?
%mor:	prep|avec det:art|les&pl n|bras&m ?
%mor:	prep|avec det:art|la&f&sg n|tête&f adv|aussi
%mor:	n|montre&f pro|moi&sg
%mor:	adv|comme pro:dem|ça
%mor:	n|tête&f prep|à n|droite&f n|tête&f prep|à n|gauche&f
%mor:	conj|et prep|en adj|haut&m co|non=no
%mor:	conj|et part|taire-PP&m v:aux|avoir&PRES&2s n|sauté&m adv|aussi
%mor:	v|dire-PRES&PASS&12s adv|donc part|taire-PP&m v|parler-PRES&SUB&2s
	neg|pas adv|beaucoup adv:place|là
%mor:	part|taire-PP&m part|taire-PP&m pro:obj|te$v|exprimer-IMP&2s
	conj|mais pro:dem|ce$v:aux|être&PRES&3s n|tout&m co|hein
%mor:	pro:int|quoi ?
%mor:	pro:sub|elle v:aux|être&PRES&3s adv:place|là det:art|la&f&sg
	n|maison&f prep|à pro|toi&sg ?
%mor:	co|ah det:poss|ton&m&sg n|bijou&m prep|à pro|toi&sg
%mor:	conj|et
%mor:	conj|et pro:dem|celui&m&sg pro:int|qui v:aux|être&PRES&2s prep|à
	n|côté&m v:aux|être&PRES&3s prep|à pro:rel|qui ?
%mor:	co|ah adv|ben part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	conj|et part|taire-PP&m det:art|les&pl v:aux|avoir&PRES&3s
	part|mettre-PP&m prep|dans det:art|la&f&sg n|voiture&f
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f prep|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|tien&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|tien&m ?|celuilà ?
%mor:	co|mh co|mh
%mor:	?|qu'estce pro:int|qui v:aux|être&PRES&3s part|écrire-PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|écrire-PP&m pro:int|quoi ?
%mor:	?|qu'estce pro:int|qui v:aux|être&PRES&3s part|écrire-PP&m ?
%mor:	co|oui=yes
%mor:	?|qu'estce pro:int|qui v:aux|être&PRES&3s part|écrire-PP&m ?
%mor:	conj|et ?|qu'estce pro:int|qui v:aux|être&PRES&3s n|écrit&m
	adv:place|là ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|écrire-PP&m pro:int|quoi ?
%mor:	?|chloé
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|écrire-PP&m ?|chloé ?
%mor:	co|non=no co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas
	adj|écrit&m ?|chloé
%mor:	v:mdl|faire-PRES&12s v|voir&INF re#v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|non=no ?|chloé v:aux|être&PRES&3s prep|à det:art|le$n|école&f
	pro:sub|elle v:aux|être&PRES&3s prep|à det:art|le$n|école&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|celuilà pro:int|qui
	v:aux|être&PRES&3s part|écrire-PP&m ?|chloé ?
%mor:	co|ah
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|ah co|oui=yes ?|chloé
%mor:	adv|alors adv:place|là pro:dem|ce$v:exist|être&PRES&3s adj|écrit&m
	pro:int|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|écrire-PP&m pro|toi&sg ?
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro|toi&sg ?
%mor:	adv|comment part|taire-PP&m adv|comment part|taire-PP&m
%mor:	adv|comment part|taire-PP&m pro:obj|te$v|appeler-PRES&SUB&2s ?
%mor:	co|oh
%mor:	co|oh pro|toi&sg
%mor:	co|hein
%mor:	?|ana ?
%mor:	co|ah
%mor:	adv|alors pro:dem|ce$v:aux|être&PRES&3s part|écrire-PP&m ?|ana ?
%mor:	co|hein
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça adv|que
	part|taire-PP&m v:aux|avoir&PRES&2s v:mdl|faire-PRES&12s adv|aussi
	prep|à det:art|le$n|école&f ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|passé det:art|la&f&sg
	n|serpillière&f ?
%mor:	co|non=no ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|danser-PP&m prep|sur
	det:art|les&pl n|genou&m-PL ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|danser-PP&m prep|sur
	det:art|les&pl n|genou&m-PL ?
%mor:	co|oui=yes ?
%mor:	co|eh adv:place|là det:dem|cette&f&sg n|plaque&f
%mor:	n|touche&f-PL neg|pas
%mor:	v|mettre-IMP&2s neg|pas det:poss|tes&pl n|doigt&m-PL
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|te v|coincer-INF
	det:art|les&pl n|doigt&m-PL
%mor:	neg|pas adv|comme pro:dem|ça ?
%mor:	co|non=no ?
%mor:	co|ben adv|alors n|comment&m ?
%mor:	adv|comme pro:dem|ça ?
%mor:	adv|comme pro:dem|ça ?
%mor:	adv|comme pro:dem|ça ?
%mor:	co|ouais=yes co|ben pro:sub|je v:mdl|aller&PRES&1s neg|pas
	pro:obj|te pro:obj|le re#v|mettre-INF n|tout&m det:art|le&m&sg
	n|temps&m
%mor:	re#v|monter-PRES&SUB&13s det:art|le&m&sg pro|toi&sg
%mor:	v:mdl|falloir&PRES&3s v|tirer-INF adv|comme pro:dem|ça
%mor:	v:mdl|falloir&PRES&3s v|tirer-INF prep|sous det:art|le&m&sg
	n|genou&m adv|aussi
%mor:	adv:place|dessous
%mor:	co|voilà adv|comme pro:dem|ça
%mor:	co|voilà part|taire-PP&m v|tirer-PRES&SUB&2s adv|aussi prep|en
	n|remontant&m
%mor:	part|taire-PP&m v|tirer-PRES&SUB&2s adv|aussi prep|en n|remontant&m
	prep|sous det:art|les&pl n|fesse&f-PL
%mor:	v:mdl|aller&PRES&2s pro:y|y prep|plus n|haut&m prep|plus n|haut&m
	prep|plus adj|haut&m
%mor:	re#v|monter-PRES&SUB&2s prep|jusque$n|ail&m&pl n|fesse&f-PL
%mor:	co|non=no
%mor:	neg|pas det:art|les&pl n|fesse&f-PL
%mor:	prep|jusque$n|ail&m&pl n|fesse&f-PL
%mor:	pro:y|y v:aux|avoir&PRES&3s adv|que v:mdl|falloir&PRES&3s
	v|prendre-INF adv:place|là
%mor:	v:mdl|falloir&PRES&3s v|tirer-INF det:art|un&m&sg n|peu&m prep|en
	adj|bas&m
%mor:	re#v|prendre-INF v|tirer-INF det:art|un&m&sg adj|petit&m n|peu&m
	re#v|prendre-INF v|tirer-INF det:art|un&m&sg adj|petit&m n|peu&m
	re#v|prendre-INF v|tirer-INF det:art|un&m&sg adj|petit&m n|peu&m
%mor:	conj|et det:art|le$pro|autre&sg adv|aussi n|oui&m det:art|les&pl
	num|deux
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que pro:sub|je
	pro:obj|te$v|aider-IMP&2s ?|peutêtre ?
%mor:	co|non=no
%mor:	v|attendre-IMP&2s pro:int|quoi ?
%mor:	co|oh
%mor:	pro:int|quoi co|oh ?
%mor:	prep|en
%mor:	co|oh pro:sub|je$v:aux|avoir&PRES&1s pro:sub|je
	pro:obj|te$v:poss|avoir&PRES&1s neg|pas part|dire-PP&m
	pro:sub|je$v:aux|avoir&PRES&1s part|voir&PP&m det:poss|ton&m&sg
	n|cousin&m
%mor:	adv|ben v|venir-PRES&12s pro:sub|je v:mdl|aller&PRES&1s
	pro:obj|te$v|aider-INF
%mor:	co|hop
%mor:	det:art|le&m&sg n|bijou&m prep|de det:poss|ta&f&sg n|soeur&f
%mor:	adv|mais ?|qu'estce adv|que part|taire-PP&m v:mdl|faire-PRES&12s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF
	n|pipi&m=peepee ?
%mor:	co|ah adv|ben v:mdl|falloir&PRES&3s det:art|le&m&sg v|dire-INF
%mor:	conj|et adj|bien v|venir-PRES&12s adv|vite
%mor:	neg|pas co|oui=yes pro:sub|je$v:aux|avoir&PRES&1s adv|bien
	part|comprendre-PP&m
%mor:	co|hein ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas v:mdl|faire-PRES&12s
	n|caca&m=poopoo n|tout&m prep|à det:art|le$n|heure&f ?
%mor:	conj|et part|taire-PP&m v:mdl|faire-PRES&12s neg|pas
	n|caca&m=poopoo prep|dans det:art|la&f&sg n|culotte&f co|hein
%mor:	co|ah co|bon part|taire-PP&m v:aux|avoir&PRES&2s neg|pas
	v:mdllex|faire-PRES&12s prep|dans det:art|la&f&sg n|culotte&f
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça
%mor:	adv|d'accord neg|pas adv|encore pro:dem|ce$v:aux|être&PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	adv|vite
%mor:	adv|vite adv|vite
%mor:	co|non=no adv|mais det:art|le&m&sg n|papier&m adv|après
%mor:	adv|d'abord det:art|le&m&sg n|pipi&m=peepee conj|et adv|après
	det:art|le&m&sg n|papier&m
%mor:	n|tout&m pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|pour
	pro|moi&sg ?
%mor:	adv|d'accord
%mor:	co|merci
%mor:	adj|petit&f adv|comme pro:dem|ça n|oui&m adv|d'accord n|oui&m
%mor:	co|non=no pro:sub|il v:mdl|aller&PRES&3s v|tomber-INF
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon
%mor:	co|allez v:mdl|aller&PRES&2s pro:y|y
%mor:	co|oui=yes
%mor:	co|oh n|pipi&m=peepee
