%mor:	co|chut
%mor:	co|oui=yes n|mai&m-PL pro:dem|ce$v:exist|être&PRES&3s n|pareil&m
%mor:	co|non=no co|non=no neg|pas prep|de n|piano&m ?|ael
%mor:	co|oui=yes co|ben n|pose&f prep|sur det:art|la&f&sg n|table&f
	part|chérir-PP&m
%mor:	num|deux n|fois&f pro:sub|je v|croire&PRES&12s
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF prep|à&le ?|louvres
	adv|peut–être pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|encore
	det:art|le$n|exposition&f prep|sur ?|l'egypte
%mor:	?|arthur
%mor:	co|oui=yes ?
%mor:	co|chut pro|toi&sg part|taire-PP&m v|commencer-PRES&SUB&2s neg|pas
	co|hein
%mor:	co|chut conj|et pro|toi&sg part|taire-PP&m pro:obj|te
	v|taire-PRES&12s n|si&m pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	v:mdl|aller&PRES&3s v|chercher-INF adv:place|là–haut adv|peut–être
	v:mdl|aller&PRES&3s v|voir&INF prep|dans det:poss|ma&sg n|chambre&f
	adv|si pro:sub|il pro:y|y v:aux|avoir&PRES&3s neg|pas
	det:art|une&f&sg n|boîte&f
%mor:	v|pousser-IMP&2s pro|toi&sg ?|ael ?|ael co|allez v|pousser-IMP&2s
	pro|toi&sg
%mor:	adv|parce pro:int|que pro:sub|elle v:exist|être&PRES&3s
	det:art|un&m&sg n|peu&m adj|longue&f det:dem|cette&f&sg n|histoire&f
%mor:	v|taire-IMP&2s pro|toi&sg det:art|un&m&sg n|peu&m
%mor:	n|bouche&f
%mor:	v|tenir-IMP&2s part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|le
	v|lire-INF prep|dans det:poss|ta&f&sg n|chambre&f
%mor:	pro:sub|on neg|ne v:aux|avoir&PRES&3s neg|pas prep|de n|boîte&f
	pro:sub|on pro:y|en v|trouver-FUT&3s det:art|une&f&sg n|tout&m
	prep|à det:art|le$n|heure&f
%mor:	co|allez
%mor:	v:mdl|aller&PRES&3s v|lire-INF prep|dans det:poss|ta&f&sg
	n|chambre&f det:art|le&m&sg n|livre
%mor:	adv|maintenant adv|que part|taire-PP&m v:mdl|savoir&PRES&12s
	v|lire-INF
%mor:	co|non=no co|non=no part|taire-PP&m det:art|le&m&sg n|lis&m neg|pas
	adv:place|ici adv|parce conj|que adv:place|là
	v|regarder-PRES&SUB&13s
%mor:	prep|en qn|plus ?|aliyah pro:sub|elle v|voir&PRES&3s prep|plus
	n|rien&m
%mor:	part|taire-PP&m pro:obj|te n|mets&m prep|à&le v|fondre-PRES&3s
	prep|de&le n|canapé&m=canape
%mor:	co|ah co|non=no adv|mais co|hé part|taire-PP&m n|lis&m prep|dans
	det:poss|ta&f&sg n|tête&f
%mor:	v:mdl|aller&PRES&3s pro:obj|te v|mettre-INF prep|dans
	det:poss|ta&f&sg n|chambre&f prep|pour v|lire-INF ?|ael pro:sub|on
	v|entendre-PRES&3s n|tout&m adv:place|là
%mor:	v|arrêter-PRES&SUB&13s adv|si pro:sub|il pro:obj|te
	v|plaire-PRES&3s
%mor:	co|chut
%mor:	v|entrer-IMP&2s pro|autres&pl v|entrer-IMP&2s pro|autres&pl
%mor:	co|ouais=yes adv|comment part|taire-PP&m v:mdllex|faire-COND&12s
	det:art|le&m&sg n|matin&m co|hein n|si&m pro:sub|je n|peu&m-PL
	prep|plus pro:obj|te$v|habiller-INF ?
%mor:	part|taire-PP&m v:aux|être&COND&12s adv|bien part|embêter-PP&m
%mor:	part|taire-PP&m v:mdllex|pouvoir&IMP&2s pro:obj|le
	v:mdllex|faire-INF co|ah co|ben pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg adj|bon&f
	n|nouvelle&f
%mor:	adv|doucement ?|ael ?|ael ?|ael
%mor:	co|hé part|taire-PP&m v:mdl|vouloir&PRES&12s adv|bien
	v:mdllex|aller&INF pro:obj|me v|chercher-INF part|taire-PP&m
	v:mdl|savoir&PRES&12s pro|tous&m&pl det:art|les&pl adj|petit&m-PL
	n|livre-PL prep|de&les prep|de&les n|bébé&m-PL adj|animal&m&pl
%mor:	co|merci
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ce n|matin&m
	pro:rel|que$pro:sub|elle v:mdl|aller&IMPF&3s prep|à n|pari&m-PL
%mor:	pro:sub|je pro:obj|le$v:poss|avoir&PRES&1s v:aux|avoir&PP&m&sg
	prep|à&le n|téléphone&m=telephone n|tout&m prep|à
	det:art|le$n|heure&f
%mor:	co|oui=yes ?
%mor:	co|ben pro:dem|ce$v:exist|être&PRES&3s neg|pas n|grave&m
%mor:	co|oui=yes n|mai&m-PL pro:dem|ce$v:exist|être&PRES&3s n|bien&m
	adv|déjà
%mor:	v|tenir-IMP&2s part|taire-PP&m v|demander-IMPF&12s pro:rel|ce–qui
	pro:y|y v:aux|avoir&IMPF&3s prep|comme n|fruit&m-PL prep|à&le
	n|printemps&m pro:sub|il v:mdllex|aller&PRES&3s pro:y|y
	v:poss|avoir&INF det:art|les&pl n|fraise&f-PL ?|ael adv|bientôt
%mor:	det:art|les&pl n|cerise&f-PL pro:dem|ce$v:exist|être&PRES&3s
	qn|plus prep|à&le n|mois&m prep|de n|juin&m
%mor:	pro:sub|je$v|espérer-IMP&2s pro:rel|que$pro:sub|on prep|en n|aura&f
	det:dem|cette&f&sg n|année&f adv|parce det:art|le$n|année&f
	adj|dernier&f pro:sub|on neg|ne pro:y|en v:aux|avoir&PRES&3s neg|pas
	v:aux|avoir&PP&m&sg
%mor:	co|chut
%mor:	co|hum
%mor:	co|ouais=yes
%mor:	v|arrêter-IMP&2s ?|ael
%mor:	co|hum
%mor:	co|chut co|chut co|chut n|oui&m
%mor:	adv|mais pro:dem|ce$v:aux|être&PRES&3s prep|pour n|pouvoir&m
	v|sauter-INF
%mor:	co|oui=yes
%mor:	co|ouais=yes
%mor:	co|ben co|oui=yes
%mor:	co|chut
%mor:	co|hé v|arrêter-PRES&SUB&13s prep|de v:mdl|faire-INF prep|de&le
	n|bruit&m
%mor:	?|ael adv|d'accord ?
%mor:	pro:sub|je v|croire&PRES&12s neg|pas part|chérir-PP&m
%mor:	?|ael
%mor:	pro:sub|il pro:y|en v:mdl|falloir&PRES&3s adv|de pro|autres&pl
%mor:	co|ouais=yes
%mor:	pro:sub|il pro:y|en v:mdl|falloir&PRES&3s co|euh n|cinq&m
%mor:	n|super&m
%mor:	adj|génial&m&sg part|chérir-PP&m
%mor:	co|chut
%mor:	co|merci
%mor:	co|chut ?|ael
%mor:	?|ael ?|ael ?|ael v:mdl|aller&PRES&3s v|mettre-INF v|tenir-IMP&2s
%mor:	co|chut adv|mais v|taire-PRES&12s pro|toi&sg det:art|un&m&sg
	n|peu&m pro|toi&sg
%mor:	?|ael part|taire-PP&m n|peu&m-PL neg|pas v|respirer-INF n|moins&m
	adj|fort&m conj|ou v:mdllex|aller&INF pro:obj|te v|moucher-INF
	pro|toi&sg ?
%mor:	n|animal&m&pl
%mor:	?|ael pro:sub|on v|dire-COND&3s adv|que part|taire-PP&m
	v|ronfler-PRES&SUB&2s adv:place|là
%mor:	co|ben v:mdl|aller&PRES&3s v|respirer-INF adv|ailleurs adv|alors
	adv|parce adv|que part|taire-PP&m v:mdl|faire-PRES&12s adv|trop
	prep|de n|bruit&m
%mor:	co|chut
%mor:	co|ben co|ben co|oui=yes n|mai&m-PL prep|dans det:art|le&m&sg
	pro|un&m&sg adv|aussi
%mor:	co|ah co|oui=yes co|oui=yes
%mor:	co|oui=yes part|taire-PP&m n|lis&m prep|dans det:poss|ta&f&sg
	n|tête&f conj|ou part|taire-PP&m v:mdl|aller&PRES&2s prep|dans
	det:poss|ta&f&sg n|chambre&f
%mor:	?|ael part|taire-PP&m v:mdl|aller&PRES&2s prep|en v|chercher-INF
	adv|de det:gen|autres&pl prep|de&les n|animal&m&pl ?
%mor:	det:art|la&f&sg n|mission&f
%mor:	part|taire-PP&m v:mdl|devoir&PRES&12s prep|en v|ramener-INF
	n|cinq&m
