annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	56342	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	What are you playing ?	963	clara							ubapalang	Sesotho	u-bapal-a-ng	sm2s-t^p_play-m^in-wh	ubapalang	2712051	pfx-v-sfx-sfx	3.401.125	3.402.476	3.401.125	3.402.476	Sesotho	JUL	sme	u87	NA	NA	NA	Grandmother	17086	56	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56344	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Dishes	963	clara							dijana	Sesotho	di-jana	8-dish(7,8)	dijana	2712053	pfx-n	3.404.076	3.405.366	3.404.076	3.405.366	Sesotho	JUL	sme	u89	NA	NA	NA	Grandmother	17086	56	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56346	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Where are they ?	963	clara							di kae	Sesotho	di kae	cp8 wh	di kae	2712055	cop wh	3.406.488	3407.18	3.406.488	3407.18	Sesotho	JUL	sme	u91	NA	NA	NA	Grandmother	17086	56	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56348	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Where are they ?	963	clara							di kae	Sesotho	di kae	cp8 wh	di kae	2712057	cop wh	3.408.341	3.409.158	3.408.341	3.409.158	Sesotho	JUL	sme	u93	NA	NA	NA	Grandmother	17086	56	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56350	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Please bring we see them	963	clara							ake utlise redibone	Sesotho	ake u-tl-is-e re-di-bon-e	ij sm2s-t^p_come-c-m^s sm1p-t^p.om8-see-m^s	ake utlise redibone	2712059	ij pfx-v-sfx-sfx pfx-pfx-v-sfx	3.409.981	3.411.775	3.409.981	3.411.775	Sesotho	JUL	sme	u95	NA	NA	NA	Grandmother	17086	56	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56364	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Be quiet	963	clara							thola	Sesotho	thol-a	become_silent-m^i	thola	2712073	v-sfx	3.446.703	3.447.678	3.446.703	3.447.678	Sesotho	JUL	sme	u109	NA	NA	NA	Grandmother	17086	57	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56365	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	No give him he be quiet	963	clara							ee monehe athole	Sesotho	ee mo-neh-e a-thol-e	ij om1-give-m^i sm1-t^p_become_silent-m^s	ee monehe athole	2712074	ij pfx-v-sfx pfx-v-sfx	3.447.678	3451.67	3.447.678	3451.67	Sesotho	JUL	sme	u110	NA	NA	NA	Grandmother	17086	57	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56366	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Give him	963	clara							monehe	Sesotho	mo-neh-e	om1-give-m^i	monehe	2712075	pfx-v-sfx	3451.67	3.453.108	3451.67	3.453.108	Sesotho	JUL	sme	u111	NA	NA	NA	Grandmother	17086	57	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56368	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Hey give him	963	clara							hey monehe	Sesotho	hey mo-neh-e	ij om1-give-m^i	hey monehe	2712077	ij pfx-v-sfx	3.454.453	3456.37	3.454.453	3456.37	Sesotho	JUL	sme	u113	NA	NA	NA	Grandmother	17086	57	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56428	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Yes what is her name ?	963	clara							e ke mang lebitso lahae ngwanana	Sesotho	e ke mang le-bitso la-hae ngwanana	ij cp wh 5-name(5,6) 5-1 girl(1irg)	e ke mang lebitso lahae ngwanana	2712137	ij cop wh pfx-n ps-sfx n	3.597.623	3.600.223	3.597.623	3.600.223	Sesotho	JUL	sme	u173	NA	NA	NA	Grandmother	17086	59	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56433	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Who ? Linono ?	963	clara							ke mang Linono	Sesotho	ke mang Linono	cp wh a_name	ke mang Linono	2712142	cop wh ???	3.614.521	3.618.405	3.614.521	3.618.405	Sesotho	JUL	sme	u178	NA	NA	NA	Grandmother	17086	60	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56435	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	oh hey	963	clara							oh hele	Sesotho	oh hele	ij ij	oh hele	2712144	ij ij	3619.6	3.624.405	3619.6	3.624.405	Sesotho	JUL	sme	u180	NA	NA	NA	Grandmother	17086	60	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56436	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Who is her mother ?	963	clara							mme wahae hana ke mang	Sesotho	mme wa-hae hana ke mang	mother(1a,2a) 1-1 q cp wh	mme wahae hana ke mang	2712145	n ps-sfx q cop wh	3.624.405	3.625.693	3.624.405	3.625.693	Sesotho	JUL	sme	u181	NA	NA	NA	Grandmother	17086	60	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56438	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Who are you ?	963	clara							u mang wena	Sesotho	u mang wena	cp2s wh 2s	u mang wena	2712147	cop wh pn	3.628.693	3.630.206	3.628.693	3.630.206	Sesotho	JUL	sme	u183	NA	NA	NA	Grandmother	17086	60	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56440	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	You are mother ?	963	clara							u mme	Sesotho	u mme	cp2s mother(1a,2a)	u mme	2712149	cop n	3.633.943	3.634.931	3.633.943	3.634.931	Sesotho	JUL	sme	u185	NA	NA	NA	Grandmother	17086	60	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56442	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	You are mother who ?	963	clara							u mme mang	Sesotho	u mme mang	cp2s mother(1a,2a) wh	u mme mang	2712151	cop n wh	3.640.908	3.642.908	3.640.908	3.642.908	Sesotho	JUL	sme	u187	NA	NA	NA	Grandmother	17086	60	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
1	56444	2515	17086	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	You are mother who ?	963	clara							u mme mang	Sesotho	u mme mang	cp2s mother(1a,2a) wh	u mme mang	2712153	cop n wh	3649.74	3652.73	3649.74	3652.73	Sesotho	JUL	sme	u189	NA	NA	NA	Grandmother	17086	60	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Keychild	CDS
