annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
962	54500	2512	17072	959	Maria	NA	Female	Mother	Mother	Adult	question	What is it ?	1	clara							ke eng	Sesotho	ke eng	cp wh	ke eng	2710209	cop wh	NA	NA	NA	NA	Sesotho	MAR	sme	u8	NA	NA	NA	Mother	17072	NA	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Brother	OCDS
962	54502	2512	17072	959	Maria	NA	Female	Mother	Mother	Adult	default	You go away I put the child to sleep	1	clara							utlohe kerobatse ngwana	Sesotho	u-tloh-e ke-robats-e ngwana	sm2s-t^p_abandon-m^s sm1s-t^p_sleep/c-m^s child(1irg)	utlohe kerobatse ngwana	2710211	pfx-v-sfx pfx-v-sfx n	NA	NA	NA	NA	Sesotho	MAR	sme	u10	NA	NA	NA	Mother	17072	NA	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Brother	OCDS
962	54504	2512	17072	959	Maria	NA	Female	Mother	Mother	Adult	default	Let me put the child to sleep	1	clara							nke kerobatse ngwana	Sesotho	nke ke-robats-e ngwana	ht sm1s-sleep/c-m^in child(1irg)	nke kerobatse ngwana	2710213	ht pfx-v-sfx n	NA	NA	NA	NA	Sesotho	MAR	sme	u12	NA	NA	NA	Mother	17072	NA	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Brother	OCDS
962	54509	2512	17072	959	Maria	NA	Female	Mother	Mother	Adult	default	Yes	1	clara							e	Sesotho	e	ij	e	2710218	ij	NA	NA	NA	NA	Sesotho	MAR	sme	u17	NA	NA	NA	Mother	17072	NA	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Brother	OCDS
962	54511	2512	17072	959	Maria	NA	Female	Mother	Mother	Adult	default	Yes	1	clara							eya	Sesotho	eya	ij	eya	2710220	ij	NA	NA	NA	NA	Sesotho	MAR	sme	u19	NA	NA	NA	Mother	17072	NA	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Brother	OCDS
962	54532	2512	17072	959	Maria	NA	Female	Mother	Mother	Adult	question	Because you did what ?	1	clara							hobang uentseng	Sesotho	hobang u-ents-e-ng	cj sm2s-do/t^pf-m^in-wh	hobang uentseng	2710241	cj pfx-v-sfx-sfx	203.23	205.125	203.23	205.125	Sesotho	MAR	sme	u40	NA	NA	NA	Mother	17072	3	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Brother	OCDS
962	54534	2512	17072	959	Maria	NA	Female	Mother	Mother	Adult	question	Now I should give you tea when yoou did nothing ?	1	clara							jwale keufe tee usaetsa letho	Sesotho	jwale ke-u-f-e tee u-sa-ets-a le-tho	av sm1s-t^p.om2s-give-m^s tea(9,10) sm2s-t^sa-do-m^x 5-something(5,6)	jwale keufe tee usaetsa letho	2710243	av pfx-pfx-v-sfx n pfx-pfx-v-sfx pfx-n	210.305	213.835	210.305	213.835	Sesotho	MAR	sme	u42	NA	NA	NA	Mother	17072	3	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Brother	OCDS
962	54535	2512	17072	959	Maria	NA	Female	Mother	Mother	Adult	question	What are you doing ?	1	clara							uetsang	Sesotho	u-ets-a-ng	sm2s-t^p_do-m^in-wh	uetsang	2710244	pfx-v-sfx-sfx	NA	NA	NA	NA	Sesotho	MAR	sme	u43	NA	NA	NA	Mother	17072	NA	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Brother	OCDS
962	54537	2512	17072	959	Maria	NA	Female	Mother	Mother	Adult	default	Take here is it	1	clara							nka ke ena	Sesotho	nk-a ke ena	take-m^i cp 9	nka ke ena	2710246	v-sfx cop d	NA	NA	NA	NA	Sesotho	MAR	sme	u45	NA	NA	NA	Mother	17072	NA	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Brother	OCDS
962	54539	2512	17072	959	Maria	NA	Female	Mother	Mother	Adult	question	When will you thank me ?	1	clara							uantankisa neng	Sesotho	u-a-n-tank-is-a neng	sm2s-t^p-om1s-thank-c-m^in wh	uantankisa neng	2710248	pfx-pfx-pfx-v-sfx-sfx wh	NA	NA	NA	NA	Sesotho	MAR	sme	u47	NA	NA	NA	Mother	17072	NA	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Brother	OCDS
