annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	66196	2532	17210	959	Maria	NA	Female	Mother	Mother	Adult	question	You are sitting on bedclothes Neuoe ?	963	clara							na udutse phateng Neuoe	Sesotho	na u-duts-e phate-ng Neuoe	q sm2s-sit/t^pf-m^in bedclothes(9 10)-lc a_name	na udutse phateng Neuoe	2721905	q pfx-v-sfx n-sfx ???	NA	NA	NA	NA	Sesotho	MAR	sme	u21	NA	NA	NA		NA	NA		040300f.cha	Neuoe	Neuoe-040300f.cha	mother	Keychild	CDS
1	66216	2532	17210	959	Maria	NA	Female	Mother	Mother	Adult	question	Who scratched you ?	963	clara							ke mang yaungwapileng	Sesotho	ke mang ya-u-ngwap-il-e-ng	cp wh sr1-om2s-scratch-t^pf-m^pt-rl	ke mang yaungwapileng	2721925	cop wh pfx-pfx-v-sfx-sfx-sfx	NA	NA	NA	NA	Sesotho	MAR	sme	u41	NA	NA	NA		NA	NA		040300f.cha	Neuoe	Neuoe-040300f.cha	mother	Keychild	CDS
1	66218	2532	17210	959	Maria	NA	Female	Mother	Mother	Adult	question	What were you doing now mother of so and so ?	963	clara							uneuetsang jwale manyeo	Sesotho	u-ne-u-ets-a-ng jwale manyeo	sm2s-t^ne-sm2s-do-m^pt-wh av so_and_so(1a 2a)	uneuetsang jwale manyeo	2721927	pfx-pfx-pfx-v-sfx-sfx av n	NA	NA	NA	NA	Sesotho	MAR	sme	u43	NA	NA	NA		NA	NA		040300f.cha	Neuoe	Neuoe-040300f.cha	mother	Keychild	CDS
1	66238	2532	17210	959	Maria	NA	Female	Mother	Mother	Adult	question	Who is it ?	963	clara							ke mang	Sesotho	ke mang	cp wh	ke mang	2721947	cop wh	NA	NA	NA	NA	Sesotho	MAR	sme	u63	NA	NA	NA		NA	NA		040300f.cha	Neuoe	Neuoe-040300f.cha	mother	Keychild	CDS
1	66239	2532	17210	959	Maria	NA	Female	Mother	Mother	Adult	default	I will hit her	963	clara							ketlamoshapa	Sesotho	ke-tla-mo-shap-a	sm1s-t^f1-om1-thrash-m^in	ketlamoshapa	2721948	pfx-pfx-pfx-v-sfx	NA	NA	NA	NA	Sesotho	MAR	sme	u64	NA	NA	NA		NA	NA		040300f.cha	Neuoe	Neuoe-040300f.cha	mother	Keychild	CDS
1	66261	2532	17210	959	Maria	NA	Female	Mother	Mother	Adult	default	You do not know Sakeng	963	clara							ha osatseba Sakeng	Sesotho	ha o-sa-tseb-a Sakeng	ng sm1-t^sa-know-m^x a_place	ha osatseba Sakeng	2721970	ng pfx-pfx-v-sfx ???	NA	NA	NA	NA	Sesotho	MAR	sme	u86	NA	NA	NA		NA	NA		040300f.cha	Neuoe	Neuoe-040300f.cha	mother	Keychild	CDS
1	66262	2532	17210	959	Maria	NA	Female	Mother	Mother	Adult	question	You were going to see who mother of so and so ?	963	clara							uneuilobona mang manyeo	Sesotho	u-ne-u-ilo-bon-a mang manyeo	sm2s-t^ne-sm2s-t^f4-see-m^pt wh so_and_so(1a 2a)	uneuilobona mang manyeo	2721971	pfx-pfx-pfx-pfx-v-sfx wh n	NA	NA	NA	NA	Sesotho	MAR	sme	u87	NA	NA	NA		NA	NA		040300f.cha	Neuoe	Neuoe-040300f.cha	mother	Keychild	CDS
1	66264	2532	17210	959	Maria	NA	Female	Mother	Mother	Adult	question	Where is the child ?	963	clara							o kae ngwana	Sesotho	o kae ngwana	cp1 wh child(1irg)	o kae ngwana	2721973	cop wh n	NA	NA	NA	NA	Sesotho	MAR	sme	u89	NA	NA	NA		NA	NA		040300f.cha	Neuoe	Neuoe-040300f.cha	mother	Keychild	CDS
1	66267	2532	17210	959	Maria	NA	Female	Mother	Mother	Adult	question	What is her name ?	963	clara							lebitso lahae ke mang	Sesotho	le-bitso la-hae ke mang	5-name(5 6) 5-1 cp wh	lebitso lahae ke mang	2721976	pfx-n ps-sfx cop wh	NA	NA	NA	NA	Sesotho	MAR	sme	u92	NA	NA	NA		NA	NA		040300f.cha	Neuoe	Neuoe-040300f.cha	mother	Keychild	CDS
1	66269	2532	17210	959	Maria	NA	Female	Mother	Mother	Adult	question	Who is her father ?	963	clara							hana ntate wahae ke mang	Sesotho	hana ntate wa-hae ke mang	q father(1a 2a) 1a-1 cp wh	hana ntate wahae ke mang	2721978	q n ps-sfx cop wh	NA	NA	NA	NA	Sesotho	MAR	sme	u94	NA	NA	NA		NA	NA		040300f.cha	Neuoe	Neuoe-040300f.cha	mother	Keychild	CDS
