%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s dé#part|coller-PP&m n|oui&m
	v:mdl|falloir&FUT&3s pro:rel|que$pro:sub|on pro:obj|la
	re#v|coller-PRES&SUB&13s
%mor:	det:art|les&pl n|garçon&m-PL pro:obj|vous v:mdl|aller&IMP&2p
	det:art|un&m&sg adj|petit&m n|peu&m prep|en adj|haut&m ?
%mor:	conj|et ?|arthur part|taire-PP&m v:mdl|aller&PRES&2s adv|peut–être
	v:mdl|aller&INF prep|avec n|papa&m adv|comme pro:dem|ça pro:sub|il
	pro:obj|te dé#v|poser-FUT&3s prep|à
%mor:	co|bah n|laisse&f det:art|la&f&sg v:mdllex|faire-INF
%mor:	co|oui=yes ?
%mor:	co|bah n|si&m pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s
	prep|de det:art|la&f&sg adj|rouge
%mor:	co|ben co|oui=yes co|hein
%mor:	part|taire-PP&m v|croire&PRES&12s pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s part|faire-PP&m n|caca&m=poopoo ?
%mor:	co|bah pro:sub|on v:mdl|aller&FUT&3s part|luire&PP&m v|changer-INF
	det:poss|sa&f&sg n|couche&f adv|après
%mor:	?|ael ?|ael ?|ael
%mor:	v:mdl|falloir&PRES&3s v|arrêter-INF prep|de v:mdl|faire-INF
	prep|de&le n|bruit&m adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	co|hum
%mor:	co|chut
%mor:	co|chut ?|ael
%mor:	v|arrêter-IMP&2s ?|ael
%mor:	co|chut
%mor:	co|ah co|oui=yes
%mor:	adj|bon&f n|idée&f
%mor:	co|merci part|chérir-PP&m
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|gentil&m
%mor:	co|chut v|attendre-PRES&12s pro:sub|elle v|chanter-PRES&SUB&13s
%mor:	n|laisse&f det:art|la&f&sg v:mdllex|faire-INF
%mor:	v|donner-IMP&2s part|luire&PP&m ?|ael
%mor:	v|donner-IMP&2s part|luire&PP&m v|donner-IMP&2s part|luire&PP&m
	?|ael
%mor:	co|merci
%mor:	v|donner-IMP&2s pro:ind|lui
%mor:	co|merci ?|ael
%mor:	?|ael part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas
	v:mdl|aller&INF v|ranger-INF pro:dem|ça prep|avec det:art|les&pl
	n|+n|play+n|mobil&m-PL=playmobil adv|si pro:sub|il pro:obj|te
	v|plaire-PRES&3s
%mor:	co|chut ?|arthur
%mor:	co|chut ?|ael ?|ael
%mor:	co|non=no
%mor:	co|attention ?|ael
%mor:	co|oui=yes
%mor:	v|asseoir&PRES&12s pro|toi&sg prep|sur det:art|le&m&sg
	n|canapé&m=canape conj|et n|bouge&m prep|plus n|si&m pro:sub|il
	pro:obj|te v|plaire-PRES&3s
%mor:	co|chut
%mor:	?|arthur part|taire-PP&m v:mdl|pouvoir&PRES&12s v:mdl|aller&INF
	v|tousser-INF adv|ailleurs n|si&m pro:sub|il pro:obj|te
	v|plaire-PRES&3s ?
%mor:	v:mdl|aller&PRES&3s det:art|un&m&sg n|peu&m prep|dans
	det:art|la&f&sg n|chambre&f
%mor:	co|ah co|merci
%mor:	?|arthur part|taire-PP&m v:mdl|vouloir&PRES&12s adj|bien
	v:mdl|aller&INF v|chercher-INF det:art|le&m&sg n|loup&m prep|dans
	co|la n|chambre&f adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s ?
%mor:	det:gen|quel&m&sg n|truc&m ?
%mor:	co|chut ?|ael
%mor:	co|chut ?|ael
%mor:	?|ael pro:dem|ça v|suffire&PASS&3s
%mor:	?|ael part|taire-PP&m v:mdl|aller&PRES&2s v|mettre-INF
	det:poss|tes&pl n|chaussure&f-PL prep|dans det:poss|ta&f&sg
	n|chambre&f prep|pour v:mdl|aller&INF prep|avec n|papa&m
%mor:	prep|à&le re#v|voir&INF ?|arthur prep|à adv|tout prep|à
	det:art|le$n|heure&f
%mor:	co|oui=yes adv|mais ?|anaé pro:sub|elle v:aux|avoir&PRES&3s
	adj|voulu&m co|la v|mettre-INF prep|dans det:art|le&m&sg n|sapin&m
%mor:	pro:sub|on co|la re#v|mettre-FUT&3s adv|après
%mor:	neg|pas det:art|la&f&sg n|peine&f prep|de v:mdl|faire-INF
	v|crier-INF det:poss|ta&f&sg n|soeur&f
%mor:	co|oui=yes n|mai&m-PL pro:sub|je v:mdllex|savoir&PRES&12s neg|pas
	pro:rel|où pro:sub|il v:aux|être&PRES&3s part|taire-PP&m
	v:mdllex|vouloir&PRES&12s neg|pas v:mdl|aller&INF v|chercher-INF
	n|si&m pro:sub|il pro:obj|te v|plaire-PRES&3s ?
%mor:	adv|quand part|taire-PP&m n|aura&f-PL n|fini&m det:poss|ton&m&sg
	n|gâteau&m
%mor:	v:mdl|faire-PRES&12s det:art|une&f&sg n|place&f prep|à
	det:poss|ta&f&sg n|soeur&f adv|pourque$pro:sub|elle
	v|passer-PRES&SUB&13s
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à adv|tout det:art|le&m&sg
	n|monde&m
%mor:	adv:int|comment pro:sub|ils v|dire-PRES&SUB&3p ?|ael
	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s ?
%mor:	v|trembler-IMP&2p prep|de ?
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas pro:dem|ça ?
%mor:	co|oui=yes pro:sub|il v|manquer-PRES&SUB&13s det:art|une&f&sg
	n|page pro:dem|ce$v:exist|être&PRES&3s neg|pas n|grave&m
%mor:	part|taire-PP&m v:mdl|pouvoir&PRES&12s v:mdl|aller&INF
	v|chercher-INF det:art|un&m&sg det:art|un&m&sg pro|autre&sg n|livre
	?|ael n|si&m pro:sub|il pro:obj|te v|plaire-PRES&3s ?
%mor:	co|chut ?|ael n|laisse&f det:art|la&f&sg n|dire&m
%mor:	?|ael
%mor:	v|arrêter-IMP&2s
%mor:	co|oui=yes ?|ael
%mor:	co|chut ?|ael
%mor:	v|arrêter-IMP&2s
%mor:	?|ael v:mdl|aller&PRES&3s v|chercher-INF det:art|un&m&sg n|livre
	adv:place|là–haut n|si&m pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	adv|parce adv|que
%mor:	co|bon conj|et ?|ael pro:dem|ce$v:exist|être&PRES&3s neg|pas prep|à
	pro|toi&sg adv|que pro:sub|je n|demande&f
%mor:	?|ael part|taire-PP&m n|peu&m-PL v:mdl|aller&INF v|chercher-INF
	co|la n|serviette&f adv|de ?|anaé prep|dans co|la n|cuisine&f adv|si
	pro:sub|il pro:obj|te v|plaire-PRES&3s ?
%mor:	pro:dem|ça v:mdl|aller&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:int|qui v:aux|être&PRES&3s part|tomber-PP&m ?
%mor:	co|oui=yes
%mor:	pro:sub|je$v|arriver-IMP&2s
%mor:	co|bah co|oui=yes n|mai&m-PL v:mdl|falloir&PRES&3s v|demander-INF
	adv|quand pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	v|livrer-PRES&SUB&13s adv|de prep|en n|haut&m ?|ael
%mor:	adv|mais part|taire-PP&m v:aux|avoir&PRES&2s neg|pas
	v:aux|avoir&PP&m&sg pro:dem|ça pro|toi&sg prep|à&le prep|à
	det:poss|mon&m&sg n|travail&m&sg
%mor:	co|ah co|oui=yes part|taire-PP&m v:aux|avoir&PRES&2s
	v:aux|avoir&PP&m&sg pro|un&m&sg det:art|un&m&sg n|jeu&m
%mor:	co|oui=yes ?|ael
%mor:	co|oui=yes ?
%mor:	co|bah adv|parce pro:rel|que$pro:sub|il part|faire-PP&m neg|pas
	adv|très adj|beau&m&sg=pretty
%mor:	pro:sub|on v:mdl|aller&FUT&3s pro:refl|se v|promener-INF prep|chez
	det:art|le&m&sg n|docteur&m n|tout&m prep|à det:art|le$n|heure&f
%mor:	co|oui=yes conj|et co|bah ?
%mor:	co|bah co|non=no pro:sub|on v:mdl|aller&FUT&3s pro:refl|se
	v|promener-INF n|demain&m adv|peut–être
%mor:	adv|puis n|demain&m pro:sub|on v:mdl|aller&PRES&3s v|commencer-INF
	det:art|les&pl n|préparatif&m-PL prep|pour n|noël
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF det:art|les&pl
	n|sablé&m-PL
%mor:	det:art|le&m&sg n|bateau&m prep|en n|pain&m adv|de n|épice&f
%mor:	det:art|les&pl n|décoration&f-PL
