annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
884	2177	2418	16428	880	Noi	NA	NA	Adult	Adult	Adult	default	Thrash him Mahlobohang	884	emilie							moshape Mahlobohang	Sesotho	mo-shap-e Mahlobohang	om1-thrash-m^i a_name	moshape Mahlobohang	2657886	pfx-v-sfx ???	1149.3	1.151.203	1149.3	1.151.203	Sesotho	NOI	sme	u257	NA	NA	NA	Speaker	16428	19	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Mother	ADS
881	2321	2418	16428	880	Noi	NA	NA	Adult	Adult	Adult	question	Hey ! What is he saying ?	881	emilie							helang oreng	Sesotho	helang o-r-e-ng	ij sm1-t^p_say-m^in-wh	helang oreng	2658030	ij pfx-v-sfx-sfx	1.937.282	1939.43	1.937.282	1939.43	Sesotho	NOI	sme	u401	NA	NA	NA	Speaker	16428	32	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Grandmother	ADS
880	2322	2418	16429	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	He says that he threshed itcorn all	880	emilie							ore oekhothotse kaofela	Sesotho	o-r-e o-e-khothots-e kaofela	sm1-t^p_say-m^in sm1-om9-thresh/t^pf-m^in av	ore oekhothotse kaofela	2658031	pfx-v-sfx pfx-pfx-v-sfx av	1939.43	1.943.842	1939.43	1.943.842	Sesotho	MEM	sme	u402	NA	NA	NA	Grandmother	16429	32	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Adult	ADS
880	2323	2418	16429	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	I threshed itcorn all	880	emilie							keekhothotse kaofela	Sesotho	ke-e-khothots-e kaofela	sm1s-om9-thresh/t^pf-m^in av	keekhothotse kaofela	2658032	pfx-pfx-v-sfx av	1939.43	1.943.842	1939.43	1.943.842	Sesotho	MEM	sme	u403	NA	NA	NA	Grandmother	16429	32	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Adult	ADS
880	2324	2418	16429	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	She is going to write it as it is	880	emilie							oiloengolla entseele jwalo	Sesotho	o-ilo-e-ngol-l-a e-ntse-e-le jwalo	sm1-t^f4-om9-write-ap-m^in sm9-t^pp-sm9-cp av	oiloengolla entseele jwalo	2658033	pfx-pfx-pfx-v-sfx-sfx pfx-pfx-pfx-pfx av	1.943.842	1.949.143	1.943.842	1.949.143	Sesotho	MEM	sme	u404	NA	NA	NA	Grandmother	16429	32	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Adult	ADS
880	2325	2418	16429	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	I threshed itcorn all	880	emilie							keekhothotse kaofela	Sesotho	ke-e-khothots-e kaofela	sm1s-om9-thresh/t^pf-m^in av	keekhothotse kaofela	2658034	pfx-pfx-v-sfx av	1.943.842	1.949.143	1.943.842	1.949.143	Sesotho	MEM	sme	u405	NA	NA	NA	Grandmother	16429	32	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Adult	ADS
A	2343	2418	16429	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	He is makingshouting eau !	A	emilie							ontseaetsa eau	Sesotho	o-ntse-a-ets-a eau	sm1-t^pp-sm1-do-m^pt ij	ontseaetsa eau	2658052	pfx-pfx-pfx-v-sfx ij	2089.2	2.092.052	2089.2	2.092.052	Sesotho	MEM	sme	u423	NA	NA	NA	Grandmother	16429	34	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Adult	ADS
881	2359	2418	16429	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	Strangle him	881	emilie							mokhame	Sesotho	mo-kham-e	om1-strangle-m^i	mokhame	2658068	pfx-v-sfx	2197	2.198.824	2197	2.198.824	Sesotho	MEM	sme	u439	NA	NA	NA	Grandmother	16429	36	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Grandmother	ADS
881	2402	2418	16428	880	Noi	NA	NA	Adult	Adult	Adult	default	He does not yet know how to say At Makunyapane's home	881	emilie							ha asotsebe hore ha Makunyupane	Sesotho	ha a-so-tseb-e ho-r-e ha Makunyupane	ng sm1-t^ny-know-m^x if-say-m^in pr a_name	ha asotsebe hore ha Makunyupane	2658111	ng pfx-pfx-v-sfx pfx-v-sfx pr ???	2.310.447	2.314.168	2.310.447	2.314.168	Sesotho	NOI	sme	u482	NA	NA	NA	Speaker	16428	38	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Grandmother	ADS
880	2403	2418	16429	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	He says A nyane	880	emilie							ore a nyane	Sesotho	o-r-e a nyane	sm1-t^p_say-m^in ??? ???	ore a nyane	2658112	pfx-v-sfx none none	2.314.168	2.317.062	2.314.168	2.317.062	Sesotho	MEM	sme	u483	NA	NA	NA	Grandmother	16429	38	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Adult	ADS
880	2419	2418	16429	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	Yes	880	emilie							e	Sesotho	e	ij	e	2658128	ij	2352.3	2.353.529	2352.3	2.353.529	Sesotho	MEM	sme	u499	NA	NA	NA	Grandmother	16429	39	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Adult	ADS
884	2463	2418	16429	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	He is seeking me a stick outside	884	emilie							ompatlela thupa kantle	Sesotho	o-m-patl-el-a thupa kantle	sm1-t^p.om1s-want-ap-m^in stick(9,10) loc	ompatlela thupa kantle	2658172	pfx-pfx-v-sfx-sfx n loc	2.447.306	2.450.369	2.447.306	2.450.369	Sesotho	MEM	sme	u543	NA	NA	NA	Grandmother	16429	40	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Mother	ADS
884	2464	2418	16429	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	I am coming to thrash him	884	emilie							ketlomoshapa	Sesotho	ke-tlo-mo-shap-a	sm1s-t^f2-om1-thrash-m^in	ketlomoshapa	2658173	pfx-pfx-pfx-v-sfx	2.447.306	2.450.369	2.447.306	2.450.369	Sesotho	MEM	sme	u544	NA	NA	NA	Grandmother	16429	40	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Mother	ADS
884	2575	2419	16437	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	question	Mahlobohang will she be able to do that to it ?	884	emilie		884	884	clara			na Mahlobohang otlaseetsa	Sesotho	na Mahlobohang o-tla-se-ets-a	q a_name sm1-t^f1-om7-do-m^in	na Mahlobohang otlaseetsa	2658284	q ??? pfx-pfx-pfx-v-sfx	2.977.361	2.980.979	2.977.361	2.980.979	Sesotho	MEM	sme	u21	NA	NA	NA	Grandmother	16437	49	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Mother	ADS
884	2577	2419	16436	880	Noi	NA	NA	Adult	Adult	Adult	question	Do you not want to kill them ?	884	emilie		?	?	clara		DIFFER	ha ubatle hodibolaya	Sesotho	ha u-batl-e ho-di-bolay-a	ng sm2s-t^p_want-m^x if-om8-kill-m^in	ha ubatle hodibolaya	2658286	ng pfx-v-sfx pfx-pfx-v-sfx	3007	3.013.984	3007	3.013.984	Sesotho	NOI	sme	u23	NA	NA	NA	Speaker	16436	50	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Mother	ADS
A	2585	2419	16437	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	question	Where is Jobo ?	A	emilie		?	?	clara		DIFFER	o kae Jobo	Sesotho	o kae Jobo	cp1 wh a_name	o kae Jobo	2658294	cop wh ???	3074	3.075.838	3074	3.075.838	Sesotho	MEM	sme	u31	NA	NA	NA	Grandmother	16437	51	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Adult	ADS
881	2679	2419	16442	896	Malimakatso	NA	NA	Adult	Adult	Adult	default	I am borrowing the tall tin can	881	emilie		?	?	clara		DIFFER	kekadima lethini lelelele	Sesotho	ke-kadim-a le-thini le-lelele	sm1s-t^p_borrow-m^in 5-tin_can(5,6) 5-aj	kekadima lethini lelelele	2658388	pfx-v-sfx pfx-n pfx-aj	3.328.413	3.343.967	3.328.413	3.343.967	Sesotho	MLK	sme	u125	NA	NA	NA	Speaker	16442	55	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Grandmother	ADS
884	2724	2419	16437	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	Hey it was said that father Koko has passed away	884	emilie		884	884	clara			helang hoitswe ntate Koko ohlokahetse	Sesotho	helang ho-its-w-e ntate Koko o-hlok-ah-ets-e	ij sm17-say/t^pf-p-m^in father(1a,2a) a_name sm1-die-nt-t^pf-m^in	helang hoitswe ntate Koko ohlokahetse	2658433	ij pfx-v-sfx-sfx n ??? pfx-v-sfx-sfx-sfx	3528.36	3532.62	3528.36	3532.62	Sesotho	MEM	sme	u170	NA	NA	NA	Grandmother	16437	58	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Mother	ADS
884	2726	2419	16437	881	Mme_Manyili	NA	Female	Grandmother	Grandmother	Adult	default	Yes	884	emilie		884	884	clara			m	Sesotho	m	ij	m	2658435	ij	3533.9	3.535.348	3533.9	3.535.348	Sesotho	MEM	sme	u172	NA	NA	NA	Grandmother	16437	58	3_95.01	020100ef.cha	Hlobohang	Hlobohang-020100ef.cha	adult	Mother	ADS
