%mor:	v|regarder-PRES&SUB&13s ?|tim pro:dem|ce adv|que
	pro:sub|je$v:aux|avoir&IMPF&12s prep|dans det:poss|mon&m&sg n|sac&m
%mor:	conj|et det:art|la&f&sg n|pelle&f pro:sub|elle v:aux|être&PRES&3s
	adv:place|là
%mor:	pro:sub|on v:mdl|aller&PRES&3s adv|enfin v:aux|avoir&INF
	pro|tous&m&pl det:art|les&pl n|morceau&m-PL re#part|unir-PP&m&pl
	prep|à&le adv|même n|endroit&m
%mor:	co|chut co|allez
%mor:	part|taire-PP&m v|commencer-PRES&SUB&2s neg|pas prep|à v|venir-INF
	co|euh
%mor:	adv|mais part|taire-PP&m n|mets&m det:poss|tes&pl n|chaussette&f-PL
%mor:	conj|et det:art|le&m&sg n|camion&m prep|de n|pompier&m pro:sub|on
	v:mdl|aller&PRES&3s part|luire&PP&m re#v|mettre-INF
	det:poss|son&m&sg n|tuyau&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|mettre-INF pro:dem|ça ?
%mor:	adv:place|voilà
%mor:	pro:sub|ils v:mdl|aller&PRES&3p v|tomber-INF ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl n|voiture&f-PL
	pro:int|qui v|passer-PRES&3p
%mor:	adv|mais pro:y|y v:aux|avoir&PRES&3s prep|de&les n|gens
	adv:place|dedans part|taire-PP&m pro:obj|me v|dire-FUT&2s adv|mais
%mor:	co|non=no v|regarder-IMP&2s
%mor:	co|ah part|taire-PP&m v:mdl|aller&PRES&2s v|fermer-INF ?
%mor:	co|ah
%mor:	co|ah co|ouais=yes adv:place|là pro:sub|il v:mdl|falloir&PRES&3s
	v|passer-INF
%mor:	pro:sub|il v:mdl|falloir&PRES&3s v|descendre-INF prep|de$v|unir
	n|étage&m
%mor:	co|bah v:mdl|falloir&PRES&3s v|descendre-INF det:art|un&m&sg
	n|étage&m prep|en adv:place|dessous
%mor:	adv|comment part|taire-PP&m v|descendre-IMP&2s ?
%mor:	part|taire-PP&m v:mdl|pouvoir&PRES&12s v|descendre-INF prep|par
	adv:place|là v|regarder-PRES&SUB&13s
%mor:	co|hop det:art|le&m&sg n|camion&m pro:sub|il v|venir-PRES&3s
	adv:place|là
%mor:	co|oh co|bah co|non=no pro:sub|il v|passer-PRES&SUB&13s ?|làbas
	adj|direct&m
%mor:	co|bah part|taire-PP&m pro:obj|te n|mets&m adv:place|là
	co|ouais=yes
%mor:	v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|il v|venir-PRES&SUB&1s
	adv:place|là
%mor:	co|oh
%mor:	pro:sub|elle v:aux|avoir&PRES&3s dé#part|foncer-PP&m
	det:art|la&f&sg n|barrière&f
%mor:	part|taire-PP&m v|écraser-PRES&SUB&2s det:art|les&pl n|gens ?
%mor:	co|eh co|ben
%mor:	conj|et ?|estce pro:rel|que$pro:sub|il v:mdl|pouvoir&COND&3s
