annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	43046	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	default	Don't tear Sello's book	1	clara							uskatabola buka ya Sello	Sesotho	u-ska-tabol-a buka ya Sello	sm2s-ng-t^p_tear-m^x book(9,10) 9 a_name	uskatabola buka ya Sello	2698755	pfx-pfx-v-sfx n ps ???	2231.4	2.234.083	2231.4	2.234.083	Sesotho	MMS	sme	u597	NA	NA	NA	Mother	16916	37	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43054	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	question	Today?	1	clara							kajeno tjee	Sesotho	kajeno tjee	av av	kajeno tjee	2698763	av av	2298	2.299.735	2298	2.299.735	Sesotho	MMS	sme	u605	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43056	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	default	Oh	1	clara							oo	Sesotho	oo	ij	oo	2698765	ij	2300.7	2.302.067	2300.7	2.302.067	Sesotho	MMS	sme	u607	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43057	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	question	What class were you in yesterday?	1	clara							maobane uneubalang	Sesotho	maobane u-ne-u-bal-a-ng	av sm2s-t^ne-sm2s-count-m^pt-wh	maobane uneubalang	2698766	av pfx-pfx-pfx-v-sfx-sfx	2.302.067	2.304.261	2.302.067	2.304.261	Sesotho	MMS	sme	u608	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43061	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	question	Who is it now that took off your jersey ?	1	clara							ke mang jwale yauhlobodisitseng jese	Sesotho	ke mang jwale ya-u-hlobod-is-its-e-ng jese	cp wh av sr1-om2s-undress-c-t^pf-m^pt-rl jersey(9,10)	ke mang jwale yauhlobodisitseng jese	2698770	cop wh av pfx-pfx-v-sfx-sfx-sfx-sfx n	2.309.147	2.317.337	2.309.147	2.317.337	Sesotho	MMS	sme	u612	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43063	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	question	Where is it?	1	clara							e kae	Sesotho	e kae	cp9 wh	e kae	2698772	cop wh	2318.4	2.319.426	2318.4	2.319.426	Sesotho	MMS	sme	u614	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43065	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	question	you left it in there?	1	clara							uesiile ka teng	Sesotho	u-e-si-il-e ka teng	sm2s-om9-leave_behind-t^pf-m^in pr loc	uesiile ka teng	2698774	pfx-pfx-v-sfx-sfx pr loc	2.322.256	2.325.538	2.322.256	2.325.538	Sesotho	MMS	sme	u616	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43067	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	question	Are you warm?	1	clara							ufuthumetse	Sesotho	u-futhumets-e	sm2s-become_warm/t^pf-m^in	ufuthumetse	2698776	pfx-v-sfx	2325.8	2.329.935	2325.8	2.329.935	Sesotho	MMS	sme	u618	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43068	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	default	No you'll tear your brothers book	1	clara							ee utlatabola buka ya abuti wahao	Sesotho	ee u-tla-tabol-a buka ya abuti wa-hao	ij sm2s-t^f1-tear-m^in book(9,10) 9 brother(1a,2a) 1a-2s	ee utlatabola buka ya abuti wahao	2698777	ij pfx-pfx-v-sfx n ps n ps-sfx	2325.8	2.329.935	2325.8	2.329.935	Sesotho	MMS	sme	u619	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43070	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	default	Put down	1	clara							beha fatSe	Sesotho	beh-a fatSe	put-m^i loc	beha fatSe	2698779	v-sfx loc	2331.5	2.334.257	2331.5	2.334.257	Sesotho	MMS	sme	u621	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43071	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	default	Put it down	1	clara							ebehe fatSe	Sesotho	e-beh-e fatSe	om9-put-m^i loc	ebehe fatSe	2698780	pfx-v-sfx loc	2331.5	2.334.257	2331.5	2.334.257	Sesotho	MMS	sme	u622	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
1	43072	2492	16916	930	Masebina	NA	Female	Mother	Mother	Adult	default	You turn the page	1	clara							uphetla	Sesotho	u-phetl-a	sm2s-t^p_turn-m^in	uphetla	2698781	pfx-v-sfx	2331.5	2.334.257	2331.5	2.334.257	Sesotho	MMS	sme	u623	NA	NA	NA	Mother	16916	38	17b_94.24	020900ab.cha	Litlhare	Litlhare-020900ab.cha	mother	Keychild	CDS
