%mor:	part|taire-PP&m v:aux|être&PRES&2s n|timide ?
%mor:	pro|moi&sg pro:sub|je v:aux|être&PRES&1s neg|pas n|timide prep|avec
	det:art|les&pl n|gens
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ce$v:aux|être&PRES&3s
	n|maman&f ?
%mor:	co|oh part|taire-PP&m v|prendre-PRES&IMP&12s part|taire-PP&m
%mor:	part|taire-PP&m prep|en v|prendre-PRES&IMP&12s n|tout&m co|hein
%mor:	adv|si part|taire-PP&m v:mdl|vouloir&PRES&12s pro:sub|on
	n|échange&m
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te v|donner-INF
	det:art|un&m&sg n|gâteau&m
%mor:	v|donner-IMP&2s
%mor:	pro|moi&sg pro:sub|je v:mdl|vouloir&PRES&12s neg|pas prep|de&les
	n|miette&f-PL co|hein
%mor:	co|non=no
