%mor:	co|bon co|allez ?|ame
%mor:	pro:sub|je$v|arriver-IMP&2s n|deux&m n|second&f-PL
%mor:	?|ok ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas prep|de det:art|la&f&sg
	n|colle&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF pro:int|quoi
	? co|non=no co|non=no part|taire-PP&m n|joue&f-PL neg|pas prep|avec
	det:art|la&f&sg n|colle&f ?|nanuou
%mor:	v|tenir-IMP&2s
%mor:	co|eh co|beh co|oui=yes pro:dem|ça pro:dem|ce$v:exist|être&IMPF&3s
	adv|sûr
%mor:	co|oui=yes co|ben pro:sub|je n|pose&f neg|pas prep|à pro|toi&sg
%mor:	co|ouais=yes
%mor:	?|chutchutchut
%mor:	co|chut co|chut co|chut ?|ame
%mor:	co|chut ?|ame v|taire-IMP&2s~pro|toi
%mor:	pro:sub|elles v:aux|être&PRES&3p adv:place|là–bas
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|mon&m&sg n|anniversaire&m ?
%mor:	co|oh co|merci
