%mor:	n|rose
%mor:	det:art|le$pro|autre&sg n|jour&m pro:sub|elle v|dire-IMPF&3s
%mor:	co|coucou=peekaboo
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|truc&m prep|que
	pro:sub|je pro:ind|leur v:aux|avoir&PRES&1s part|donner-PP&m
	adv|aussi
%mor:	pro|moi&sg pro:sub|je$v:aux|avoir&PRES&1s part|finir-PP&m
%mor:	adj|sauf&m pro:rel|que$pro:sub|il n|reste&m n|deux&m n|cadre&m-PL
	conj|et det:art|un&m&sg n|truc&m adv|mais pro:sub|je
	v:mdl|savoir&PRES&12s neg|pas adv|comment pro:sub|on pro:obj|les
	v|accrocher-PRES&SUB&13s
%mor:	conj|et pro:sub|il v:mdl|falloir&PRES&3s v|réparer-INF
	det:art|le&m&sg n|truc&m prep|de det:art|le$n|ordinateur&m adv|aussi
%mor:	v|regarder-IMP&2s n|maman&f prep|de&les n|crocodile&m-PL
