annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotatorName1	commentsAnnotation1	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id_acqdiv	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role	speaker_id.1	MinuteofUtterance	TotalRecordingTime	keychild	speaker	role_adressee	register
925	25774	2462	16731	930	Masebina	NA	Female	Mother	Adult	default	Yes	emilie	NA	NA	NA	NA	NA	e	Sesotho	e	ij	e	2681483	ij	5.013.193	5015.9	5.013.193	5015.9	Sesotho	MMS	sme	u593	NA	NA	NA	Mother	16731	83	2b_92.26	Litlhare	mother	Brother	OCDS
925	25365	2462	16731	930	Masebina	NA	Female	Mother	Adult	default	Hey brother Sello!	emilie	NA	NA	NA	NA	NA	he abuti Sello	Sesotho	he abuti Sello	ij brother(1a,2a) a_name	he abuti Sello	2681074	ij n ???	3526.2	3.527.829	3526.2	3.527.829	Sesotho	MMS	sme	u184	NA	NA	NA	Mother	16731	58	2b_92.26	Litlhare	mother	Brother	OCDS
925	25591	2462	16731	930	Masebina	NA	Female	Mother	Adult	default	Wash your hands and pour food for yourself	emilie	NA	NA	NA	NA	NA	hlapa uingwathele	Sesotho	hlap-a u-i-ngwath-el-e	wash_hands-m^i sm2s-rf-t^p_take_piece-ap-m^s	hlapa uingwathele	2681300	v-sfx pfx-pfx-v-sfx-sfx	4272.8	4.275.108	4272.8	4.275.108	Sesotho	MMS	sme	u410	NA	NA	NA	Mother	16731	71	2b_92.26	Litlhare	mother	Brother	OCDS
925	25577	2462	16731	930	Masebina	NA	Female	Mother	Adult	default	Take this	emilie	NA	NA	NA	NA	NA	nka	Sesotho	nk-a	take-m^i	nka	2681286	v-sfx	4.203.244	4.208.719	4.203.244	4.208.719	Sesotho	MMS	sme	u396	NA	NA	NA	Mother	16731	70	2b_92.26	Litlhare	mother	Brother	OCDS
925	25243	2462	16731	930	Masebina	NA	Female	Mother	Adult	default	She will cry	emilie	NA	NA	NA	NA	NA	otlalla	Sesotho	o-tla-ll-a	sm1-t^f1-cry-m^in	otlalla	2680952	pfx-pfx-v-sfx	3066.7	3.069.351	3066.7	3.069.351	Sesotho	MMS	sme	u62	NA	NA	NA	Mother	16731	51	2b_92.26	Litlhare	mother	Brother	OCDS
925	25745	2462	16731	930	Masebina	NA	Female	Mother	Adult	question	Is she standing?	emilie	NA	NA	NA	NA	NA	oeme	Sesotho	o-em-e	sm1-stand-t^pf/m^in	oeme	2681454	pfx-v-sfx	4879.5	4.880.738	4879.5	4.880.738	Sesotho	MMS	sme	u564	NA	NA	NA	Mother	16731	81	2b_92.26	Litlhare	mother	Brother	OCDS
925	25218	2462	16731	930	Masebina	NA	Female	Mother	Adult	default	You are eating this food of the child you are greedy	emilie	NA	NA	NA	NA	NA	uja dijo tsee tsa ngwana uakhala	Sesotho	u-j-a di-jo tsee tsa ngwana u-a-khal-a	sm2s-t^p_eat-m^in 8-food(7,8) 8 8 child(1irg) sm2s-t^p-be_greedy-m^in	uja dijo tsee tsa ngwana uakhala	2680927	pfx-v-sfx pfx-n d ps n pfx-pfx-v-sfx	2.999.604	3.004.777	2.999.604	3.004.777	Sesotho	MMS	sme	u37	NA	NA	NA	Mother	16731	49	2b_92.26	Litlhare	mother	Brother	OCDS
925	25593	2462	16731	930	Masebina	NA	Female	Mother	Adult	default	Wash your hands and pour food for yourself	emilie	NA	NA	NA	NA	NA	hlapa uingwathele	Sesotho	hlap-a u-i-ngwath-el-e	wash_hands-m^i sm2s-rf-t^p_take_piece-ap-m^s	hlapa uingwathele	2681302	v-sfx pfx-pfx-v-sfx-sfx	4275.8	4.278.161	4275.8	4.278.161	Sesotho	MMS	sme	u412	NA	NA	NA	Mother	16731	71	2b_92.26	Litlhare	mother	Brother	OCDS
925	25742	2462	16731	930	Masebina	NA	Female	Mother	Adult	question	Now where are you looking ?	emilie	NA	NA	NA	NA	NA	useusheba kae jwale	Sesotho	u-se-u-sheb-a kae jwale	sm2s-t^se-sm2s-look-m^pt wh av	useusheba kae jwale	2681451	pfx-pfx-pfx-v-sfx wh av	4869	4.875.869	4869	4.875.869	Sesotho	MMS	sme	u561	NA	NA	NA	Mother	16731	81	2b_92.26	Litlhare	mother	Brother	OCDS
925	25588	2462	16731	930	Masebina	NA	Female	Mother	Adult	default	Yes	emilie	NA	NA	NA	NA	NA	e	Sesotho	e	ij	e	2681297	ij	4262.4	4.263.518	4262.4	4.263.518	Sesotho	MMS	sme	u407	NA	NA	NA	Mother	16731	71	2b_92.26	Litlhare	mother	Brother	OCDS
