annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotatorName1	commentsAnnotation1	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id_acqdiv	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role	speaker_id.1	MinuteofUtterance	TotalRecordingTime	keychild	speaker	role_adressee	register
885	17464	2445	16629	884	Mahlobohang	NA	Female	Mother	Adult	default	Just give me a break with that mm of yours!	emilie	NA	885	clara	NA	NA	ako be butle ka mm eno yahao hele	Sesotho	ako be butle ka mm eno ya-hao hele	ij ij ij pr ij 9 9-2s ij	ako be butle ka mm eno yahao hele	2673173	ij ij ij pr ij d ps-sfx ij	2908.5	2.912.596	2908.5	2.912.596	Sesotho	MHL	sme	u9	NA	NA	NA	Mother	16629	48	16_95.13	Hlobohang	mother	Cousin	OCDS
885	17462	2445	16629	884	Mahlobohang	NA	Female	Mother	Adult	default	Hey you Mololo !	emilie	NA	885	clara	NA	NA	hei wena Mololo	Sesotho	hei wena Mololo	ij 2s a_name	hei wena Mololo	2673171	ij pn ???	2907.1	2.908.466	2907.1	2.908.466	Sesotho	MHL	sme	u7	NA	NA	NA	Mother	16629	48	16_95.13	Hlobohang	mother	Cousin	OCDS
885	15776	2442	16608	884	Mahlobohang	NA	Female	Mother	Adult	default	Yes run	emilie	NA	885	clara	NA	NA	e matha	Sesotho	e math-a	ij run-m^i	e matha	2671485	ij v-sfx	631.742	634.331	631.742	634.331	Sesotho	MHL	sme	u57	NA	NA	NA	Mother	16608	10	15_95.01	Hlobohang	mother	Cousin	OCDS
885	15774	2442	16608	884	Mahlobohang	NA	Female	Mother	Adult	question	Take you will say what do you want ?	emilie	NA	885	clara	NA	NA	nka utlare ubatlang	Sesotho	nk-a u-tla-r-e u-batl-a-ng	take-m^i sm2s-t^f1-say-m^pt sm2s-t^p_want-m^pt-wh	nka utlare ubatlang	2671483	v-sfx pfx-pfx-v-sfx pfx-v-sfx-sfx	626.669	628.824	626.669	628.824	Sesotho	MHL	sme	u55	NA	NA	NA	Mother	16608	10	15_95.01	Hlobohang	mother	Cousin	OCDS
885	15773	2442	16608	884	Mahlobohang	NA	Female	Mother	Adult	default	There is no person who is going to buy curry at the cafe	emilie	NA	885	clara	NA	NA	ha hona motho yailorekang kere khefing	Sesotho	ha hona mo-tho ya-ilo-rek-a-ng kere khefi-ng	ng cp 1-person(1,2) sr1-t^f4-buy-m^pt-rl curry(9,10) cafe(9,10)-lc	ha hona motho yailorekang kere khefing	2671482	ng cop pfx-n pfx-pfx-v-sfx-sfx n n-sfx	621.845	626.669	621.845	626.669	Sesotho	MHL	sme	u54	NA	NA	NA	Mother	16608	10	15_95.01	Hlobohang	mother	Cousin	OCDS
885	15772	2442	16608	884	Mahlobohang	NA	Female	Mother	Adult	default	Mololo	emilie	NA	885	clara	NA	NA	Mololo	Sesotho	Mololo	a_name	Mololo	2671481	???	613.208	621.845	613.208	621.845	Sesotho	MHL	sme	u53	NA	NA	NA	Mother	16608	10	15_95.01	Hlobohang	mother	Cousin	OCDS
885	17461	2445	16629	884	Mahlobohang	NA	Female	Mother	Adult	default	Mololo	emilie	NA	885	clara	NA	NA	Mololo	Sesotho	Mololo	a_name	Mololo	2673170	???	2.903.058	2.907.426	2.903.058	2.907.426	Sesotho	MHL	sme	u6	NA	NA	NA	Mother	16629	48	16_95.13	Hlobohang	mother	Cousin	OCDS
885	9394	2429	16508	884	Mahlobohang	NA	Female	Mother	Adult	question	What ?	emilie	NA	NA	NA	NA	NA	e	Sesotho	e	wh	e	2665103	wh	4.447.114	4.455.742	4.447.114	4.455.742	Sesotho	MHL	sme	u239	NA	NA	NA	Mother	16508	74	8_95.10	Hlobohang	mother	Cousin	OCDS
885	14463	2438	16573	884	Mahlobohang	NA	Female	Mother	Adult	default	No drink first and finish	emilie	NA	NA	NA	NA	NA	ee nwang pele leqeta	Sesotho	ee nw-ang pele le-qet-a	ij drink-m^ip av sm2p-t^p_finish-m^i	ee nwang pele leqeta	2670172	ij v-sfx av pfx-v-sfx	1856.2	1.858.578	1856.2	1.858.578	Sesotho	MHL	sme	u266	NA	NA	NA	Mother	16573	30	13_95.11	Hlobohang	mother	Cousin	OCDS
885	15775	2442	16608	884	Mahlobohang	NA	Female	Mother	Adult	question	you will say what do you want ?	emilie	NA	885	clara	NA	NA	utlare ubatlang	Sesotho	u-tla-r-e u-batl-a-ng	sm2s-t^f1-say-m^pt sm2s-t^p_want-m^pt-wh	utlare ubatlang	2671484	pfx-pfx-v-sfx pfx-v-sfx-sfx	628.824	631.742	628.824	631.742	Sesotho	MHL	sme	u56	NA	NA	NA	Mother	16608	10	15_95.01	Hlobohang	mother	Cousin	OCDS
