utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
18699	SIS	sister	tu veux que j'aille chercher ton bébé Ana?				Anais/247b.cha	1	clara						Anais	child	Keychild
18701	SIS	sister	je vais aller chercher d'abord  ton tablier				Anais/247b.cha	1	clara						Anais	child	Keychild
18715	SIS	sister	les tasses comme ça?				Anais/247b.cha	1	clara						Anais	child	Keychild
18717	SIS	sister	ah oui				Anais/247b.cha	1	clara						Anais	child	Keychild
18719	SIS	sister	tiens Ana				Anais/247b.cha	1	clara						Anais	child	Keychild
18721	SIS	sister	ton bébé				Anais/247b.cha	1	clara						Anais	child	Keychild
18723	SIS	sister	avec le chapeau			%com passage non transcrit de Chl 31645332648/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	child	Keychild
18724	SIS	sister	xxx				Anais/247b.cha	1	L						Anais	child	Keychild
18725	SIS	sister	xxx				Anais/247b.cha	1	L						Anais	child	Keychild
18726	SIS	sister	le tablier				Anais/247b.cha	1	L						Anais	child	Keychild
18731	SIS	sister	Encore un habit				Anais/247b.cha	1	L						Anais	child	Keychild
18735	SIS	sister	tiens Ana				Anais/247b.cha	1	clara						Anais	child	Keychild
18769	SIS	sister	il est déjà enlevé 				Anais/247b.cha	1	L						Anais	child	Keychild
18788	SIS	sister	heu oui ca c'est la couverture				Anais/247b.cha	1	L						Anais	child	Keychild
18810	SIS	sister	non				Anais/247b.cha	1	L						Anais	child	Keychild
18812	SIS	sister	dans le bain				Anais/247b.cha	1	L						Anais	child	Keychild
18976	SIS	sister	mais pourquoi tu as pris ma caisse Ana?				Anais/247b.cha	1	clara						Anais	child	Keychild
18982	SIS	sister	Ana je crois pas que j'ai pas mis mes sous dedans				Anais/247b.cha	1	clara						Anais	child	Keychild
19000	SIS	sister	merci Ana				Anais/247b.cha	1	clara						Anais	child	Keychild
19002	SIS	sister	tu es gentille Ana				Anais/247b.cha	1	clara						Anais	child	Keychild
19073	SIS	sister	anais attention je suis en train de descendre				Anais/247b.cha	1	L						Anais	child	Keychild
19088	SIS	sister	Ana on a les mêmes				Anais/247b.cha	1	clara						Anais	child	Keychild
19102	SIS	sister	où ils sont les autres Ana?				Anais/247b.cha	1	clara						Anais	child	Keychild
19128	SIS	sister	Ana				Anais/247b.cha	1	clara						Anais	child	Keychild
19183	SIS	sister	pardon anais mais t'es sur mon passage				Anais/247b.cha	1	L						Anais	child	Keychild
19184	SIS	sister	t'es sur mon passage				Anais/247b.cha	1	L						Anais	child	Keychild
19209	SIS	sister	Ana tu peux me donner xxx				Anais/247b.cha	1	clara						Anais	child	Keychild
19282	SIS	sister	tu veux que je le mette?				Anais/247b.cha	1	clara						Anais	child	Keychild
