utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee
31890	MOT	mother	bon allez Ame			%sit  Tim prend la station service du garage 44524897/Theotime/239b.cha	Theotime/239b.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child
31891	MOT	mother	j'arrive deux secondes			%sit  Mot se lève et quitte la pièce avec Ame 489754825/Theotime/239b.cha	Theotime/239b.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child
31903	MOT	mother	xxx ok ? 				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
31904	MOT	mother	xxx				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
31906	MOT	mother	c'est pas de la colle				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
31908	MOT	mother	tu veux faire quoi ? non non tu joues pas avec la colle nanuou				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
31909	MOT	mother	tiens				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
31935	MOT	mother	eh beh oui ça c'était sûr				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
31975	MOT	mother	oui ben je pose pas à toi				Theotime/239b.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child
32078	MOT	mother	ouais				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
32081	MOT	mother	chutchutchut				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
32172	MOT	mother	chut chut chut Ame				Theotime/239b.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child
32198	MOT	mother	chut Ame tais-toi				Theotime/239b.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child
32285	MOT	mother	xxx elles sont là-bas 				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
32288	MOT	mother	xxx				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
32665	MOT	mother	qui c'est ça ? xxx				Theotime/239b.cha	SIS	c				Theotime	mother	Other child
32726	MOT	mother	c'est mon www anniversaire www?				Theotime/239b.cha	SIS	clara		Lara		Theotime	mother	Other child
32727	MOT	mother	oh merci			%sit  Mot prend le gâteau dans ses mains /Theotime/239b.cha	Theotime/239b.cha	SIS	clara		Lara		Theotime	mother	Other child
32759	MOT	mother	xxx				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32761	MOT	mother	après t'iras choisir tes chaussettes toi				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32763	MOT	mother	xxx				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32764	MOT	mother	Amé			%sit  le son ne marche pas correctement ici discussion entre Amé et sa mère 322317713/Theotime/2324a.cha	Theotime/2324a.cha	SIS	clara	SIS	Lara		Theotime	mother	Other child
32765	MOT	mother	bon ça va				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32777	MOT	mother	toi Ame tu dessines ? 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32779	MOT	mother	tu veux faire quoi ? 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32780	MOT	mother	oui mais après 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32782	MOT	mother	je te sors des feuilles ? 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32785	MOT	mother	oui mais tu vas choisir ta cassette après				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32891	MOT	mother	d'accord j'arrive				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32897	MOT	mother	tu veux que je le mette au début ? 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32899	MOT	mother	c'est pas le début ça hein 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32900	MOT	mother	tu me diras quand ça aura fini				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32902	MOT	mother	quand ça aura fini xxx quand t'entendras tu appuieras là-dessus				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32904	MOT	mother	en direction de xxx sur la flèche  				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32906	MOT	mother	oui quand t'auras entendu que ça a fini de rembobiner				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32952	MOT	mother	bah appuie sur la flèche				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32965	MOT	mother	oui				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32966	MOT	mother	c'est bon Ame t'appuies sur la flèche bon sang !				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32967	MOT	mother	tu sais pas faire ? 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32968	MOT	mother	je t'ai dit t'appuies sur la flèche 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32969	MOT	mother	alors				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32971	MOT	mother	eh ben				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32973	MOT	mother	eh ben voilà ! 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32975	MOT	mother	jtai dit de faire 				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32977	MOT	mother	ça va				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
32978	MOT	mother	ça va commencer				Theotime/2324a.cha	SIS	c				Theotime	mother	Other child
