%mor:	co|oui=yes
%mor:	co|non=no co|euh det:art|les&pl n|garçon&m-PL pro:sub|vous co|allez
	adv:place|là–haut det:art|un&m&sg adj|petit&m n|peu&m
%mor:	adv|alors pro:obj|vous part|faire-PP&f&pl neg|pas prep|de n|bruit&m
%mor:	?|ael
%mor:	?|arthur ?
%mor:	co|allez ?|ael v:mdl|aller&PRES&3s adv:place|là–haut
	det:art|un&m&sg adj|petit&m n|peu&m adv|si pro:sub|il pro:obj|te
	v|plaire-PRES&3s
%mor:	n|si&m v:mdl|aller&PRES&3s v|préparer-INF det:art|les&pl
	n|jouet&m-PL prep|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v|emmener-INF n|demain&m
%mor:	co|allez
%mor:	adv|très adv|bien
%mor:	co|oui=yes
%mor:	v:mdl|aller&PRES&3s prep|dans det:poss|ta&f&sg n|chambre&f
%mor:	co|voilà adj|bon&f n|idée&f
%mor:	co|non=no co|non=no co|non=no pro:sub|on neg|ne
	v|emmener-PRES&SUB&13s prep|que prep|de&les adj|petit&f-PL
	n|chose-PL=thing
%mor:	conj|et det:art|la&f&sg n|momie&f part|taire-PP&m det:art|la&f&sg
	v|ranger-PRES&SUB&2s
%mor:	v|tenir-IMP&2s adv|ben v|prendre-PRES&IMP&12s pro:dem|ça conj|et
	n|mets&m det:art|le&m&sg prep|à co|la n|poubelle&f ?|arthur adv|si
	pro:sub|il pro:obj|te v|plaire-PRES&3s conj|et
	re#v:mdl|faire-PRES&12s det:poss|ton&m&sg n|lacet&m
%mor:	pro:dem|ça part|taire-PP&m n|peu&m-PL pro:obj|le$v|emmener-INF
	n|oui&m
%mor:	?|ael co|non=no v:mdl|aller&PRES&3s v:mdl|faire-INF pro:dem|ça
	adv:place|là–haut
%mor:	co|oui=yes
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:int|où ?|arthur ?
%mor:	co|non=no co|hé pro:obj|vous v|arrêter-IMP&2p pro|tous&m&pl
	det:art|les&pl num|deux
%mor:	co|allez co|hop
%mor:	det:gen|quel&m&sg n|sac&m ?
%mor:	det:gen|quel&m&sg n|sac&m ?
%mor:	co|chut det:art|les&pl n|garçon&m-PL
%mor:	adv|d'accord
%mor:	co|oui=yes adv|d'accord
%mor:	co|chut
%mor:	?|ael n|si&m pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	?|ael
%mor:	det:art|le&m&sg n|singe&m ?
%mor:	v:mdl|aller&IMP&2p ?|ael v|pousser-IMP&2s pro|toi&sg
%mor:	?|ael v|venir-PRES&12s pro:sub|je v:mdl|aller&PRES&1s pro:obj|te
%mor:	pro:int|quoi co|non=no ?
%mor:	co|bon ?|ael pro|toi&sg pro:sub|tu pro:obj|te$v|occuper-PRES&SUB&2s
	prep|de det:poss|tes&pl n|affaire&f-PL adv|si pro:sub|il pro:obj|te
	v|plaire-PRES&3s
%mor:	co|non=no adv|mais part|taire-PP&m v:mdl|aller&PRES&2s v|ranger-INF
	n|si&m pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	co|oh ?|ael part|taire-PP&m pro:obj|me v|fatiguer-PRES&SUB&2s
	adv:place|là
%mor:	adv|bien adj|sûr&m pro:dem|ça conj|si$v:aux|être&PRES&3s
	part|faire-PP&m n|tout&m adv|seul
%mor:	v|tenir-IMP&2s part|taire-PP&m v:mdl|aller&PRES&2s re#v|mettre-INF
	pro:dem|ça prep|dans det:art|la&f&sg n|+n|salle+prep|de+n|bain
	pro:sub|tu v:mdl|savoir&PRES&12s pro:rel|où pro:dem|ça pro:refl|se
	v|mettre-PRES&3s
%mor:	adv|mais pro:sub|je v:mdl|aller&PRES&1s pro:obj|le
	v:mdllex|faire-INF pro:sub|je v:mdl|aller&PRES&1s pro:obj|le
	v:mdllex|faire-INF
%mor:	conj|et ?|omer pro:sub|il v:aux|être&PRES&3s part|rentrer-PP&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adv|sûr ?
%mor:	?|ael v|arrêter-PRES&SUB&13s
%mor:	?|ael v|arrêter-PRES&SUB&13s det:art|un&m&sg adj|petit&m n|peu&m
	adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	v:mdl|aller&PRES&3s v|dire-INF prep|à n|papa&m prep|que
	det:art|le&m&sg n|facteur&m pro:sub|il v:aux|être&PRES&3s n|passé&m
	conj|et pro:rel|que$pro:y|y v:poss|avoir&IMPF&3s neg|rien ?|ael
%mor:	?|ael v:mdl|aller&PRES&3s v|dire-INF prep|à n|papa&m
%mor:	det:art|les&pl n|garçon&m-PL pro:sub|je pro:obj|vous
	v:aux|avoir&PRES&1s
%mor:	co|ouais=yes
%mor:	conj|et pro:dem|ça adv|aussi v|regarder-IMP&2s part|taire-PP&m
	v|ramener-PRES&SUB&2s prep|dans det:poss|ta&f&sg n|chambre&f
