%mor:	co|oui=yes
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas conj|ou
	pro:dem|ce$v:exist|être&PRES&3s det:poss|ma&sg n|chéri&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:obj|vous pro:int|qui
	v:aux|avoir&PRES&2p part|faire-PP&m det:art|les&pl n|zouave&m-PL
	prep|avec pro:dem|ce n|matin&m
%mor:	pro:sub|il v:mdl|devoir&PRES&3s v:aux|être&INF prep|par n|terre&f
	det:gen|quelque n|part&f
%mor:	pro:obj|te$v:poss|avoir&PRES&2s part|trouver-PP&m ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s ?
%mor:	co|oui=yes pro:sub|on pro:obj|les v|manger-PRES&SUB&13s
%mor:	co|non=no pro:sub|il v:mdl|devoir&PRES&3s neg|pas
	pro:obj|te$pro:y|en v|manquer-INF ?|chloé
%mor:	pro:sub|je v|penser-PRES&SUB&13s det:art|le&m&sg adj|rouge
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas pro:dem|ca ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|bien&m ?|chloé
%mor:	co|ouais=yes
%mor:	co|la
%mor:	co|oui=yes
%mor:	co|bah part|taire-PP&m v|dire-PRES&PASS&12s n|si&m pro:sub|on
	pro:obj|te v|géner-PRES&SUB&13s=to_block
%mor:	adv|ben pro:obj|te$pro:y|y v|arriver-PRES&SUB&2s
%mor:	adv|ben co|voilà pro:obj|te$pro:y|y v|arriver-FUT&2s ?|mieuc
	adv|comme pro:dem|ca
%mor:	conj|et co|bah part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	co|oui=yes
%mor:	co|ah co|bah co|oui=yes
%mor:	conj|et co|oui=yes
%mor:	co|oui=yes n|mai&m-PL prep|après pro:sub|il v:aux|être&PRES&3s
	re#part|devenir-PP&m adj|gentil&m
%mor:	co|merci ?|chl
%mor:	co|ah cm|cm adv|alors pro:sub|ils v:aux|être&PRES&3p conj|ou
	det:art|les&pl n|bord&m-PL ?
%mor:	n|laisse&f part|luire&PP&m cm|cm v|laisser-IMP&2s pro:ind|lui
%mor:	det:art|un&m&sg n|coin&m
%mor:	pro:sub|il v:aux|être&IMPF&3s n|complet&m adv|pourtant
	det:art|le&m&sg n|puzzle&m
%mor:	co|non=no co|bah neg|ne det:art|les&pl cm|cm n|laisse&f
	det:art|les&pl adv|comme pro:dem|ca
%mor:	co|eh part|taire-PP&m v|ranger-PRES&SUB&2s pro|toi&sg
%mor:	?|chloé
%mor:	v|tenir-IMP&2s pro:sub|je pro:obj|te ?|emts pro:dem|celui&m&sg
	adv:place|là adv|si part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s v|jouer-INF prep|à&les
	n|domino&m-PL
%mor:	pro:sub|on part|faire-PP&m prep|avec det:art|les&pl n|animal&m&pl ?
%mor:	v|mettre-IMP&2s det:art|les&pl prep|à det:art|le$n|envers&m ?|chloé
%mor:	conj|et pro|toi&sg part|taire-PP&m v:aux|avoir&PRES&2s num|deux
	n|pareil&m-PL ?
%mor:	co|ah co|bah part|taire-PP&m v:aux|avoir&PRES&2s num|deux
	n|arbre&m-PL
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s pro:rel|que$prep|à v|mettre-INF
	det:poss|tes&pl num|deux n|arbre&m-PL
%mor:	adv|alors adv|soit det:art|un&m&sg n|arbre&m adv|soit
	det:art|un&m&sg n|cochon&m ?|chl
%mor:	conj|et co|bah n|mets&m det:art|le&m&sg n|cochon&m
%mor:	adv|alors n|pioche&f
%mor:	pro:sub|tu v:mdl|pouvoir&PRES&12s v|mettre-INF det:art|le$n|arbre&m
%mor:	co|non=no n|laisse&f det:poss|ta&f&sg n|soeur&f v|choisir-INF
%mor:	prep|à pro|toi&sg ?|chl
%mor:	v:mdl|aller&PRES&2p prep|à pro|toi&sg ?|chl
%mor:	v|mettre-IMP&2s prep|de&les n|mouton&m-PL adv|encore
%mor:	conj|et co|bah n|pioche&f
%mor:	conj|et pro|toi&sg ?|chloé ?
%mor:	n|cochon&m ?
%mor:	v|mettre-IMP&2s det:poss|ton&m&sg n|cochon&m det:art|la&f&sg
	adj|bas&m
%mor:	co|ouais=yes adv|mais pro:obj|nous pro:sub|on v:aux|être&PRES&3s
	det:art|les&pl n|canard&m-PL=duck
%mor:	prep|à ?|chl
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	pro:obj|nous v:aux|avoir&PRES&2s part|piocher-PP&m pro|toi&sg ?
%mor:	det:art|un&m&sg n|cochon&m
%mor:	pro:obj|te$v:poss|avoir&PRES&2s adj|mi&m-PL=half pro:int|quoi
	prep|avec n|ton&m=tone adj|blanc ?
%mor:	n|pioche&f
%mor:	v:aux|avoir&PRES&3s pro|toi&sg ?|chloé
%mor:	co|oui=yes part|taire-PP&m n|pioche&f-PL
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|mouton&m
	det:art|la&f&sg adj|bas&m
%mor:	co|ouais=yes
%mor:	co|allez n|mets&m det:poss|ton&m&sg n|cochon&m
%mor:	part|taire-PP&m n|mets&m det:poss|ton&m&sg n|cochon&m
	det:poss|ma&sg ?|chloé
