%mor:	det:art|un&m&sg n|bisou&m co|mh prep|à prep|plus n|tard&m ?|ana
%mor:	co|hum part|taire-PP&m pro:obj|me$v:poss|avoir&PRES&2s
	part|préparer-PP&m det:art|un&m&sg n|thé&m
%mor:	co|hum
%mor:	v:mdl|faire-PRES&12s det:art|un&m&sg n|bisou&m ?
%mor:	pro:int|quoi pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|préparer-PP&m
	det:art|le&m&sg n|thé&m ?
%mor:	conj|et det:art|le&m&sg n|café&m ?
%mor:	conj|et det:art|un&m&sg n|chocolat&m ?
%mor:	det:art|un&m&sg n|chocolat&m
%mor:	co|non=no v|préparer-IMP&2s pro|moi&sg det:art|un&m&sg n|chocolat&m
	adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	det:art|un&m&sg n|chocolat&m
%mor:	det:art|un&m&sg n|peu&m prep|de n|lait&m=milk det:art|un&m&sg
	n|peu&m prep|de n|chocolat&m
%mor:	conj|et part|taire-PP&m v:mdl|faire-PRES&12s v|chauffer-INF
%mor:	conj|et co|ben v:mdl|faire-PRES&12s v|chauffer-INF ?|làdedans
%mor:	v:mdl|faire-PRES&12s v|chauffer-INF prep|dans det:art|le&m&sg
	n|four&m
%mor:	v|mettre-IMP&2s neg|pas prep|de n|plastique co|hein ?
