utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
34543	SIS	sister	tiens				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34606	SIS	sister	non				Theotime/2422a.cha	1	c						Theotime	child	Keychild
34618	SIS	sister	un lit voyons				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34619	SIS	sister	et un				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34620	SIS	sister	oui c'est parce que de c'est un peu déchiré				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34643	SIS	sister	xxx tu vas trouver tout ce qui est jaune				Theotime/2422a.cha	1	c						Theotime	child	Keychild
34651	SIS	sister	Tim tu peux trouver?				Theotime/2422a.cha	1	c						Theotime	child	Keychild
34682	SIS	sister	ça c'est une chaussette				Theotime/2422a.cha	1	c						Theotime	child	Keychild
34693	SIS	sister	non				Theotime/2422a.cha	1	c						Theotime	child	Keychild
34712	SIS	sister	déjeuner				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34724	SIS	sister	www				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34728	SIS	sister	oui				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34742	SIS	sister	tout c'qu'est là				Theotime/2422a.cha	1	c						Theotime	child	Keychild
34754	SIS	sister	où y a le sceau dans cette image				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34755	SIS	sister	hein				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34760	SIS	sister	bravo				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34763	SIS	sister	la brouette où elle est?				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34780	SIS	sister	rateau				Theotime/2422a.cha	1	clara						Theotime	child	Keychild
34803	SIS	sister	il faut bien qu'on t'entend				Theotime/2422a.cha	1	c						Theotime	child	Keychild
