annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	68172	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	I am taking it	963	clara							keaenka	Sesotho	ke-a-e-nk-a	sm1s-t^p-om9-take-m^in	keaenka	2723881	pfx-pfx-pfx-v-sfx	81.136	82.44	81.136	82.44	Sesotho	CHI	sme	u12	NA	1610	NA		NA	1	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68173	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	or a cup	963	clara							kapa lebekere	Sesotho	kapa le-bekere	cj 5-cup(5 6)	kapa lebekere	2723882	cj pfx-n	82.44	83.815	82.44	83.815	Sesotho	CHI	sme	u13	NA	1610	NA		NA	1	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68207	2537	17266	965	Hleso	6;0.0	Male	Brother	Brother	Child	default	Neuoe wait you'll make me hit things	963	clara							Neuoe bo khahle utlanthudisa dintho	Sesotho	Neuoe bo khahle u-tla-n-thud-is-a di-ntho	a_name ij ij sm2s-t^f1-om1s-collide_with-c-m^in 10-thing(9 10)	Neuoe bo khahle utlanthudisa dintho	2723916	??? ij ij pfx-pfx-pfx-v-sfx-sfx pfx-n	301.356	306.15	301.356	306.15	Sesotho	HLE	sme	u47	NA	2190	NA		NA	5	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68298	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	I am wearing it	963	clara							keaerwala	Sesotho	ke-a-e-rwal-a	sm1s-t^p-om9-put_on-m^in	keaerwala	2724007	pfx-pfx-pfx-v-sfx	863.006	866.27	863.006	866.27	Sesotho	CHI	sme	u138	NA	1610	NA		NA	14	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68299	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	I will do like this	963	clara							ketlaetsa tjena	Sesotho	ke-tla-ets-a tjena	sm1s-t^f1-do-m^in av	ketlaetsa tjena	2724008	pfx-pfx-v-sfx av	866.27	868.09	866.27	868.09	Sesotho	CHI	sme	u139	NA	1610	NA		NA	14	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68301	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	Wear it	963	clara							erwale	Sesotho	e-rwal-e	om9-put_on-m^i	erwale	2724010	pfx-v-sfx	869.808	872.27	869.808	872.27	Sesotho	CHI	sme	u141	NA	1610	NA		NA	14	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68302	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	No be quiet Neuoe	963	clara							ae thola Neuoe	Sesotho	ae thol-a Neuoe	ij become_silent-m^i a_name	ae thola Neuoe	2724011	ij v-sfx ???	872.27	873.92	872.27	873.92	Sesotho	CHI	sme	u142	NA	1610	NA		NA	14	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68303	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	I will beat you	963	clara							keauotla	Sesotho	ke-a-u-otl-a	sm1s-t^p-om2s-beat-m^in	keauotla	2724012	pfx-pfx-pfx-v-sfx	873.92	875.125	873.92	875.125	Sesotho	CHI	sme	u143	NA	1610	NA		NA	14	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68332	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	Neuoe bring	963	clara							Neuoe tlisa	Sesotho	Neuoe tl-is-a	a_name come-c-m^i	Neuoe tlisa	2724041	??? v-sfx-sfx	992.27	994.42	992.27	994.42	Sesotho	CHI	sme	u172	NA	1610	NA		NA	16	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68333	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	You know	963	clara							uatseba	Sesotho	u-a-tseb-a	sm2s-t^p-know-m^in	uatseba	2724042	pfx-pfx-v-sfx	997.235	998.41	997.235	998.41	Sesotho	CHI	sme	u173	NA	1610	NA		NA	16	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68334	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	I will kick you with a foot	963	clara							keuraha ka leoto	Sesotho	ke-u-rah-a ka le-oto	sm1s-t^p.om2s-kick-m^in pr 5-foot(5 6)	keuraha ka leoto	2724043	pfx-pfx-v-sfx pr pfx-n	1.000.683	1003.51	1.000.683	1003.51	Sesotho	CHI	sme	u174	NA	1610	NA		NA	16	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68335	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	When I am done I will smash you	963	clara							ha keqeta keaukhoba	Sesotho	ha ke-qet-a ke-a-u-khob-a	cd sm1s-t^p_finish-m^in sm1s-t^p-om2s-smash-m^pt	ha keqeta keaukhoba	2724044	cd pfx-v-sfx pfx-pfx-pfx-v-sfx	1003.51	1008.11	1003.51	1008.11	Sesotho	CHI	sme	u175	NA	1610	NA		NA	16	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68336	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	Fold it	963	clara							emene	Sesotho	e-men-e	om9-fold-m^i	emene	2724045	pfx-v-sfx	1.011.511	1013.78	1.011.511	1013.78	Sesotho	CHI	sme	u176	NA	1610	NA		NA	16	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68338	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	I say fold it	963	clara							kere uemene	Sesotho	ke-r-e u-e-men-e	sm1s-t^p_say-m^in sm2s-t^p.om9-fold-m^s	kere uemene	2724047	pfx-v-sfx pfx-pfx-v-sfx	1.015.205	1.016.995	1.015.205	1.016.995	Sesotho	CHI	sme	u178	NA	1610	NA		NA	16	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68341	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	Bring	963	clara							tlisa	Sesotho	tl-is-a	come-c-m^i	tlisa	2724050	v-sfx-sfx	1049.35	1051.34	1049.35	1051.34	Sesotho	CHI	sme	u181	NA	1610	NA		NA	17	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68342	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	I will hit you	963	clara							ketlauotla	Sesotho	ke-tla-u-otl-a	sm1s-t^f1-om2s-beat-m^in	ketlauotla	2724051	pfx-pfx-pfx-v-sfx	1.054.678	1057.24	1.054.678	1057.24	Sesotho	CHI	sme	u182	NA	1610	NA		NA	17	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68344	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	Darm this thing	963	clara							meleko ena ntho ena	Sesotho	me-leko ena ntho ena	4-temptation(3 4) 4 thing(9 10) 9	meleko ena ntho ena	2724053	pfx-n d n d	1.066.175	1.070.365	1.066.175	1.070.365	Sesotho	CHI	sme	u184	NA	1610	NA		NA	17	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68345	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	Neuoe you bring it back	963	clara							Neuoe ubeuelata	Sesotho	Neuoe u-be-u-e-lat-a	a_name sm2s-t^be-sm2s-om9-fetch-m^pt	Neuoe ubeuelata	2724054	??? pfx-pfx-pfx-pfx-v-sfx	1.070.365	1.073.555	1.070.365	1.073.555	Sesotho	CHI	sme	u185	NA	1610	NA		NA	17	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
1	68346	2537	17265	962	Tsebo	4;5.0	NA	Target_Child	Brother	Target_Child	default	Me I know what I will do	963	clara							nna keatseba hore na ketloetsang	Sesotho	nna ke-a-tseb-a hore na ke-tlo-ets-a-ng	1s sm1s-t^p-know-m^in cm q sm1s-t^f2-do-m^pt-wh	nna keatseba hore na ketloetsang	2724055	pn pfx-pfx-v-sfx cm q pfx-pfx-v-sfx-sfx	1.070.401	1073.57	1.070.401	1073.57	Sesotho	CHI	sme	u186	NA	1610	NA		NA	17	18c_27	040500e.cha	Neuoe	Neuoe-040500e.cha	child	Keychild	CDS
