%mor:	v|venir-IMP&2s
%mor:	pro:dem|ça part|taire-PP&m pro:y|y v|donner-PRES&SUB&2s prep|à
	n|papa&m
%mor:	?|chl pro:sub|elle v:mdl|aller&PRES&3s prep|à det:art|le$n|école&f
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|un&m&sg n|bisou&m
	prep|à n|papa&m
%mor:	part|taire-PP&m pro:obj|te dé#v|pêcher-PRES&SUB&2s adv|si
	pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	part|taire-PP&m pro:obj|me v|donner-PRES&SUB&2s chi|titine
	det:poss|ma&sg n|chéri&f
%mor:	v|mettre-IMP&2s adv:place|là prep|dans det:poss|ton&m&sg n|camion&m
%mor:	co|oui=yes part|tomber-PP&m n|oui&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|chose-PL=thing
	pro:int|qui v|arriver-PRES&3p co|hein
%mor:	co|aïe n|bobo&m=ouchie
%mor:	pro:rel|où pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|grave det:poss|ma&sg
	n|chéri&f
%mor:	co|euh
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|pousser-INF det:art|la&f&sg
	n|table&f prep|par adv:place|là
%mor:	qn|plus prep|de n|place&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|tomber-PP&m ?
%mor:	co|bah re#v|mettre-PRES&12s pro:y|y prep|dans det:poss|ton&m&sg
	n|camion&m
%mor:	re#v|mettre-IMP&2s prep|dans det:art|le&m&sg n|camion&m
%mor:	co|ouais=yes
%mor:	co|oui=yes adv:place|là
%mor:	part|taire-PP&m v|venir-PRES&12s v|mettre-INF det:art|le&m&sg
	n|sac&m ?
%mor:	pro:sub|on v|monter-IMP&2s neg|pas adv|debout prep|sur
	det:art|un&m&sg n|camion&m pro:int|qui v|rouler-IMP&2s
	det:poss|ma&sg n|chéri&f
%mor:	v|venir-IMP&2s pro:obj|me v:mdllex|faire-INF v|voir&INF
%mor:	pro:int|où part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m
	n|bobo&m=ouchie adj|petit&m n|coeur&m ?
%mor:	co|ah adv:place|là adv:place|là adv:place|là adv:place|là
%mor:	v|tenir-IMP&2s
%mor:	v|prendre-PRES&IMP&12s ?|titine
%mor:	v|prendre-PRES&IMP&12s n|doudou&m=blankie conj|et v|venir-PRES&12s
	pro:obj|me pro:obj|me v|montrer-INF
%mor:	co|oh det:poss|mon&m&sg n|enfant
%mor:	part|taire-PP&m pro:sub|tu$v:aux|être&PRES&2s part|faire-PP&m
	n|bobo&m=ouchie pro:int|où ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|la&f&sg n|premier&f
