%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|short&m n|jupe&f
%mor:	v|tenir-IMP&2s part|taire-PP&m n|mets&m det:poss|ta&f&sg
	n|chaussure&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|bientôt det:poss|ton&m&sg
	n|anniversaire&m ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v:aux|avoir&INF
	det:gen|quel&m&sg n|âge&m ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v:aux|être&INF det:art|une&f&sg
	adj|grand&f co|hein ?
%mor:	v|tenir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF
	v|moucher-INF det:art|le&m&sg n|nez&m
%mor:	pro:sub|tu v|venir-PRES&12s prep|dans det:art|la&f&sg n|cuisine&f
	v|regarder-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|regarder-INF
	det:poss|ton&m&sg n|livre prep|de n|jeu&m-PL
%mor:	part|taire-PP&m v|venir-IMP&2s ?
%mor:	pro:sub|il part|faire-PP&m adv|trop adj|chaud&m prep|pour
	v|mettre-INF prep|de&les n|collant&m-PL
%mor:	pro:sub|tu v|venir-PRES&12s prep|dans det:art|la&f&sg n|cuisine&f ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|regarder-INF det:poss|ton&m&sg
	n|ton&m=tone n|livre prep|de n|jeu&m-PL prep|avec det:art|les&pl
	n|animal&m&pl
%mor:	co|allez v|venir-IMP&2s ?
%mor:	pro:dem|ce$v:aux|être&IMPF&3s neg|pas adv|vraiment det:art|un&m&sg
	n|cheval&m&sg pro:dem|ce$v:aux|être&IMPF&3s det:art|un&m&sg
	n|poney&m
%mor:	part|taire-PP&m pro:obj|te v|souvenir-PRES&12s n|comment&m
	pro:sub|il pro:refl|se$v|appeler-IMPF&3s ?
%mor:	pro:sub|tu pro:obj|te v|souvenir-PRES&12s n|comment&m pro:sub|il
	pro:refl|se$v|appeler-IMPF&3s ?|anaé det:art|le&m&sg n|poney&m ?
%mor:	n|comment&m pro:sub|il pro:refl|se$v|appeler-IMPF&3s n|oui&m
%mor:	n|comment&m
%mor:	pro:sub|il pro:refl|se$v|appeler-IMPF&3s n|cacao&m
%mor:	n|cacao&m
%mor:	conj|et prep|avec pro:rel|qui part|taire-PP&m n|étai&m-PL prep|sur
	det:art|le&m&sg n|poney&m ?
%mor:	adv|peut–être pro:rel|que$pro:sub|on pro:y|en v:mdl|faire-FUT&3s
	prep|pendant det:art|les&pl n|vacance&f-PL ?|anaé
%mor:	prep|avec ?|aurèle ?|alice conj|et ?|sybille
%mor:	conj|et n|avant&m pro:sub|on v:mdl|aller&PRES&3s pro:int|où ?
%mor:	pro:int|où v:int|est–ce pro:rel|que$pro:sub|on n|part&f prep|en
	n|vacance&f-PL n|samedi&m ?
%mor:	pro:int|où v:int|est–ce pro:rel|que$pro:sub|on v:mdl|aller&PRES&3s
	prep|en n|vacance&f-PL n|samedi&m ?
%mor:	prep|à det:art|la&f&sg n|mer&f=sea pro:sub|tu
	v|raconter-PRES&SUB&2s prep|à ?|aliyah ?
%mor:	v|attendre-IMP&2s
%mor:	conj|et prep|dans det:art|la&f&sg n|voiture&f pro:sub|tu
	v:mdl|aller&PRES&2s v:mdl|faire-INF pro:int|quoi ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|emmener-INF
	det:poss|ton&m&sg n|bébé&m prep|en n|vacance&f-PL ?
%mor:	part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|aliyah ?
%mor:	adv:int|pourquoi pro:sub|je pro:obj|te$v:poss|avoir&PRES&1s
	part|acheter-PP&m det:art|un&m&sg n|nouveau&m n|bébé&m ?
%mor:	conj|et part|taire-PP&m n|étai&m-PL adv|toute adj|petit&f
%mor:	det:art|un&m&sg n|tout&m adj|petit&m n|bébé&m adv:place|là
%mor:	co|non=no part|taire-PP&m v:aux|avoir&IMPF&12s neg|pas prep|de
	n|tétine&f adv|quand part|taire-PP&m n|étai&m-PL n|bébé&m
%mor:	conj|et adv|alors adv:int|pourquoi ?
%mor:	co|ouais=yes
%mor:	adv:int|pourquoi n|maman&f pro:sub|elle
	pro:obj|te$v:poss|avoir&PRES&3s part|acheter-PP&m det:art|le&m&sg
	n|bébé&m pro:int|qui v|pleurer-PRES&SUB&13s ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas conj|pour pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&IMPF&3s adv|parce prep|que adv|maintenant
	part|taire-PP&m v:exist|être&PRES&2s det:art|une&f&sg
%mor:	conj|et n|pourquoi&m part|taire-PP&m v:exist|être&PRES&2s
	det:art|une&f&sg adj|grand&f ?
%mor:	co|ben adv|parce adv|que part|taire-PP&m n|mets&m qn|plus prep|de
%mor:	conj|et n|pourquoi&m part|taire-PP&m n|mets&m qn|plus prep|de
	n|couche&f ?
%mor:	co|ouais=yes prep|sur det:art|la&f&sg n|photo&f n|derrière&m
%mor:	conj|et pro:dem|ce$v:exist|être&IMPF&3s prep|chez pro:rel|qui
	pro:dem|ça ?
%mor:	conj|et ?|véro pro:sub|elle v:aux|être&PRES&3s part|venir-PP&f
	n|manger&m=food prep|à det:art|la&f&sg n|maison&f
%mor:	conj|et v:int|est–ce adv|que pro:int|où v:int|est–ce
	pro:rel|que$pro:sub|on v:aux|être&PRES&3s part|aller&PP&m&sg
	prep|avec ?|véro adv|après ?
%mor:	part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|aliyah
	pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|on v:aux|être&PRES&3s
	part|aller&PP&m&sg v|voir&INF ?
%mor:	pro:y|y v:aux|avoir&IMPF&3s ?|véro ?|christophe conj|et pro:int|qui
	?
%mor:	adv|comment pro:sub|ils pro:refl|se$v|appeler-PRES&3p
	det:poss|leurs&pl n|enfant-PL ?
%mor:	?|gwendo
%mor:	co|tom
%mor:	conj|et adv|puis ?
%mor:	co|hum
%mor:	?|enzo
%mor:	adv|puis pro:y|y v:poss|avoir&IMPF&3s adv|aussi ?|anne conj|et
	?|david
%mor:	conj|et pro:sub|on v:aux|être&PRES&3s part|aller&PP&m&sg pro:int|où
	?
%mor:	conj|et adv|alors ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas adj|bien prep|vu
	pro:sub|je v|croire&PRES&12s adv|parce adv|que part|taire-PP&m
	n|étai&m-PL det:art|un&m&sg adv|peu part|cacher-PP&f adv|quand
	adj|même&m=same co|hein
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s v:aux|avoir&PP&m&sg n|peur&f ?
%mor:	co|non=no ?
%mor:	co|ben co|non=no adv|parce adv|que part|taire-PP&m
	v:exist|être&PRES&2s det:art|une&f&sg adj|grand&f
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&IMPF&3s
	prep|comme n|couleur&f ?
%mor:	adj|vert&m
%mor:	conj|et adv|puis pro:y|y v:aux|avoir&IMPF&3s prep|de
	det:art|la&f&sg n|musique&f adv|aussi
%mor:	co|ah co|ben adv|si part|taire-PP&m v:mdl|vouloir&PRES&12s
	co|ouais=yes
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s pro:int|où pro:sub|il
	v:aux|être&PRES&3s ?
%mor:	co|ah
%mor:	v:mdl|aller&PRES&2s pro:y|y v|prendre-PRES&IMP&12s pro:obj|le
	v|amener-PRES&SUB&13s det:art|le&m&sg
%mor:	v|amener-IMP&2s det:art|le&m&sg prep|dans det:art|la&f&sg
	n|cuisine&f
%mor:	co|ah pro:sub|je neg|ne v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:sub|il v:aux|être&PRES&3s neg|pas pro:sub|elle
	v:aux|être&PRES&3s neg|pas prep|sur det:poss|son&m&sg n|habit&m
	det:poss|sa&f&sg n|tétine&f prep|à pro:ind|lui
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|la v|chercher-INF pro:sub|je
	v:mdl|aller&PRES&1s pro:obj|la v|chercher-INF
%mor:	v|tenir-IMP&2s pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	pro:sub|elle v:aux|être&PRES&3s det:art|la&f&sg det:art|la&f&sg
	n|tétine&f
%mor:	v:mdl|falloir&FUT&3s pro:rel|que$pro:sub|on pro:obj|la
	v|chercher-PRES&SUB&13s n|tout&m prep|à det:art|le$n|heure&f
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|ranger-INF det:art|la&f&sg
	n|chambre&f pro:sub|on co|la v|trouver-FUT&3s
%mor:	co|ah co|oui=yes
%mor:	?|kirikou pro:sub|il v:aux|être&PRES&3s prep|chez n|mamy&f ?|denise
%mor:	co|oui=yes pro:sub|on v:mdl|aller&PRES&3s pro:obj|le
	re#v|prendre-INF
