%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je$v|ailler-PRES&SUB&13s v|chercher-INF det:poss|ton&m&sg
	n|bébé&m ?|ana ?
%mor:	pro:sub|je v:mdl|aller&PRES&1s v:mdl|aller&INF v|chercher-INF
	adv|d'abord det:poss|ton&m&sg n|tablier&m
%mor:	det:art|les&pl n|tasse&f-PL adv|comme pro:dem|ça ?
%mor:	co|ah co|oui=yes
%mor:	v|tenir-IMP&2s ?|ana
%mor:	det:poss|ton&m&sg n|bébé&m
%mor:	prep|avec det:art|le&m&sg n|chapeau&m
%mor:	det:art|le&m&sg n|tablier&m
%mor:	adv|encore det:art|un&m&sg n|habit&m
%mor:	v|tenir-IMP&2s ?|ana
%mor:	pro:sub|il v:aux|être&PRES&3s adv|déjà adj|enlevé&m
%mor:	co|heu co|oui=yes pro:dem|ca pro:dem|ce$v:aux|être&PRES&3s
	det:art|la&f&sg n|couverture&f
%mor:	co|non=no
%mor:	prep|dans det:art|le&m&sg n|bain&m
%mor:	adv|mais n|pourquoi&m part|taire-PP&m v:aux|avoir&PRES&2s
	part|prendre-PP&m det:poss|ma&sg n|caisse&f ?|ana ?
%mor:	?|ana pro:sub|je v|croire&PRES&12s neg|pas conj|que
	pro:sub|je$v:poss|avoir&PRES&1s neg|pas part|mettre-PP&m
	det:poss|mes&pl n|sou&m-PL adv:place|dedans
%mor:	co|merci ?|ana
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|gentille&f ?|ana
%mor:	?|anais co|attention pro:sub|je v:aux|être&PRES&1s prep|en
	n|train&m prep|de v|descendre-INF
%mor:	?|ana pro:sub|on v:aux|avoir&PRES&3s det:art|les&pl
	adj|même&m-PL=same
%mor:	pro:int|où pro:sub|ils v:aux|être&PRES&3p det:art|les&pl
	pro|autres&pl ?|ana ?
%mor:	?|ana
%mor:	co|pardon ?|anais adv|mais pro:sub|tu$v:aux|être&PRES&2s prep|sur
	det:poss|mon&m&sg n|passage&m
%mor:	pro:sub|tu$v:aux|être&PRES&2s prep|sur det:poss|mon&m&sg
	n|passage&m
%mor:	?|ana part|taire-PP&m n|peu&m-PL pro:obj|me v|donner-INF
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que pro:sub|je pro:obj|le
	v|mettre-PRES&SUB&13s ?
