annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
959	55164	2513	17076	959	Maria	NA	Female	Mother	Mother	Adult	default	Say it is me who will	959	clara		1	962	Lara		DIFFER	ere ke nna yatla	Sesotho	er-e ke nna ya-tla	say-m^i cp 1s sr1-t^f1	ere ke nna yatla	2710873	v-sfx cop pn pfx-pfx	3.127.145	3.129.105	3.127.145	3.129.105	Sesotho	MAR	sme	u90	NA	NA	NA	Mother	17076	52	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Mother	ADS
959	55166	2513	17076	959	Maria	NA	Female	Mother	Mother	Adult	default	Who will sift	959	clara		1	962	Lara		DIFFER	yatlasefang	Sesotho	ya-tla-sef-a-ng	sr1-t^f1-sift-m^pt-rl	yatlasefang	2710875	pfx-pfx-v-sfx-sfx	3.130.045	3.131.055	3.130.045	3.131.055	Sesotho	MAR	sme	u92	NA	NA	NA	Mother	17076	52	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Mother	ADS
959	55167	2513	17076	959	Maria	NA	Female	Mother	Mother	Adult	default	Say who will sift	959	clara		1	962	Lara		DIFFER	ere yatlasefang	Sesotho	er-e ya-tla-sef-a-ng	say-m^i sr1-t^f1-sift-m^pt-rl	ere yatlasefang	2710876	v-sfx pfx-pfx-v-sfx-sfx	3.131.055	3134.51	3.131.055	3134.51	Sesotho	MAR	sme	u93	NA	NA	NA	Mother	17076	52	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Mother	ADS
959	55169	2513	17076	959	Maria	NA	Female	Mother	Mother	Adult	default	Say who will	959	clara		1	962	Lara		DIFFER	ere yatla	Sesotho	er-e ya-tla	say-m^in sr1-t^f1	ere yatla	2710878	v-sfx pfx-pfx	3.134.948	3135.84	3.134.948	3135.84	Sesotho	MAR	sme	u95	NA	NA	NA	Mother	17076	52	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Mother	ADS
959	55171	2513	17076	959	Maria	NA	Female	Mother	Mother	Adult	default	Who will sift	959	clara		1	962	Lara		DIFFER	yatlasefang	Sesotho	ya-tla-sef-a-ng	sr1-t^f1-sift-m^pt-rl	yatlasefang	2710880	pfx-pfx-v-sfx-sfx	3.138.126	3.140.515	3.138.126	3.140.515	Sesotho	MAR	sme	u97	NA	NA	NA	Mother	17076	52	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Mother	ADS
959	55175	2513	17076	959	Maria	NA	Female	Mother	Mother	Adult	default	You see you are big	959	clara		1	962	Lara		DIFFER	uabona he u moholo	Sesotho	u-a-bon-a he u mo-holo	sm2s-t^p-see-m^in ij cp2s 1-aj	uabona he u moholo	2710884	pfx-pfx-v-sfx ij cop pfx-aj	3.151.445	3.153.225	3.151.445	3.153.225	Sesotho	MAR	sme	u101	NA	NA	NA	Mother	17076	52	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Mother	ADS
959	55181	2513	17076	959	Maria	NA	Female	Mother	Mother	Adult	default	The one who will grind is me	959	clara		1	962	Lara		DIFFER	ache yatlasilang ke nna	Sesotho	ache ya-tla-sil-a-ng ke nna	ij sr1-t^f1-grind-m^pt-rl cp 1s	ache yatlasilang ke nna	2710890	ij pfx-pfx-v-sfx-sfx cop pn	3173.52	3.177.275	3173.52	3.177.275	Sesotho	MAR	sme	u107	NA	NA	NA	Mother	17076	52	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Mother	ADS
959	55182	2513	17076	959	Maria	NA	Female	Mother	Mother	Adult	default	Because you don't know at all	959	clara		1	962	Lara		DIFFER	hobane ha utsebe hohang	Sesotho	hobane ha u-tseb-e hohang	cj ng sm2s-t^p_know-m^x av	hobane ha utsebe hohang	2710891	cj ng pfx-v-sfx av	3173.52	3.177.275	3173.52	3.177.275	Sesotho	MAR	sme	u108	NA	NA	NA	Mother	17076	52	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Mother	ADS
959	55184	2513	17076	959	Maria	NA	Female	Mother	Mother	Adult	default	Yes	959	clara		1	962	Lara		DIFFER	m	Sesotho	m	ij	m	2710893	ij	3.178.765	3.179.215	3.178.765	3.179.215	Sesotho	MAR	sme	u110	NA	NA	NA	Mother	17076	52	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Mother	ADS
959	55186	2513	17076	959	Maria	NA	Female	Mother	Mother	Adult	default	It will be thrown away by me	959	clara		1	962	Lara		DIFFER	etlalahluwa ke nna	Sesotho	e-tla-lahl-uw-a ke nna	sm9-t^f1-throw_away-p-m^in cp 1s	etlalahluwa ke nna	2710895	pfx-pfx-v-sfx-sfx cop pn	3.180.903	3183.29	3.180.903	3183.29	Sesotho	MAR	sme	u112	NA	NA	NA	Mother	17076	53	6c_92.01	031000ab.cha	Neuoe	Neuoe-031000ab.cha	mother	Mother	ADS
