annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotatorName1	commentsAnnotation1	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id_acqdiv	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role	speaker_id.1	MinuteofUtterance	TotalRecordingTime	keychild	speaker	role_adressee	register
1	36552	2480	16858	930	Masebina	NA	Female	Mother	Adult	default	Yes	emilie	NA	NA	NA	NA	NA	e	Sesotho	e	ij	e	2692261	ij	4851.4	4.852.562	4851.4	4.852.562	Sesotho	MMS	sme	u460	NA	NA	NA	Mother	16858	80	11b_94.42	Litlhare	mother	Keychild	CDS
1	36554	2480	16858	930	Masebina	NA	Female	Mother	Adult	default	They are wide and wide open	emilie	NA	NA	NA	NA	NA	di sephara difamohile	Sesotho	di se-phara di-famoh-il-e	cp10 7-broad_thing(7,8) sm10-become_enlarged-t^pf-m^in	di sephara difamohile	2692263	cop pfx-n pfx-v-sfx-sfx	4.853.966	4.858.182	4.853.966	4.858.182	Sesotho	MMS	sme	u462	NA	NA	NA	Mother	16858	80	11b_94.42	Litlhare	mother	Keychild	CDS
1	36560	2480	16858	930	Masebina	NA	Female	Mother	Adult	default	Speak loudly hey	emilie	NA	NA	NA	NA	NA	bua haholo helang	Sesotho	bu-a haholo helang	speak-m^i av ij	bua haholo helang	2692269	v-sfx av ij	4.879.728	4.882.517	4.879.728	4.882.517	Sesotho	MMS	sme	u468	NA	NA	NA	Mother	16858	81	11b_94.42	Litlhare	mother	Keychild	CDS
1	36561	2480	16858	930	Masebina	NA	Female	Mother	Adult	default	Speak loudly so that we hear	emilie	NA	NA	NA	NA	NA	bua haholo reutlwe	Sesotho	bu-a haholo re-utlw-e	speak-m^i av sm1p-t^p_hear-m^s	bua haholo reutlwe	2692270	v-sfx av pfx-v-sfx	4.882.517	4.885.807	4.882.517	4.885.807	Sesotho	MMS	sme	u469	NA	NA	NA	Mother	16858	81	11b_94.42	Litlhare	mother	Keychild	CDS
1	36630	2480	16858	930	Masebina	NA	Female	Mother	Adult	default	Don't you make noise	emilie	NA	NA	NA	NA	NA	leskabanketsetsa lerata	Sesotho	le-skaba-n-kets-ets-a le-rata	sm2p-ng-om1s-do-ap-m^i 5-noise(5,6)	leskabanketsetsa lerata	2692339	pfx-pfx-pfx-v-sfx-sfx pfx-n	5240	5.243.505	5240	5.243.505	Sesotho	MMS	sme	u538	NA	NA	NA	Mother	16858	87	11b_94.42	Litlhare	mother	Keychild	CDS
1	36631	2480	16858	930	Masebina	NA	Female	Mother	Adult	default	I fight a monkey here	emilie	NA	NA	NA	NA	NA	kebeta tswene mona	Sesotho	ke-bet-a tswene mona	sm1s-t^p_do_violence_to-m^in monkey(9,10) loc	kebeta tswene mona	2692340	pfx-v-sfx n loc	5.243.505	5246.94	5.243.505	5246.94	Sesotho	MMS	sme	u539	NA	NA	NA	Mother	16858	87	11b_94.42	Litlhare	mother	Keychild	CDS
1	36651	2480	16858	930	Masebina	NA	Female	Mother	Adult	question	It says what?	emilie	NA	NA	NA	NA	NA	ereng	Sesotho	e-r-e-ng	sm9-t^p_say-m^in-wh	ereng	2692360	pfx-v-sfx-sfx	5316.6	5317.67	5316.6	5317.67	Sesotho	MMS	sme	u559	NA	NA	NA	Mother	16858	88	11b_94.42	Litlhare	mother	Keychild	CDS
1	36775	2481	16867	930	Masebina	NA	Female	Mother	Adult	question	What are you saying?	emilie	NA	NA	NA	NA	NA	ureng	Sesotho	u-r-e-ng	sm2s-t^p_say-m^in-wh	ureng	2692484	pfx-v-sfx-sfx	91	92.124	91	92.124	Sesotho	MMS	sme	u26	NA	NA	NA	Mother	16867	1	12b_94.40	Litlhare	mother	Keychild	CDS
1	36946	2481	16867	930	Masebina	NA	Female	Mother	Adult	default	Thabang local court	emilie	NA	NA	NA	NA	NA	Thabang local court	Sesotho	Thabang local court	a_place ??? ???	Thabang local court	2692655	??? none none	865.254	867.447	865.254	867.447	Sesotho	MMS	sme	u197	NA	NA	NA	Mother	16867	14	12b_94.40	Litlhare	mother	Keychild	CDS
1	36949	2481	16867	930	Masebina	NA	Female	Mother	Adult	question	Now then please tell me when you are going to school ?	emilie	NA	NA	NA	NA	NA	jwale he ako umpolelle utlaya neng sekolong	Sesotho	jwale he ako u-m-polell-e u-tla-y-a neng se-kolo-ng	av ij ij sm2s-t^p.om1s-tell/ap-m^s sm2s-t^f1-go-m^in wh 7-school(7,8)-lc	jwale he ako umpolelle utlaya neng sekolong	2692658	av ij ij pfx-pfx-v-sfx pfx-pfx-v-sfx wh pfx-n-sfx	869.886	874.199	869.886	874.199	Sesotho	MMS	sme	u200	NA	NA	NA	Mother	16867	14	12b_94.40	Litlhare	mother	Keychild	CDS
1	24639	2461	16725	930	Masebina	NA	Female	Mother	Adult	question	Where ?	emilie	NA	NA	NA	NA	NA	kae	Sesotho	kae	wh	kae	2680348	wh	510.2	511.145	510.2	511.145	Sesotho	MMS	sme	u111	NA	NA	NA	Mother	16725	8	2b_92.26	Litlhare	mother	Keychild	CDS
1	38145	2483	16876	930	Masebina	NA	Female	Mother	Adult	default	Oh yes now you said I unfold	emilie	NA	NA	NA	NA	NA	eya hle jwale wena ure keamenola	Sesotho	eya hle jwale wena u-r-e ke-a-men-ol-a	ij ij av 2s sm2s-t^p_say-m^in sm1s-t^p-fold-rv-m^in	eya hle jwale wena ure keamenola	2693854	ij ij av pn pfx-v-sfx pfx-pfx-v-sfx-sfx	662.7	666.277	662.7	666.277	Sesotho	MMS	sme	u238	NA	NA	NA	Mother	16876	11	13b_94.47	Litlhare	mother	Keychild	CDS
1	38694	2483	16876	930	Masebina	NA	Female	Mother	Adult	question	Who is the father?	emilie	NA	NA	NA	NA	NA	ntate ke mang	Sesotho	ntate ke mang	father(1a,2a) cp wh	ntate ke mang	2694403	n cop wh	2447.7	2.450.674	2447.7	2.450.674	Sesotho	MMS	sme	u787	NA	NA	NA	Mother	16876	40	13b_94.47	Litlhare	mother	Keychild	CDS
1	38709	2483	16876	930	Masebina	NA	Female	Mother	Adult	question	It is yours?	emilie	NA	NA	NA	NA	NA	ke wahao	Sesotho	ke wa-hao	cp 1-2s	ke wahao	2694418	cop ps-sfx	2514	2.514.931	2514	2.514.931	Sesotho	MMS	sme	u802	NA	NA	NA	Mother	16876	41	13b_94.47	Litlhare	mother	Keychild	CDS
1	38743	2483	16876	930	Masebina	NA	Female	Mother	Adult	question	You are getting up right now?	emilie	NA	NA	NA	NA	NA	uatsoha hona tjena	Sesotho	u-a-tsoh-a hona tjena	sm2s-t^p-waken-m^in av av	uatsoha hona tjena	2694452	pfx-pfx-v-sfx av av	2624.1	2625.74	2624.1	2625.74	Sesotho	MMS	sme	u836	NA	NA	NA	Mother	16876	43	13b_94.47	Litlhare	mother	Keychild	CDS
1	38751	2483	16876	930	Masebina	NA	Female	Mother	Adult	question	Oh she is only sucking?	emilie	NA	NA	NA	NA	NA	oo oanyanya feela	Sesotho	oo o-a-nyany-a feela	ij sm1-t^p-nurse-m^in av	oo oanyanya feela	2694460	ij pfx-pfx-v-sfx av	2.656.299	2.658.507	2.656.299	2.658.507	Sesotho	MMS	sme	u844	NA	NA	NA	Mother	16876	44	13b_94.47	Litlhare	mother	Keychild	CDS
1	38753	2483	16876	930	Masebina	NA	Female	Mother	Adult	question	Are you nursing?	emilie	NA	NA	NA	NA	NA	uanyantsa	Sesotho	u-a-nyants-a	sm2s-t^p-nurse/c-m^in	uanyantsa	2694462	pfx-pfx-v-sfx	2.659.777	2.665.626	2.659.777	2.665.626	Sesotho	MMS	sme	u846	NA	NA	NA	Mother	16876	44	13b_94.47	Litlhare	mother	Keychild	CDS
1	38755	2483	16876	930	Masebina	NA	Female	Mother	Adult	question	Oh the breast feeding mother is coughing?	emilie	NA	NA	NA	NA	NA	oo motswetse oakhohlela	Sesotho	oo mo-tswetse o-a-khohlel-a	ij 1-nursing_mother(1,2) sm1-t^p-cough-m^in	oo motswetse oakhohlela	2694464	ij pfx-n pfx-pfx-v-sfx	2.666.756	2.674.819	2.666.756	2.674.819	Sesotho	MMS	sme	u848	NA	NA	NA	Mother	16876	44	13b_94.47	Litlhare	mother	Keychild	CDS
