NAME	ROLE	UTTERANCE	COMMENT	DIRECTED	keychild	gender	speaker
NIC	Nicola  Sister	0 [=! singing] .			benjamin	M	sibling
CHI	Benjamin Target_Child	0 .	%com: this is a short sample		benjamin	M	Target_Child
NIC	Nicola  Sister	you're nearly five .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	you're five (3.) .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	just going in [/] (1.) in my kitchen (3.) .		?	benjamin	M	sibling
NIC	Nicola  Sister	0 [=! whimpers] .		?	benjamin	M	sibling
CHI	Benjamin Target_Child	I'm going to do a wee (3.) .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I'm desperate (2.) .		?	benjamin	M	Target_Child
MOT	Mother	you're desperate ?		CHI	benjamin	M	mother
MOT	Mother	xxx (3.) .		NA	benjamin	M	mother
CHI	Benjamin Target_Child	<I got> [//] I [//] (2.) I've got a birthday [= parcel] (3.) .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	yes .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I have .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	see .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	see that birthday [= parcel] (1.) .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	see that birthday .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	see that birthday .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	see that birthday Mummy (2.) .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	see that birthday (2.) .		MOT	benjamin	M	Target_Child
NIC	Nicola  Sister	you cant see it yet .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	I'm baking you a birthday cake .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	because its on your Christmas tree (3.) .	%com: nicola gets birthdays and Christmas mixed up . They have a small tree to play with	CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	it doesn't xxx (5.) .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	0 [=! sings] (7.) .		?	benjamin	M	sibling
