%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s
	pro:dem|ça ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s n|comment&m pro:dem|ça
	pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	co|ben
%mor:	?|qu'estce ?
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	?|estce prep|que part|taire-PP&m v:mdl|savoir&PRES&12s ?
%mor:	det:art|un&m&sg chi|cromi ?
%mor:	det:art|un&m&sg n|comment&m adv|alors ?
%mor:	det:art|un&m&sg chi|cromac
%mor:	det:art|un&m&sg n|micro&m
%mor:	det:art|un&m&sg n|micro&m
%mor:	chi|micrac
%mor:	v|regarder-IMP&2s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:dem|ce adv|que
	part|taire-PP&m v:aux|avoir&PRES&2s prep|sur det:poss|ton&m&sg ?|tee
	n|shirt&m=shirt pro|toi&sg ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|regarder-PP&m pro:dem|ce
	adv|que part|taire-PP&m v:aux|avoir&IMPF&12s prep|sur
	det:poss|ton&m&sg ?|tee n|shirt&m=shirt ?
%mor:	part|taire-PP&m pro:y|y n|touche&f-PL neg|pas pro:dem|ça
%mor:	co|hein n|voyou&m
%mor:	co|non=no
%mor:	pro:dem|ça v|suffire&PASS&3s
%mor:	v|arrêter-IMP&2s
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|casser-INF pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|fragile
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas part|faire-PP&m prep|pour
	v|jouer-INF pro:dem|ça
%mor:	co|ah
%mor:	adj|parti&m
%mor:	adj|parti&m prep|en n|voyage&m ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:int|où ?
%mor:	prep|avec ?|ame
%mor:	part|taire-PP&m re#v|venir-PRES&12s neg|pas adv:place|là ?
%mor:	v:mdl|aller&INF v|voir&INF pro:dem|ce pro:int|qui pro:refl|se
	v|passer-PRES&SUB&13s ?|làbas
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s adv|sûr
%mor:	co|hein ?
%mor:	conj|et ?|chr pro:sub|il v:aux|être&PRES&3s n|tout&m adv|seul
	?|làbas adv|maintenant
%mor:	conj|et co|ouais=yes
%mor:	v|tenir-IMP&2s ?|tim
%mor:	v|venir-IMP&2s
%mor:	v|venir-IMP&2s v|venir-IMP&2s
%mor:	co|ben v|venir-IMP&2s adv:place|là
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|je pro:obj|te v|donner-PRES&SUB&13s ?|làbas
%mor:	pro:sub|je v|croire&PRES&12s adv|que pro:sub|on v:mdl|aller&IMP&2s
	neg|pas pro:y|y v|arriver-INF n|mai&m-PL co|bon
%mor:	?|taistoi
%mor:	co|bon adv|ben pro:dem|ça v:mdl|aller&PRES&3s v:aux|être&INF
	adj|intéressant&m=interesting pro:dem|ça
%mor:	adv|alors ?
%mor:	pro:dem|ça v:mdl|aller&PRES&3s det:art|le$n|appétit&m ?
%mor:	?|qu'estce prep|que part|taire-PP&m v|manger-PRES&SUB&2s ?|tim ?
%mor:	co|hein ?|qu'estce prep|que pro:sub|tu v|manger-PRES&SUB&2s ?|tim
%mor:	co|mh
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s adv|comment pro:sub|il
	pro:refl|se$v|appeler-PRES&SUB&13s ?|celuilà prep|de n|gâteau&m ?
%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	det:art|une&f&sg n|+n|langue+prep|de+n|chat&f=a_type_of_cookie
%mor:	co|ouais=yes
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|fermer-INF
%mor:	co|oh co|bah
%mor:	co|éh
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon ?
%mor:	pro:sub|ils v:aux|être&PRES&3p adj|bon&m-PL adv|encore ?
%mor:	pro:sub|ils v:aux|être&PRES&3p adj|bon&m-PL
%mor:	co|bon n|appétit&m co|hein
%mor:	v|asseoir&PRES&12s pro|toi&sg adv|correctement adv:place|là
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|tomber-INF
%mor:	co|oh neg|pas adv|toute det:art|la&f&sg v|boiter-PRES&SUB&13s
	adv|quand adv|même
%mor:	v|tenir-IMP&2s
%mor:	part|dire-PP&m
%mor:	co|oh
%mor:	v|attendre-IMP&2s n|mai&m-PL prep|avant prep|de$pro:y|en
	v|prendre-INF det:art|un&m&sg pro|autre&sg n|fini&m-PL
	det:art|le&m&sg n|tien&m
%mor:	part|taire-PP&m v:exist|être&PRES&2s det:art|un&m&sg n|voyou&m ?
%mor:	part|taire-PP&m v:exist|être&PRES&2s det:art|un&m&sg n|voyou&m
	pro|toi&sg
%mor:	co|hein
%mor:	?|estce prep|que part|taire-PP&m v:exist|être&PRES&2s
	det:art|un&m&sg n|voyou&m ?
%mor:	co|non=no
%mor:	part|taire-PP&m v:aux|être&PRES&2s adv|sûr ?
%mor:	det:art|la&f&sg n|machine&f=machine
%mor:	adv|alors ?
%mor:	adv|encore ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s prep|en n|manger&m=food
	adv|combien adv:place|là ?
%mor:	co|oh pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg
	n|mouche&f adv:place|là
%mor:	co|hum
%mor:	part|taire-PP&m det:art|le&m&sg v|manger-PRES&SUB&2s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro|moi&sg ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour ?|tim co|hein
%mor:	pro:sub|je n|peu&m-PL prep|en n|manger&m=food det:art|un&m&sg
	adj|petit&m n|bout&m ?
%mor:	det:art|un&m&sg n|gros&m n|bout&m pro|moi&sg pro:sub|je
	v:mdl|vouloir&PRES&12s
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|miette&f-PL ?
%mor:	part|taire-PP&m pro:obj|me v|donner-PRES&SUB&2s prep|de&les
	n|miette&f-PL pro|toi&sg
%mor:	co|hum
%mor:	pro:sub|elles v:aux|être&PRES&3p adj|bon&f-PL det:poss|tes&pl
	n|+n|langues+prep|de+n|chat&f=type_of_cookie co|hein
%mor:	part|taire-PP&m prep|en v|proposer-PRES&SUB&13s det:art|une&f&sg
	prep|à ?|chr ?
%mor:	adv|ben v:mdl|aller&PRES&2s pro:y|y pro|toi&sg
%mor:	co|bah pro:dem|ce$v:exist|être&PRES&3s
	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg adv|maintenant
	prep|de pro:ind|lui v|proposer-INF
%mor:	v:mdl|aller&PRES&3s part|luire&PP&m v:mdl|aller&PRES&3s
	part|luire&PP&m v|donner-INF prep|à ?|chr
%mor:	co|non=no adv|mais v|donner-PRES&SUB&2s part|luire&PP&m prep|à
	?|chr
%mor:	conj|et part|taire-PP&m v:mdl|savoir&PRES&12s pro:sub|il
	v:aux|être&PRES&3s adj|gentil&m co|hein
%mor:	co|non=no adv|mais v:mdl|aller&PRES&3s part|luire&PP&m v|donner-INF
	pro|toi&sg
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	part|taire-PP&m adj|amène&m-PL=affable
%mor:	adv:place|là v|regarder-PRES&SUB&13s
%mor:	pro:sub|tu v|apporter-PRES&SUB&2s adv|toute det:art|la&f&sg
	n|boîte&f
%mor:	part|taire-PP&m part|luire&PP&m v|apporter-PRES&SUB&2s
%mor:	adv:int|pourquoi part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas
%mor:	adv:int|pourquoi neg|pas adv|toute det:art|la&f&sg n|boîte&f ?
%mor:	pro:sub|on part|luire&PP&m v|donner-PRES&SUB&13s ?
%mor:	adv:int|pourquoi pro:dem|ce$v:aux|être&PRES&3s pro|moi&sg ?
%mor:	adv:int|pourquoi ?
%mor:	co|bah v:mdl|aller&PRES&2s pro:y|y pro|toi&sg
%mor:	co|hein
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|le&m&sg n|service&m ?
%mor:	co|ben n|si&m ?|prendsle
%mor:	co|bah n|pourquoi&m part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas
	?
%mor:	pro:sub|il v:aux|être&PRES&3s adj|gentil&m
%mor:	co|non=no ?
%mor:	co|non=no ?
%mor:	pro:sub|il v:aux|être&PRES&3s adj|méchant&m=evil
%mor:	co|oh
%mor:	co|ben adv|alors
%mor:	co|ah pro:dem|ça pro:dem|ça v:mdl|faire-IMPF&3s n|longtemps&m
	prep|que part|taire-PP&m pro:sub|il$v:aux|avoir&IMPF&12s neg|pas
	part|dire-PP&m pro:dem|ça co|hein
%mor:	co|hein
%mor:	pro:dem|ça pro:refl|se part|dire-PP&m neg|pas pro:dem|ça
%mor:	co|ah co|bah
%mor:	adv|aussi adj|bien pro:sub|il v:aux|avoir&PRES&3s n|faim&f
%mor:	pro:sub|il v:aux|avoir&PRES&3s neg|pas n|faim&f ?
%mor:	part|taire-PP&m part|luire&PP&m n|demande&f-PL ?
%mor:	co|allez part|taire-PP&m v:mdllex|aller&PRES&2s pro:ind|lui prep|en
	v|donner-INF pro|un&m&sg
%mor:	adv:int|pourquoi co|non=no ?
%mor:	pro:dem|ça pro:dem|ça v:mdl|aller&PRES&3s v|finir-INF
	n|parterre&m=flowerbed pro:dem|ça co|hein
%mor:	co|oh co|bah n|si&m
%mor:	v|attendre-IMP&2s
%mor:	?|qu'estce part|taire-PP&m v:mdl|vouloir&IMP&2s v:mdllex|faire-INF
	?
%mor:	part|taire-PP&m pro:obj|te v:mdl|faire-PRES&12s prep|plus n|bête&f
	co|hein adv:place|là
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s adv|bien adv|que
	pro:dem|ce$v:exist|être&PRES&3s neg|pas adv|par adv:place|dessous
%mor:	co|allez
%mor:	pro:sub|on pro:obj|les v|ranger-PRES&SUB&13s ?
%mor:	adv|mais part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s
	part|prendre-PP&m n|deux&m adv:place|là
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|glisser-INF
%mor:	v|arrêter-IMP&2p v|arrêter-IMP&2p
%mor:	co|non=no co|allez
%mor:	pro:obj|vous part|faire-PP&f&pl prep|de&le n|gaspillage&m
	adv:place|là
%mor:	co|allez pro:dem|ça v|suffire&PASS&3s
%mor:	pro:sub|on v|ranger-PRES&SUB&13s
%mor:	adv|alors
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s qn|plus n|faim&f ?
%mor:	adv|bien part|manger-PP&m ?
%mor:	co|ah co|bon
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s v:mdl|faire-PRES&12s
	pro:int|quoi adv|alors ?
%mor:	part|taire-PP&m
%mor:	v|asseoir&PRES&12s pro|toi&sg adv|comme pro:sub|il
	v:mdl|falloir&PRES&3s adv:place|là
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|glisser-INF part|taire-PP&m
	v:mdl|aller&PRES&2s pro:obj|te
%mor:	adv:place|voilà det:art|le&m&sg n|menton&m
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s det:art|le&m&sg n|menton&m
	adv|comme pro:dem|ça
%mor:	co|non=no
%mor:	pro:int|où pro:sub|il v:aux|être&PRES&3s det:poss|ton&m&sg
	n|menton&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv|encore n|tout&m
	adj|beau&m&sg=pretty
%mor:	pro:sub|il v:aux|avoir&PRES&3s neg|pas prep|de adj|bleu&m
	adv:place|là
%mor:	co|hein
%mor:	co|oui=yes
