%mor:	prep|à pro:rel|quoi part|taire-PP&m n|joue&f-PL ?|anaé ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	co|non=no adv|mais pro:dem|ça n|parterre&m=flowerbed
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	conj|et pro:int|qui v:int|est–ce pro:int|qui pro:obj|te
	pro:obj|le$v:poss|avoir&PRES&3s part|donner-PP&m ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui pro:obj|te
	pro:obj|le$v:poss|avoir&PRES&3s adj|donné&m pro:dem|ce n|dinosaure&m
	?
%mor:	pro:sub|il pro:obj|le$v:poss|avoir&PRES&3s part|ramener-PP&m
	prep|de$pro:int|où ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s ?
%mor:	co|oh co|oh
%mor:	adv|alors det:art|la&f&sg n|poupée&f
%mor:	pro:sub|il v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m
	v|raconter-PRES&SUB&2s prep|à ?|aliyah adv|tout pro:dem|ce
	pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s part|faire-PP&m
	adj|pendant&m=pending det:art|les&pl n|vacance&f-PL
%mor:	pro:sub|on v:aux|être&IMPF&3s pro:int|où prep|en n|vacance&f-PL ?
%mor:	pro:int|où v:int|est–ce pro:rel|que$pro:sub|on v:aux|être&PRES&3s
	part|aller&PP&m&sg prep|avec ?|anouk ?
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s prep|à ?|aliyah ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui ?|anouk ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ta&f&sg ?
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s
	part|attraper-PP&f=catch co|ouais=yes
	pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui ?|anouk ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ta&f&sg n|cousin&f
%mor:	conj|et pro:int|où v:int|est–ce pro:rel|que$pro:sub|on
