%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	v:int|est–ce adv|que part|taire-PP&m pro:obj|te v|souvenir-PRES&12s
	?|anaé adv|quand part|taire-PP&m n|étai&m-PL adj|petit&f ?
%mor:	co|oui=yes ?
%mor:	pro:dem|ce$v:aux|être&IMPF&3s n|comment&m adv|quand part|taire-PP&m
	n|étai&m-PL adj|petit&f ?
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	part|taire-PP&m v|croire&PRES&12s ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	prep|que pro:sub|je pro:obj|te$v|ouvrir-PRES&13s det:poss|ta&f&sg
	n|compote&f ?
%mor:	?|anaé ?
%mor:	part|taire-PP&m v:mdllex|vouloir&PRES&12s det:poss|ta&f&sg
	n|compote&f ?
%mor:	co|non=no ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s det:art|la&f&sg n|manger&m=food
	?
%mor:	adv|mais pro:sub|il v:mdl|falloir&PRES&3s adv|bien
	pro:obj|le$v|ouvrir-INF
%mor:	pro:sub|il v:mdl|falloir&PRES&3s adv|bien pro:obj|le$v|ouvrir-INF
	prep|pour det:art|la&f&sg n|manger&m=food co|non=no ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	pro:obj|le$v|ouvrir-PRES&SUB&2s adv|toute adj|seul&f ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg adj|petit&m
	n|bouchon&m
%mor:	conj|et adv:place|voilà
%mor:	co|hé co|hé co|hé co|hé pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|on part|dire-PP&m ?
%mor:	part|taire-PP&m v|parler-PRES&SUB&2s prep|dans det:poss|ta&f&sg
	n|tête&f pro:dem|ce$v:exist|être&PRES&3s n|nouveau&m pro:dem|ça
%mor:	n|rien&m
%mor:	pro:sub|je v|parler-PRES&SUB&13s prep|dans det:poss|ma&sg n|tête&f
%mor:	pro|moi&sg co|non=no adv|plus pro:sub|je$v|entendre-IMP&2s neg|pas
%mor:	adv|si part|taire-PP&m pro:obj|me v|dire-PRES&PASS&12s n|merci
	prep|en part|parler&m-PPRE prep|dans det:poss|ta&f&sg n|tête&f
	pro|moi&sg pro:sub|je pro:obj|te$v|entendre-IMP&2s neg|pas
%mor:	adv|alors pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|faire-PP&m pro:dem|ce n|matin&m ?
%mor:	prep|à&le n|relais&m
%mor:	part|taire-PP&m pro:obj|me v|raconter-PRES&SUB&2s ?
%mor:	pro:dem|ce$v:exist|être&PRES&3s adj|vrai&m ?
%mor:	v|attendre-IMP&2s pro:sub|je v:mdl|aller&PRES&1s re#v|pondre-INF
	prep|à&le n|téléphone&m=telephone
%mor:	adv|alors pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|faire-PP&m prep|en
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|faire-PP&m prep|en
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay ?
%mor:	det:art|un&m&sg n|bonhomme&m conj|et adv|puis pro:int|quoi adv|de
	pro|autre&sg ?
%mor:	?|timothée pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s part|faire-PP&m prep|en
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	det:art|un&m&sg n|serpent&m ?
%mor:	conj|et ?|eva pro:sub|elle pro:y|en v:aux|avoir&PRES&3s
	part|faire-PP&m prep|de det:art|la&f&sg
	n|+n|pâte+prep|à+n|modeler&f=modeling_clay ?
%mor:	co|oui=yes ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s part|faire-PP&m ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|partout pro:int|quoi ?
%mor:	co|ah pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|partout prep|sur
	det:poss|ses&pl n|doigt&m-PL ?
%mor:	co|bah co|oui=yes adv|parce pro:rel|que$pro:sub|elle
	v:aux|être&PRES&3s adj|petit&f ?|eva
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:dem|ça pro:sub|elle
	v:mdl|savoir&PRES&3s neg|pas v:mdllex|faire-INF ?
%mor:	conj|et pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|manger-PP&m prep|à n|midi&m ?
%mor:	co|oui=yes ?
%mor:	co|oh pro:sub|on v:aux|avoir&PRES&3s neg|pas part|faire-PP&m
	prep|de n|bisou&m-PL
%mor:	co|hum prep|de&les n|bisou&m-PL prep|à det:art|la&f&sg n|compote&f
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|manger-PP&m prep|chez ?|véro ?
%mor:	co|attention
%mor:	part|taire-PP&m pro:obj|me v|dire-PRES&PASS&12s adv|alors ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|dedans n|oui&m pro:sub|je
	det:art|les&pl v:aux|avoir&PRES&1s part|mettre-PP&m adv:place|dedans
	det:art|les&pl n|livre-PL
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|manger-PP&m prep|chez ?|véro ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m ?
%mor:	co|bah v|venir-IMP&2s
%mor:	co|ah pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m det:art|le&m&sg
%mor:	co|bah co|oui=yes adv|mais part|taire-PP&m v|voir&IMP&PRES&12s
	pro:sub|il pro:y|y v:aux|être&PRES&3s qn|plus
%mor:	det:art|la&f&sg n|maman&f n|chat&m pro:sub|elle pro:y|y
	v:aux|être&PRES&3s prep|plus det:art|la&f&sg n|page prep|de&le
	n|maman&f n|chat&m adv:place|là
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s qn|plus n|rien&m prep|dans
	det:art|les&pl adj|petit&f-PL co|euh
%mor:	co|hum co|non=no pro:sub|je v|croire&PRES&12s neg|pas
%mor:	v|regarder-PRES&SUB&13s co|non=no pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|page prep|d'après
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s qn|plus co|non=no qn|plus
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où pro:sub|elles
	v:aux|être&PRES&3p det:art|les&pl n|page-PL part|taire-PP&m
	det:art|les&pl v:aux|avoir&PRES&2s re#part|tirer-PP&f&pl conj|et
	pro:sub|on det:art|les&pl v:aux|avoir&PRES&3s part|perdre-PP&f&pl
%mor:	pro:sub|on v|regarder-FUT&3s adv|si pro:sub|elles
	v:aux|être&PRES&3p prep|dans det:art|la&f&sg n|bibliothèque&f
%mor:	adv|d'accord ?
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que pro:sub|je
	pro:obj|te$v|aider-PRES&SUB&13s ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|truc&m
	adv:place|dedans ?
%mor:	adv:int|comment pro:sub|elle part|faire-PP&m det:art|la&f&sg
	n|poule&f ?
%mor:	adv|comme det:art|les&pl n|oiseau&m-PL ?
%mor:	pro:sub|ils v:mdl|faire-PRES&3p adv|comment det:art|les&pl
	n|oiseau&m-PL ?
%mor:	co|bah pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|oui=yes
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|hum pro:sub|je neg|ne v|croire&PRES&12s neg|pas
%mor:	pro:sub|je v|croire&PRES&12s pro:rel|que
