%mor:	v|lâcher-IMP&2p pro|moi&sg n|papa&m
%mor:	co|non=no neg|pas det:art|les&pl n|pied&m-PL ?|ana
%mor:	neg|pas det:art|les&pl n|pied&m-PL neg|pas det:art|les&pl
	n|pied&m-PL
%mor:	?|stt neg|pas det:art|les&pl n|pied&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|comme prep|pour v|manger-INF
	prep|à n|table&f pro:dem|ça
%mor:	pro:sub|on v|mettre-PRES&3s neg|pas det:art|les&pl n|pied&m-PL
	prep|sur det:art|la&f&sg n|table&f
%mor:	v|enlever-IMP&2s det:poss|tes&pl n|pied&m-PL prep|sinon pro:sub|je
	v|ranger-PRES&SUB&13s det:art|le&m&sg n|jeu&m
%mor:	v|enlever-IMP&2s
%mor:	co|mm neg|pas prep|avec det:art|les&pl n|pied&m-PL
%mor:	prep|sinon pro:sub|je pro:obj|te v:mdl|faire-PRES&12s prep|de&les
	n|chatouille&f-PL
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|de&les
	n|chatouille&f-PL ?
%mor:	co|oh co|oh
%mor:	co|non=no
%mor:	neg|pas prep|de n|pied&m-PL adv:place|dedans neg|pas prep|de
	n|pied&m-PL adv:place|dedans neg|pas prep|de n|pied&m-PL
	adv:place|dedans neg|pas prep|de n|pied&m-PL adv:place|dedans
%mor:	co|bah pro:sub|on v|jeter-IMP&2s neg|pas
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|me v:mdllex|faire-INF
	adv|mal
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:sub|il v:aux|avoir&PRES&3s adj|mal&m&sg adv:place|là
	det:art|le&m&sg n|cheval&m&sg
%mor:	co|hop
%mor:	co|non=no part|taire-PP&m v:mdl|aller&PRES&2s part|luire&PP&m
	v:mdl|faire-INF adv|mal
%mor:	co|non=no part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|me
	v:mdllex|faire-INF adv|mal
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:sub|je pro:obj|te v|tenir-IMP&2s
%mor:	pro:int|quoi ?
%mor:	co|aïe pro:int|quoi ?
%mor:	co|aïe co|ouille
%mor:	co|non=no
%mor:	co|oui=yes part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|me
	v:mdllex|faire-INF adj|mal&m&sg pro|moi&sg
%mor:	co|ah det:art|un&m&sg n|bisou&m
%mor:	co|ah det:art|un&m&sg n|bisou&m
%mor:	co|ah pro:sub|je$v:aux|avoir&PRES&1s v:aux|avoir&PP&m&sg
	det:poss|mon&m&sg n|bisou&m
%mor:	pro:sub|je pro:obj|te v:mdl|faire-PRES&12s det:art|un&m&sg
	n|bisou&m
%mor:	co|non=no
%mor:	co|non=no co|non=no
%mor:	co|non=no neg|pas prep|de&les n|bisou&m-PL
%mor:	co|non=no co|non=no
%mor:	co|ah co|non=no co|non=no
%mor:	co|non=no
%mor:	co|non=no co|non=no neg|pas prep|de&les n|bisou&m-PL adv:place|là
%mor:	co|non=no
%mor:	?|qu'estce prep|que pro:sub|tu v:mdl|vouloir&PRES&12s
	v:mdl|faire-INF adv:place|là ?
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	co|non=no
%mor:	neg|pas prep|de&les n|bisou&m-PL
%mor:	co|non=no neg|pas prep|de&les n|bisou&m-PL
%mor:	co|ohlàlà
%mor:	co|oh adv:place|là pro:sub|je$v|arriver-IMP&2s neg|pas prep|à
	re#v|monter-INF co|allez
%mor:	co|hop
%mor:	neg|pas prep|de n|bisou&m
%mor:	pro:int|quoi
%mor:	co|hein ?
%mor:	pro|moi&sg ?
%mor:	adv:place|là ?
%mor:	co|non=no
%mor:	v|arrêter-IMP&2s pro:sub|je v:mdl|aller&PRES&1s v|tomber-INF
%mor:	co|oh
%mor:	pro:sub|je v:aux|être&PRES&1s n|malade ?
%mor:	pro:y|y v:aux|être&PRES&3s
%mor:	pro:sub|je v:aux|être&PRES&1s n|malade
%mor:	part|taire-PP&m pro:obj|me$v:poss|avoir&PRES&2s part|faire-PP&m
	adv|trop prep|de n|bisou&m-PL
%mor:	pro:sub|je v:aux|être&PRES&1s n|malade
%mor:	pro:sub|je$v:aux|avoir&PRES&1s adj|mal&m&sg prep|à&les n|joue&f-PL
%mor:	part|taire-PP&m pro:obj|me$v:poss|avoir&PRES&2s part|faire-PP&m
	adv|trop prep|de n|bisou&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|même neg|pas adj|vrai&m
