%mor:	pro:dem|ça v:mdl|aller&PRES&3s ?
%mor:	co|bonjour det:poss|mon&m&sg n|titi&m
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s adv|bien ?
%mor:	v|tenir-IMP&2s ?|ael
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|une&f&sg n|gaufre&f
	?
%mor:	co|ouais=yes pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl
	n|copain&m-PL prep|de det:art|la&f&sg n|forêt&f
%mor:	co|hum
%mor:	?|ael v:mdl|aller&PRES&3s v|chercher-INF det:art|le&m&sg n|piano&m
	adv:place|là–haut
%mor:	co|attention v|ramasser-IMP&2s pro:rel|ce–que part|taire-PP&m
	v:aux|avoir&PRES&2s part|faire-PP&m v|tomber-INF
%mor:	co|non=no n|laisse&f det:art|la&f&sg n|laisse&f det:art|la&f&sg
	v:mdllex|faire-INF
%mor:	?|ael v:mdl|aller&PRES&3s pro:obj|te$v|habiller-INF prep|dans
	det:art|la&f&sg n|+n|salle+prep|à+n|manger
