%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|en adv:place|dessous
%mor:	?|anaé pro:sub|je v|voir&IMP&PRES&12s det:art|un&m&sg n|truc&m
	prep|en adv:place|dessous
%mor:	adv:place|là pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&le
	n|scotch&m
%mor:	v:mdl|aller&PRES&2p v|ouvrir-IMP&2s
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|lire-INF det:art|la&f&sg
	n|momie&f ?
%mor:	n|scorpion&m ?
%mor:	n|serpent&m ?
%mor:	co|ouais=yes pro:sub|elle v|aimer-PRES&SUB&13s adv|bien
%mor:	prep|de&les n|pyramide&f-PL
%mor:	co|allez v:mdl|faire-PRES&12s det:art|un&m&sg n|bisou&m
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|elle v:aux|avoir&PRES&3s prep|de&les n|aile&f-PL adv|de
	n|ange&m
%mor:	det:art|un&m&sg n|chapeau&m prep|de n|père&m n|noël adv|déjà
%mor:	prep|pour det:art|les&pl n|aile&f-PL adv|de n|ange&m
%mor:	co|hop
%mor:	n|ciseau&m-PL
%mor:	v|attendre-IMP&2s ?|anaé v:mdl|falloir&PRES&3s adv|déjà
	pro:obj|le$v|aplatir-INF
%mor:	co|oui=yes
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m v|tomber-INF
	prep|de det:art|la&f&sg n|pâte&f prep|à v|modeler-INF ?|anaé
%mor:	adv|mais pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	adv|maintenant ?|anaé v:mdl|falloir&PRES&3s v:mdl|faire-INF co|euh
	v:mdl|falloir&PRES&3s v:mdl|faire-INF det:art|les&pl n|wagon&m-PL
%mor:	det:art|les&pl n|wagon&m-PL pro:sub|ils v:aux|être&PRES&3p
	adv:place|à–côté=aside prep|de&le n|train&m adv:place|là pro:sub|ils
	v:aux|être&PRES&3p prep|en adv:place|dessous
%mor:	v|regarder-IMP&2s pro:sub|ils v:aux|être&PRES&3p adv:place|là
	det:art|les&pl n|wagon&m-PL ?|anaé
%mor:	pro:sub|ils v:aux|être&PRES&3p adv:place|ici conj|et
	det:art|la&f&sg n|locomotive&f pro:sub|elle v:aux|être&PRES&3s
	prep|en adj|haut&m
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|aussi prep|de&les
	n|boule&f-PL prep|en n|pâte&f prep|à v|modeler-INF
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s num|quatre
%mor:	?|anaé part|taire-PP&m n|peu&m-PL adv|aussi pro:obj|te v|servir-INF
	prep|de pro:dem|ça
%mor:	?|anaé pro:sub|je pro:obj|te$v|ouvrir-IMP&2s adv|tout ?
%mor:	adv|mais pro:sub|je$v|ouvrir-IMP&2s
%mor:	adv|mais co|non=no pro:sub|je$v|ouvrir-IMP&2s
%mor:	v|tenir-IMP&2s
%mor:	v|tenir-IMP&2s
%mor:	co|euh det:art|la&f&sg n|pâte&f prep|à v|modeler-INF pro:dem|ça
	pro:refl|se v|couper-PRES&SUB&13s neg|pas prep|avec det:art|une&f&sg
	n|loup&f
%mor:	co|euh prep|dans det:art|le$pro|autre&sg n|sens&m ?|anaé
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s
	pro:dem|ce$v:aux|être&PRES&3s prep|dans det:art|le&m&sg n|mauvais&m
	n|sens&m
%mor:	co|non=no pro:dem|ce$v:aux|être&PRES&3s prep|dans det:art|le&m&sg
	n|mauvais&m n|sens&m
%mor:	prep|dans det:art|le$pro|autre&sg n|sens&m
%mor:	co|oh co|la
%mor:	prep|dans det:art|la&f&sg n|boue&f=mud
%mor:	?|anaé ?
%mor:	pro:obj|nous det:poss|notre&sg n|sapin&m pro:sub|il
	v:aux|être&PRES&3s prep|de det:dem|cette&f&sg n|couleur&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|bougie&f n|père&m
	n|noël
%mor:	adv|mais co|non=no pro:sub|il v:aux|avoir&PRES&3s adj|juste
	prep|de&les n|cadeau&m-PL
%mor:	n|si&m adv|mais pro:sub|on pro:obj|le$v:poss|avoir&IMPF&3s prep|vu
