annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	52632	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	oh ! Where did yours go ?	963	clara							basadi a lona aile kae	Sesotho	basadi a lona a-il-e kae	ij 6 2p sm6-go/t^pf-m^in wh	basadi a lona aile kae	2708341	ij ps pn pfx-v-sfx wh	2141.3	2144.98	2141.3	2144.98	Sesotho	JUL	sme	u34	NA	NA	NA	Grandmother	17024	35	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52633	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Please just wait	963	clara							ako lebutleng	Sesotho	ako le-butl-eng	ij sm2p-wait-m^ip	ako lebutleng	2708342	ij pfx-pfx-pfx	2144.6	2.145.989	2144.6	2.145.989	Sesotho	JUL	sme	u35	NA	NA	NA	Grandmother	17024	35	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52634	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Please put down first and you should eat the pods	963	clara							ake lebeheng pele leje makhapetla	Sesotho	ake le-beh-eng pele le-j-e ma-khapetla	ij sm2p-t^p_put-m^sp av sm2p-t^p_eat-m^s 6-peel(5,6)	ake lebeheng pele leje makhapetla	2708343	ij pfx-v-sfx av pfx-v-sfx pfx-n	2145.6	2.147.806	2145.6	2.147.806	Sesotho	JUL	sme	u36	NA	NA	NA	Grandmother	17024	35	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52635	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Wait !	963	clara							butleng	Sesotho	butleng	ij	butleng	2708344	ij	2147.6	2.148.723	2147.6	2.148.723	Sesotho	JUL	sme	u37	NA	NA	NA	Grandmother	17024	35	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52636	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	eat the pods	963	clara							jaang makhapetla	Sesotho	jaang ma-khapetla	eat/m^ip 6-peel(5,6)	jaang makhapetla	2708345	v pfx-n	2.148.723	2154.78	2.148.723	2154.78	Sesotho	JUL	sme	u38	NA	NA	NA	Grandmother	17024	35	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52637	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	You are already also going to the pods ?	963	clara							useuya makhapetleng le wena	Sesotho	u-se-u-y-a ma-khapetle-ng le wena	sm2s-t^se-sm2s-go-m^pt 6-peel(5,6)-lc cj 2s	useuya makhapetleng le wena	2708346	pfx-pfx-pfx-v-sfx pfx-n-sfx cj pn	2154.4	2.158.855	2154.4	2.158.855	Sesotho	JUL	sme	u39	NA	NA	NA	Grandmother	17024	35	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52638	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Go to the pods	963	clara							eya makhapetleng	Sesotho	ey-a ma-khapetle-ng	go-m^i 6-peel(5,6)-lc	eya makhapetleng	2708347	v-sfx pfx-n-sfx	2.158.855	2.164.293	2.158.855	2.164.293	Sesotho	JUL	sme	u40	NA	NA	NA	Grandmother	17024	35	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52673	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	Usually you end up falling when you do that	963	clara							ubeutlawela wena	Sesotho	u-be-u-tla-w-el-a wena	sm2s-t^be-sm2s-t^f1-fall-ap-m^pt 2s	ubeutlawela wena	2708382	pfx-pfx-pfx-pfx-v-sfx-sfx pn	2477	2.479.297	2477	2.479.297	Sesotho	JUL	sme	u75	NA	NA	NA	Grandmother	17024	41	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52674	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	You do your things well	963	clara							uetsa dintho tsahao hantle	Sesotho	u-ets-a di-ntho tsa-hao hantle	sm2s-t^p_do-m^in 10-thing(9,10) 10-2s av	uetsa dintho tsahao hantle	2708383	pfx-v-sfx pfx-n ps-sfx av	2526	2528.44	2526	2528.44	Sesotho	JUL	sme	u76	NA	NA	NA	Grandmother	17024	42	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52675	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	The little birds ran away	963	clara							dibalehila ditsuonyana	Sesotho	di-baleh-il-a di-tsuo-nyana	sm10-run_away-t^pf-m^in 10-chicken(9,10)-dim	dibalehila ditsuonyana	2708384	pfx-v-sfx-sfx pfx-n-sfx	2558	2.561.529	2558	2.561.529	Sesotho	JUL	sme	u77	NA	NA	NA	Grandmother	17024	42	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52676	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	They left you	963	clara							diusiyile	Sesotho	di-u-siy-il-e	sm10-om2s-leave_behind-t^pf-m^in	diusiyile	2708385	pfx-pfx-v-sfx-sfx	2.561.529	2.563.467	2.561.529	2.563.467	Sesotho	JUL	sme	u78	NA	NA	NA	Grandmother	17024	42	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52677	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	They left you	963	clara							tsausiya	Sesotho	tsa-u-siy-a	sm10/t^np-om2s-leave_behind-m^in	tsausiya	2708386	pfx-pfx-v-sfx	2.563.467	2.570.291	2.563.467	2.570.291	Sesotho	JUL	sme	u79	NA	NA	NA	Grandmother	17024	42	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52679	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	default	The little birds left Ts'anatu behind	963	clara							ditsuonyana disile Ts'anatu	Sesotho	di-tsuo-nyana di-si-l-e Ts'anatu	10-chicken(9,10)-dim sm10-leave_behind-t^pf-m^in a_name	ditsuonyana disile Ts'anatu	2708388	pfx-n-sfx pfx-v-sfx-sfx ???	2.574.748	2.578.914	2.574.748	2.578.914	Sesotho	JUL	sme	u81	NA	NA	NA	Grandmother	17024	42	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52741	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	What are you doing ?	963	clara							uetsang	Sesotho	u-ets-a-ng	sm2s-t^p_do-m^in-wh	uetsang	2708450	pfx-v-sfx-sfx	2878.2	2.879.738	2878.2	2.879.738	Sesotho	JUL	sme	u143	NA	NA	NA	Grandmother	17024	47	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52755	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Yes do you know ?	963	clara							e uatseba	Sesotho	e u-a-tseb-a	ij sm2s-t^p-know-m^in	e uatseba	2708464	ij pfx-pfx-v-sfx	2926.8	2.928.298	2926.8	2.928.298	Sesotho	JUL	sme	u157	NA	NA	NA	Grandmother	17024	48	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52766	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Where did it come from ?	963	clara							etswa kae	Sesotho	e-tsw-a kae	sm9-t^p_come_from-m^in wh	etswa kae	2708475	pfx-v-sfx wh	2.960.286	2.962.713	2.960.286	2.962.713	Sesotho	JUL	sme	u168	NA	NA	NA	Grandmother	17024	49	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52768	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Yes where did it come from ?	963	clara							e etswa kae	Sesotho	e e-tsw-a kae	ij sm9-t^p_come_from-m^in wh	e etswa kae	2708477	ij pfx-v-sfx wh	2965.8	2.967.466	2965.8	2.967.466	Sesotho	JUL	sme	u170	NA	NA	NA	Grandmother	17024	49	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52776	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Where is it ?	963	clara							se kae	Sesotho	se kae	cp7 wh	se kae	2708485	cop wh	3010.8	3.012.357	3010.8	3.012.357	Sesotho	JUL	sme	u178	NA	NA	NA	Grandmother	17024	50	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
1	52778	2505	17024	958	Julia	NA	Female	Grandmother	Grandmother	Adult	question	Where is it ?	963	clara							se kae	Sesotho	se kae	cp7 wh	se kae	2708487	cop wh	3013.7	3.014.637	3013.7	3.014.637	Sesotho	JUL	sme	u180	NA	NA	NA	Grandmother	17024	50	1c_63.27	030800ab.cha	Neuoe	Neuoe-030800ab.cha	adult	Keychild	CDS
