%mor:	pro:sub|ils v:exist|être&PRES&3p ?|làbas ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s v:mdl|falloir&INF v|enlever-INF
	n|tutu&m adv|parce adv|que pro|moi&sg pro:sub|je
	v|comprendre-PRES&IMP&12s n|rien&m
%mor:	part|taire-PP&m v|venir-PRES&12s ?|ninette
%mor:	v|tenir-IMP&2s
%mor:	v:mdl|falloir&PRES&3s v|mettre-INF det:art|le&m&sg n|sac&m
	det:poss|mon&m&sg n|coeur&m
%mor:	v|venir-IMP&2s v|voir&INF
%mor:	co|oh part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le
	v|mettre-INF
%mor:	v|attendre-IMP&2s
%mor:	v|mettre-IMP&2s det:art|le&m&sg n|sac&m
%mor:	v|attendre-IMP&2s
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	v|venir-IMP&2s v|voir&INF n|maman&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|aider-INF
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|+n|serre+n|tête&m
%mor:	v|regarder-IMP&2s pro|moi&sg
%mor:	adv|très adj|joli&f n|enfant
%mor:	v|tenir-IMP&2s
%mor:	v:mdl|aller&PRES&3s v:mdl|falloir&INF v|enlever-INF n|tutu&m
	co|hein
%mor:	co|pardon
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s adj|mi&m-PL=half
	pro:int|où ?
%mor:	part|taire-PP&m pro:obj|me pro:obj|la v|donner-PRES&SUB&2s ?
%mor:	adv|d'accord
%mor:	adv|alors pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi
	det:dem|ces&m&pl n|livre-PL prep|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|prendre-PP&m n|hier&m ?
%mor:	co|aïe ?
%mor:	adv:int|pourquoi ?
%mor:	adv:place|là ?
%mor:	pro:sub|il v:mdl|falloir&PRES&3s v|enlever-INF ?
%mor:	co|bah v:mdl|faire-PRES&12s v|voir&INF
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	det:art|le&m&sg n|micro&m det:poss|mon&m&sg n|coeur&m
%mor:	v|attendre-IMP&2s
%mor:	adv|doucement
%mor:	co|ah pro:dem|ça part|faire-PP&m adj|mal&m&sg n|derrière&m
%mor:	co|hein
%mor:	co|ah co|bah co|voilà part|taire-PP&m v:aux|avoir&PRES&2s n|tout&m
	adj|enlevé&m
%mor:	pro:dem|ça v:mdl|aller&PRES&3s n|mieux&m ?
%mor:	pro:sub|on pro:obj|le$v|enlever-IMP&2s ?
%mor:	adv|d'accord
%mor:	n|pose&f det:art|le&m&sg adv:place|là
%mor:	part|taire-PP&m v|venir-IMP&2s ?
%mor:	adv|alors
%mor:	?|celuilà pro:sub|il v:aux|être&PRES&3s prep|à pro|toi&sg ?
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi prep|comme n|histoire&f
	?
%mor:	v|attendre-IMP&2s
%mor:	pro|toi&sg n|minette&f
%mor:	part|taire-PP&m det:art|le&m&sg v|manger-PRES&SUB&2s neg|pas ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|ouais=yes det:art|le&m&sg n|micro&m
%mor:	v:mdl|falloir&PRES&3s neg|pas n|toucher&m
%mor:	adv|alors
%mor:	v|attendre-IMP&2s pro:int|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|petit&m n|ours&m ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg n|bébé&m
	adj|petit&m n|ours&m adj|brun&m
%mor:	adv|alors
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	det:art|un&m&sg n|rond&m ?
%mor:	co|mhm
%mor:	co|ah co|bon
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v:mdl|faire-PRES&12s ?
%mor:	co|oh
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|oui=yes pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|lapin&m
%mor:	conj|et pro:dem|ça ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|ils
	v:mdl|faire-PRES&3p adv:place|là ?
%mor:	?|ceuxlà pro:dem|ce$v:aux|être&PRES&3s
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas n|papa&m
	pro:dem|ça
%mor:	co|ah co|oui=yes
%mor:	pro:dem|ça n|oui&m
%mor:	conj|et pro:dem|ça
%mor:	co|ouais=yes
%mor:	conj|et adv|puis adj|petit&m n|ours&m
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|où adv:place|là ?
%mor:	pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg n|couteau&m co|oui=yes
%mor:	det:art|la&f&sg n|cuillère&f=spoon
%mor:	det:art|la&f&sg n|fourchette&f
%mor:	pro:sub|ils v:aux|être&PRES&3p prep|dans det:gen|quelle&f&sg
	n|pièce&f ?
%mor:	det:art|la&f&sg n|cuisine&f ?
%mor:	pro:sub|ils v|manger-PRES&3p prep|dans det:art|la&f&sg n|cuisine&f
	?
%mor:	conj|et co|ouais=yes
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s pro:dem|ce$v:aux|être&PRES&3s
	det:art|le&m&sg n|+n|petit+n|déjeuner
%mor:	co|hum co|hum
%mor:	conj|et pro:sub|il v|manger-PRES&SUB&13s det:art|un&m&sg n|yaourt&m
	v|regarder-PRES&SUB&13s
%mor:	co|ah co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à det:art|le$n|abricot&m
%mor:	adv|alors conj|et pro:dem|ça
%mor:	co|oh
%mor:	co|bah pro:dem|ce$v:exist|être&PRES&3s n|tout&m pro:dem|ce
	pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|dans
	det:art|la&f&sg n|cuisine&f ?
%mor:	adv|alors pro:int|que$v:aux|être&PRES&3s det:dem|ce&m&sg
	pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|dans
	det:art|la&f&sg n|cuisine&f ?
%mor:	adv|d'accord
%mor:	co|oh conj|et pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	co|ah
%mor:	det:art|le&m&sg n|dentifrice&m prep|pour v|laver-INF det:art|les&pl
	n|dent&f-PL ?
%mor:	adv|d'accord
%mor:	conj|et pro:dem|ça ?
%mor:	det:art|les&pl n|pantoufle&f-PL
%mor:	co|éh pro:sub|il pro:refl|se
%mor:	conj|et pro:int|que$v:aux|être&PRES&3s pro:dem|ce
	pro:rel|que$pro:sub|il part|faire-PP&m adj|petit&m n|ours&m
	adj|brun&m adv:place|là ?
%mor:	adv|mais
%mor:	v|laver-INF
%mor:	pro:sub|elle det:art|le&m&sg n|lave&f det:poss|sa&f&sg n|maman&f ?
%mor:	pro:sub|il v|prendre-PRES&3s det:poss|son&m&sg n|bain&m
%mor:	pro:sub|il v:aux|être&PRES&3s prep|dans det:art|la&f&sg
	n|baignoire&f ?
%mor:	co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|baignoire&f
%mor:	co|mhm
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	pro:dem|ça ?
%mor:	re#v|prendre-PRES&3s pro:dem|ce adv|que v|venir-PRES&3s prep|de
	v|dire-INF ?|ana pro:int|quoi ?
%mor:	co|euh pro:sub|je$v:aux|avoir&PRES&1s neg|pas part|comprendre-PP&m
	adv:place|là
%mor:	pro:dem|ça
%mor:	prep|de&le adj|rouge prep|à n|lèvre&f
%mor:	co|hein co|hein
%mor:	conj|et pro:dem|ça adv|alors ?
%mor:	det:art|un&m&sg n|chat&m
%mor:	det:art|la&f&sg n|chaise&f ?
%mor:	co|mhm
%mor:	conj|et pro:dem|ça adv:place|là ?
%mor:	pro:dem|ça adv:place|là
%mor:	n|lampe&f
%mor:	det:art|la&f&sg n|lumière&f
%mor:	co|oh
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|ils
	v:mdl|faire-PRES&3p adv:place|là ?
%mor:	pro:int|que$v:exist|être&PRES&3s det:dem|ce&m&sg
	pro:rel|que$pro:sub|elle part|faire-PP&m det:art|la&f&sg n|maman&f ?
%mor:	pro:sub|elle v|arroser-PRES&SUB&13s ?
%mor:	prep|avec prep|de det:art|le$n|eau&f ?
%mor:	co|ouais=yes
%mor:	prep|pour v:mdl|faire-INF v|pousser-INF det:art|les&pl n|fleur&f-PL
	?
%mor:	co|oh conj|et pro:dem|ça
%mor:	n|escargot&m
%mor:	co|bah co|oui=yes pro:sub|elle v:aux|être&PRES&3s ?|làbas
%mor:	co|oh conj|et pro:dem|ça n|nénette&f
	pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|balançoire&f ?
%mor:	co|mh
%mor:	conj|et det:art|la&f&sg n|+n|chaise+n|longue&f=recliner co|oui=yes
%mor:	conj|et pro:dem|ça ?
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s det:art|un&m&sg
	pro|toi&sg adv|aussi
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour v|arroser-INF ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|arrosoir&m ?
%mor:	?|làhaut co|oui=yes
%mor:	pro:sub|il v:aux|être&PRES&3s prep|chez n|papi&m det:art|le&m&sg
	n|tien&m ?
%mor:	co|mhm
%mor:	pro:sub|il v:aux|être&PRES&3s adj|bleu&m adv|aussi det:art|le&m&sg
	n|tien&m
%mor:	adj|bleu&m conj|ou pro:sub|il v:aux|être&PRES&3s adj|jaune ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|vélo&m ?
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s det:art|un&m&sg
	pro|toi&sg adv|aussi prep|de n|vélo&m co|ouais=yes
%mor:	pro:sub|il v:aux|être&PRES&3s prep|chez n|papi&m ?
%mor:	co|mh
%mor:	prep|chez n|papi&m
%mor:	co|mh
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg ?
%mor:	n|balançoire&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg ?
%mor:	num|deux ?
%mor:	adv:int|pourquoi n|deux&m ?
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s num|deux pro|toi&sg
%mor:	co|hein
%mor:	conj|et pro:sub|elles v:aux|être&PRES&3p pro:int|où det:art|les&pl
	adj|tien&f-PL ?
%mor:	co|mh
%mor:	adv|d'accord
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:dem|celle&f&sg prep|de
	?|chlo
%mor:	co|oh conj|et adv:place|là ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ce n|truc&m ?
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chien&m
	co|ouais=yes
%mor:	conj|et adv:place|là ?
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|oiseau&m-PL
%mor:	conj|et pro:dem|ça adv:place|là ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
