utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
12	MOT	mother	< à quoi tu joues Anaé ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
13	MOT	mother	qu'est-ce que c'est ça ?	%sit CHI ramasse sa poupée et se relève		%sit CHI ramasse sa poupée et se relève 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
15	MOT	mother	non mais ça parterre .	%xpnt show le dinosaure de l'index droit		%xpnt show le dinosaure de l'index droit 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
16	MOT	mother	qu'est-ce que c'est ?	%sit CHI regarde MOT puis le dinosaure		%sit CHI regarde MOT puis le dinosaure 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
18	MOT	mother	et qui est-ce qui te l'a donné ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
19	MOT	mother	qui est-ce qui te l'a donné ce dinosaure ?	%act MOT regarde CHI		%act MOT regarde CHI 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
21	MOT	mother	il l'a ramené d'où ?	%sit CHI balance sa poupée et la lâche		%sit CHI balance sa poupée et la lâche 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
22	MOT	mother	tu sais ?	%act MOT regarde CHI %sit CHI regarde sa poupée tombée dans le bas du meuble		%act MOT regarde CHI %sit CHI regarde sa poupée tombée dans le bas du meuble 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
24	MOT	mother	oh [/] oh .	ximi MOT imite CHI		ximi MOT imite CHI 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
25	MOT	mother	alors la poupée .	%act MOT se lève du fauteuil		%act MOT se lève du fauteuil 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
32	MOT	mother	il faut que tu racontes à Aliyah tout ce qu'on a fait pendant les vacances .	%sit CHI se redresse sur les genoux et regarde MOT 		%sit CHI se redresse sur les genoux et regarde MOT  	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
34	MOT	mother	on était où en vacances ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
35	MOT	mother	où est-ce qu'on est allé (.) avec Anouk ?	%sit CHI balance sa poupée et la fait tomber sur le fauteuil		%sit CHI balance sa poupée et la fait tomber sur le fauteuil 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
41	MOT	mother	<tu dis à Aliyah> [>] ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
43	MOT	mother	c'est qui Anouk ?	%sit CHI regarde MOT		%sit CHI regarde MOT 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
44	MOT	mother	c'est ta ..?	%sit CHI avance vers MOT avec sa poupée en main		%sit CHI avance vers MOT avec sa poupée en main 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
46	MOT	mother	tu l'as attrapée ouais c'est qui Anouk ?	%act MOT regarde CHI		%act MOT regarde CHI 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
47	MOT	mother	c'est ta cousine !			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
49	MOT	mother	et où est-ce qu'on est allé avec Anouk ?	%sit CHI joue avec la poupée dans la bibliothèque		%sit CHI joue avec la poupée dans la bibliothèque 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
51	MOT	mother	on est allé où avec Anouk ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
53	MOT	mother	< on est allé à la mer ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
55	MOT	mother	oui ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
58	MOT	mother	< qu'est-ce qui s(e) passe ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
59	MOT	mother	qu'est-ce qu'il y a ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
61	MOT	mother	et qu'est-ce qu'il y a là ?	%sit CHI joue avec la poussette		%sit CHI joue avec la poussette 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
63	MOT	mother	boh@i .			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
64	MOT	mother	qu'est-ce que tu promènes dans ta poussette ?	%sit CHI a pris deux livres dont l'un est ouvert ce qui est difficile à tenir en main		%sit CHI a pris deux livres dont l'un est ouvert ce qui est difficile à tenir en main 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
66	MOT	mother	xxx .	%sit un des deux livres tombe		%sit un des deux livres tombe 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
67	MOT	mother	qu'est-ce que c'est ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
69	MOT	mother	un liv(re) de quoi ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
72	MOT	mother	tu veux le lire ?	%act MOT regarde CHI	%sit CHI regarde MOT puis le livre	%act MOT regarde CHI %sit CHI regarde MOT puis le livre	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
74	MOT	mother	c'est toi qui me le lis ?	%sit CHI commence à ouvrir le livre		%sit CHI commence à ouvrir le livre 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
75	MOT	mother	tu me le racontes ?	%sit CHI ouvre le livre		%sit CHI ouvre le livre 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
76	MOT	mother	vas y mets toi sur la table tu fais attention aux thés parce qu'ils sont très chauds .	%act MOT débarrasse la table pour que CHI s'y installe	%sit CHI se dirige vers la table	%act MOT débarrasse la table pour que CHI s'y installe %sit CHI se dirige vers la table	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
77	MOT	mother	vas y mets toi là .	%xpnt show la table avec la main en la touchant de la paume		%xpnt show la table avec la main en la touchant de la paume 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
79	MOT	mother	<c'est quoi> [=! sourit] ?			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
81	MOT	mother	c'est l'histoire de quoi alors ?	%sit CHI tourne les pages du livre		%sit CHI tourne les pages du livre 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
82	MOT	mother	c'est déjà fini ?	%sit CHI continue de tourner les pages du livre le referme et le donne à MOT		%sit CHI continue de tourner les pages du livre le referme et le donne à MOT 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
83	MOT	mother	merci .	%act MOT prend le livre		%act MOT prend le livre 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
84	MOT	mother	tu préfères celui-là ?	%act MOT regarde CHI	%sit CHI ramasse le livre qui était tombé par terre	%act MOT regarde CHI %sit CHI ramasse le livre qui était tombé par terre	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
86	MOT	mother	ouais [=! hoche la tête] ?	%act MOT regarde CHI		%act MOT regarde CHI 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
87	MOT	mother	comment il s'appelle celui-là ?	%act MOT pose le premier livre que CHI lui avait donné	%sit CHI se dirige vers la table avec l'autre livre	%act MOT pose le premier livre que CHI lui avait donné %sit CHI se dirige vers la table avec l'autre livre	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
89	MOT	mother	tu lis à maman ?	%sit CHI ouvre le livre		%sit CHI ouvre le livre 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
90	MOT	mother	vas y !			 	Anae/215.cha	1	clara				Anae	mother	Keychild	CDS
