%mor:	v|tenir-IMP&2s
%mor:	co|non=no
%mor:	det:art|un&m&sg n|lit&m v|voir&PRES&1p
%mor:	conj|et pro|un&m&sg
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s adv|parce pro:int|que
	prep|de pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|peu&m
	part|déchirer-PP&m
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|trouver-INF n|tout&m
	pro:dem|ce pro:int|qui v:aux|être&PRES&3s adj|jaune
%mor:	?|tim part|taire-PP&m v:mdl|pouvoir&PRES&12s v|trouver-INF ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg
	n|chaussette&f
%mor:	co|non=no
%mor:	dé#v|jeuner-INF
%mor:	co|oui=yes
%mor:	adv|tout ?|c'qu'est adv:place|là
%mor:	pro:int|où pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg n|sceau&m
	prep|dans det:dem|cette&f&sg n|image&f
%mor:	co|hein
%mor:	co|bravo
%mor:	det:art|la&f&sg n|brouette&f pro:int|où pro:sub|elle
	v:aux|être&PRES&3s ?
%mor:	n|rateau&m=rake
%mor:	pro:sub|il v:mdl|falloir&PRES&3s adv|bien pro:rel|que$pro:sub|on
	pro:obj|te$v|entendre-PRES&3s
