annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
959	55700	2514	17081	970	Maspeshene	NA	NA	Adult	Adult	Adult	default	It is still there	959	clara							entseele teng	Sesotho	e-ntse-e-le teng	sm9-t^pp-sm9-cp loc	entseele teng	2711409	pfx-pfx-pfx-pfx loc	49.445	50.856	49.445	50.856	Sesotho	MSH	sme	u11	NA	NA	NA	Speaker	17081	0	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Mother	ADS
959	55703	2514	17081	970	Maspeshene	NA	NA	Adult	Adult	Adult	question	oh it is green ?	959	clara							oh e tala	Sesotho	oh e tala	ij cp9 aj	oh e tala	2711412	ij cop aj	55.808	61.651	55.808	61.651	Sesotho	MSH	sme	u14	NA	NA	NA	Speaker	17081	0	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Mother	ADS
959	55869	2514	17081	970	Maspeshene	NA	NA	Adult	Adult	Adult	question	Tsebo will be alone why ?	959	clara							Tsebo oneakaba mong hobaneng	Sesotho	Tsebo o-ne-a-ka-ba mo-ng hobaneng	a_name sm1-t^ne-sm1-t^po-cp 1-aj wh	Tsebo oneakaba mong hobaneng	2711578	??? pfx-pfx-pfx-pfx-pfx pfx-aj wh	880.855	883.163	880.855	883.163	Sesotho	MSH	sme	u180	NA	NA	NA	Speaker	17081	14	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Mother	ADS
959	55870	2514	17081	970	Maspeshene	NA	NA	Adult	Adult	Adult	question	I say Tsebo will be alone why ?	959	clara							kere Tsebo oneakaba mong hobaneng	Sesotho	ke-r-e Tsebo o-ne-a-ka-ba mo-ng hobaneng	sm1s-t^p_say-m^in a_name sm1-t^ne-sm1-t^po-cp 1-aj wh	kere Tsebo oneakaba mong hobaneng	2711579	pfx-v-sfx ??? pfx-pfx-pfx-pfx-pfx pfx-aj wh	883.163	886.163	883.163	886.163	Sesotho	MSH	sme	u181	NA	NA	NA	Speaker	17081	14	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Mother	ADS
959	55893	2514	17081	970	Maspeshene	NA	NA	Adult	Adult	Adult	question	I say Tsebo's aunt she made what of child ?	959	clara							kere mangwane wa Tsebo oentse ngwana mang	Sesotho	ke-r-e mangwane wa Tsebo o-ents-e ngwana mang	sm1s-t^p_say-m^in aunt(1a,2a) 1 a_name sm1-do/t^pf-m^pt child(1irg) wh	kere mangwane wa Tsebo oentse ngwana mang	2711602	pfx-v-sfx n ps ??? pfx-v-sfx n wh	943.24	948.73	943.24	948.73	Sesotho	MSH	sme	u204	NA	NA	NA	Speaker	17081	15	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Mother	ADS
959	55895	2514	17081	970	Maspeshene	NA	NA	Adult	Adult	Adult	default	oh people !	959	clara							au batho	Sesotho	au ba-tho	ij 2-person(1,2)	au batho	2711604	ij pfx-n	949.221	950.378	949.221	950.378	Sesotho	MSH	sme	u206	NA	NA	NA	Speaker	17081	15	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Mother	ADS
959	55898	2514	17081	970	Maspeshene	NA	NA	Adult	Adult	Adult	question	She is still at home ?	959	clara							ontseale hae moo	Sesotho	o-ntse-a-le hae moo	sm1-t^pp-sm1-cp ps/home loc	ontseale hae moo	2711607	pfx-pfx-pfx-pfx n loc	952.331	956.323	952.331	956.323	Sesotho	MSH	sme	u209	NA	NA	NA	Speaker	17081	15	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Mother	ADS
959	55907	2514	17081	970	Maspeshene	NA	NA	Adult	Adult	Adult	default	Yes	959	clara							m	Sesotho	m	ij	m	2711616	ij	971.925	972.66	971.925	972.66	Sesotho	MSH	sme	u218	NA	NA	NA	Speaker	17081	16	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Mother	ADS
959	55914	2514	17081	970	Maspeshene	NA	NA	Adult	Adult	Adult	question	How many boys ?	959	clara							bashanyana babakae	Sesotho	ba-shanyana ba-ba-kae	2-boy(1,2) 2-2-wh	bashanyana babakae	2711623	pfx-n pfx-pfx-pfx	979.613	981.008	979.613	981.008	Sesotho	MSH	sme	u225	NA	NA	NA	Speaker	17081	16	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Mother	ADS
958	56794	2515	17089	972	Masello	NA	NA	Adult	Adult	Adult	default	Patric	958	clara							Patric	Sesotho	Patric	a_name	Patric	2712503	???	4866.89	4867.93	4866.89	4867.93	Sesotho	MSL	sme	u539	NA	NA	NA	Speaker	17089	81	7c_92.23	031000cd.cha	Neuoe	Neuoe-031000cd.cha	adult	Grandmother	ADS
