%mor:	co|ah co|bon
%mor:	v|attendre-IMP&2s
%mor:	adv|d'accord
%mor:	part|taire-PP&m v|écrire-IMP&PRES&12s ?|chloé
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ca adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	pro:sub|il v:aux|être&PRES&3s conj|ou det:art|le&m&sg n|fer&m ?
%mor:	adv|mais pro:sub|je pro:obj|te$v:poss|avoir&PRES&1s n|rien&m
	adj|demandé&m pro|toi&sg
%mor:	conj|et adv|alors n|si&m pro:sub|elle v:mdl|vouloir&PRES&3s
	pro:rel|que$pro:sub|il v|dormir-PRES&SUB&13s prep|dans
	det:art|la&f&sg n|baignoire&f det:poss|son&m&sg n|bébé&m
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v|raconter-PRES&SUB&2s
%mor:	co|non=no pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:sub|je
	?|comrpends n|rien&m prep|à det:dem|ce&m&sg adv|que part|taire-PP&m
	pro:obj|me v|dire-PRES&PASS&12s det:poss|ma&sg n|chéri&f
%mor:	co|oui=yes pro:obj|te$v:poss|avoir&PRES&2s n|raison&f
%mor:	v:mdl|faire-PRES&12s det:poss|ton&m&sg n|dessin&m
%mor:	pro:sub|il v:aux|être&PRES&3s prep|en n|fabrication&f
%mor:	?|no pro:sub|il v:aux|être&PRES&3s prep|en n|train&m prep|de
	pro:refl|se v:mdllex|faire-INF
%mor:	pro:sub|il pro:obj|te n|reste&m prep|de&le n|travail&m&sg prep|à
	v:mdl|faire-INF det:poss|ma&sg n|fille&f
%mor:	?|ahh
%mor:	adv|parce adv|que pro:sub|elle v:mdl|vouloir&PRES&3s v|jouer-INF
%mor:	adv|si pro:sub|ils pro:y|y v:aux|être&PRES&3p
%mor:	co|merci det:poss|ma&sg ?|chloé
%mor:	co|oui=yes pro:sub|ils v:aux|être&PRES&3p adv|très
	adj|beau&m&pl=pretty det:poss|tes&pl n|dessin&m-PL det:poss|ma&sg
	?|chloé
%mor:	pro:obj|te$v:poss|avoir&PRES&2s adv|tout part|écrire-PP&m ?
%mor:	pro:obj|te$v:poss|avoir&PRES&2s n|écrit&m pro:int|quoi ?
%mor:	part|taire-PP&m pro:y|y v:mdl|aller&PRES&2s
%mor:	prep|dans det:poss|ta&f&sg n|chambre&f
%mor:	prep|sur det:art|le&m&sg n|bureau&m part|taire-PP&m
	v|descendre-PRES&12s adv|tout
%mor:	co|bah part|taire-PP&m det:art|les&pl adj|amène&m-PL=affable
	prep|à&le n|bord&m prep|de&les n|escalier&m-PL conj|ou
	part|taire-PP&m det:art|les&pl n|lance&f-PL prep|de&les
	n|escalier&m-PL
%mor:	co|non=no co|non=no pro:sub|je v|monter-IMP&2s neg|pas pro|moi&sg
%mor:	co|non=no pro:sub|je n|reste&m adv:place|là
%mor:	?|yen v:aux|avoir&PRES&3s qn|plus ?
%mor:	co|stop
%mor:	co|ah n|excuse&f pro|moi&sg
%mor:	co|bah v|dire-PRES&PASS&12s conj|donc co|ah
%mor:	pro:obj|te$v:poss|avoir&PRES&2s pro:rel|que$prep|à
	pro:obj|le$v|enlever-INF cm|cm v|passer-IMP&2s prep|de
	det:art|le$pro|autre&sg adj|coté&m
%mor:	co|na
%mor:	co|na
%mor:	?|chloé cm|cm n|stop&m
%mor:	co|non=no co|non=no co|non=no part|taire-PP&m part|luire&PP&m
	n|laisse&f-PL v|mettre-INF
%mor:	v|tenir-IMP&2s n|mets&m n|mini&f=mini_skirt pro|toi&sg
%mor:	det:art|le&m&sg n|reste&m part|taire-PP&m n|laisse&f-PL
	v|mettre-INF det:poss|ta&f&sg n|soeur&f
%mor:	co|na
%mor:	co|na
%mor:	co|na
%mor:	co|merci ?|chloé
