utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
32162	SIS	sister	tu es timide?				Theotime/239b.cha	1	clara		1	Lara			Theotime	child	Keychild
32163	SIS	sister	moi je suis pas timide avec les gens			%sit  Tim se rassoie sur la chaise et tire le paquet de gâteaux à lui /Theotime/239b.cha	Theotime/239b.cha	1	clara		1	Lara			Theotime	child	Keychild
32169	SIS	sister	c'est c'est maman?				Theotime/239b.cha	1	clara		1	Lara			Theotime	child	Keychild
32194	SIS	sister	oh tu prends tu //				Theotime/239b.cha	1	clara		1	Lara			Theotime	child	Keychild
32195	SIS	sister	tu en prends tout hein				Theotime/239b.cha	1	clara		1	Lara			Theotime	child	Keychild
32196	SIS	sister	si tu veux on www échange				Theotime/239b.cha	1	clara		1	Lara			Theotime	child	Keychild
32197	SIS	sister	je vais te donner un gâteau				Theotime/239b.cha	1	clara		1	Lara			Theotime	child	Keychild
32199	SIS	sister	donne				Theotime/239b.cha	1	clara		1	Lara			Theotime	child	Keychild
32205	SIS	sister	moi je veux pas des miettes hein				Theotime/239b.cha	1	clara		1	Lara			Theotime	child	Keychild
32236	SIS	sister	non				Theotime/239b.cha	1	clara		1	Lara			Theotime	child	Keychild
