%mor:	adv|comme pro:dem|ça
%mor:	co|non=no ?
%mor:	co|non=no ?
%mor:	pro:sub|on pro:obj|le v|jeter-PRES&SUB&13s adv|alors
%mor:	co|bon pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF prep|dans
	det:art|la&f&sg n|chambre&f prep|de ?|tim adv|parce conj|que
	conj|sinon pro:sub|je v|croire&IMP&2s pro:rel|que$pro:sub|elle
	v:mdl|aller&PRES&3s neg|pas pro:y|y v|arriver-INF adv:place|là
%mor:	pro:sub|vous v:mdl|aller&PRES&2p v|parler-INF pro|tous&m&pl
	det:art|les&pl
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:y|y v:aux|avoir&INF
	num|cinquante n|personne&f-PL pro:int|qui v:mdl|aller&PRES&3p
	v|parler-INF
%mor:	co|hein ?
%mor:	co|bon
%mor:	co|allez
%mor:	co|euh pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF co|euh
	v|visiter-INF co|hein
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|fermer-INF det:art|les&pl
	n|fenêtre&f-PL
%mor:	co|hein ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|fermer-INF det:art|les&pl
	n|fenêtre&f-PL ?|tim ?
%mor:	adv|parce adv|que conj|sinon
%mor:	conj|et adv|puis adv|alors pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|un&m&sg n|bazar&m co|non=no
%mor:	pro:sub|elle v:mdl|aller&PRES&3s neg|pas v|arriver-INF prep|à
	v|marcher-INF prep|dans co|la
%mor:	co|non=no
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|trop prep|de n|bruit&m
%mor:	adv|mais det:art|un&m&sg
%mor:	conj|et pro:dem|ça adv:place|là ?
%mor:	?|qu'estce adv|que pro:obj|te$v:poss|avoir&PRES&2s
	v:mdl|faire-PRES&12s ?|tim ?
%mor:	pro:obj|te$v:poss|avoir&PRES&2s adv|tout part|déchirer-PP&m
	pro:dem|ça adv:place|là ?
%mor:	co|oui=yes n|mai&m-PL pro:dem|ce$v:aux|être&PRES&3s prep|pour
	det:art|les&pl det:art|les&pl n|parent&m-PL pro:dem|ça
%mor:	co|ah co|ben co|oui=yes n|mai&m-PL pro|moi&sg pro:dem|ça
	v:mdl|pouvoir&PRES&3s pro:obj|me$v|intéresser-INF ?|peutêtre
%mor:	co|bon pro:dem|ça adv|d'accord
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de det:art|la&f&sg n|publicité&f
%mor:	pro:dem|ça pro:refl|se v|jeter-PRES&SUB&13s
%mor:	adv|mais co|hein pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les
	n|chose-PL=thing co|euh
%mor:	v:mdl|falloir&PRES&3s neg|pas v|déchirer-INF neg|ne adv|importe
	pro:int|quoi co|non=no adv|plus co|hein
%mor:	prep|de n|jus&m prep|de n|fruit&m ?
%mor:	co|non=no co|bon neg|pas ?|grandchose
%mor:	co|bon
%mor:	adv|mais det:gen|quelle&f&sg n|boîte&f ?
%mor:	co|mh
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv:place|là n|oui&m
%mor:	adv|effectivement
%mor:	v|tuer-PASS&2s n|raison&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s
%mor:	adv|alors
%mor:	co|ouais=yes co|bah adv:place|là pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv|tellement prep|de
%mor:	co|pfff
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|vouloir&PRES&12s ?
%mor:	conj|ou
%mor:	co|oh co|non=no pro:sub|on pro:obj|le v|ranger-PRES&SUB&13s co|hein
	?
%mor:	co|non=no
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|jouer-INF adv|maintenant ?
%mor:	adv|partout adv|déjà
%mor:	co|ah co|bon ?
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s v:mdl|faire-INF det:art|un&m&sg
	n|peu&m prep|de n|place&f ?
%mor:	co|hein adv|parce adv|que v|regarder-PRES&SUB&13s pro:dem|ça
	adv:place|là
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s prep|plus v|bouger-INF prep|dans
	det:poss|ta&f&sg v|chambrer-PRES&SUB&13s adv|bientôt
%mor:	chi|hi
%mor:	v|regarder-IMP&2s ?|picoti
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|le v|mettre-INF
	prep|dans det:poss|ta&f&sg n|bibliothèque&f ?
%mor:	co|allez
%mor:	pro:sub|on v:aux|avoir&PRES&3s adv|beaucoup prep|de n|place&f
	part|taire-PP&m v|trouver-PRES&SUB&2s
%mor:	co|allez v|tenir-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:refl|se v|mettre-INF prep|sur
	co|la
%mor:	pro:sub|on n|marche&f neg|pas
%mor:	adv|d'accord
%mor:	co|ah part|taire-PP&m v:mdl|devoir&PRES&12s v:mdl|pouvoir&INF
	pro:y|y v|arriver-INF co|hein
%mor:	v|regarder-IMP&2s
%mor:	co|mh
%mor:	co|ah
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|de&les
	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|mur&m-PL prep|de&les
	n|créneau&m-PL prep|pour v:mdl|faire-INF prep|de&les n|château&m-PL
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|éteindre-INF det:art|le$n|eau&f
	prep|de&le n|café&m
%mor:	co|oui=yes
%mor:	adv|mais pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|qui
	pro:int|qui v:aux|avoir&IMPF&3s part|arracher-PP&m pro:dem|ça ?
%mor:	co|hein
%mor:	co|oui=yes n|mai&m-PL det:art|une&f&sg n|fois&f prep|que
	pro:dem|ce$v:aux|être&PRES&3s part|arracher-PP&m pro:sub|on
	v:mdl|pouvoir&PRES&3s prep|plus det:art|le&m&sg re#v|mettre-INF
%mor:	co|hein ?
