annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
1	18779	2448	16649	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	You'll kick another thing don't do like this	1	emilie							utlaraha ntho enngwe ska etsa tjena	Sesotho	u-tla-rah-a ntho e-n-ngwe ska ets-a tjena	sm2s-t^f1-kick-m^in thing(9,10) 9-9-aj ng do-m^i av	utlaraha ntho enngwe ska etsa tjena	2674488	pfx-pfx-v-sfx n pfx-pfx-aj ng v-sfx av	96.253	99.251	96.253	99.251	Sesotho	MHL	sme	u1	NA	NA	NA	Mother	16649	1	18_63.41	020800ef.cha	Hlobohang	Hlobohang-020800ef.cha	mother	Keychild	CDS
1	18781	2448	16649	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Hey! You are scaring me you	1	emilie							hae uantSosa wena	Sesotho	hae u-a-n-tSos-a wena	ij sm2s-t^p-om1s-fear/c-m^in 2s	hae uantSosa wena	2674490	ij pfx-pfx-pfx-v-sfx pn	103.36	122.279	103.36	122.279	Sesotho	MHL	sme	u3	NA	NA	NA	Mother	16649	1	18_63.41	020800ef.cha	Hlobohang	Hlobohang-020800ef.cha	mother	Keychild	CDS
1	18784	2448	16649	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Yoo!	1	emilie							joo	Sesotho	joo	ij	joo	2674493	ij	131.757	138.754	131.757	138.754	Sesotho	MHL	sme	u6	NA	NA	NA	Mother	16649	2	18_63.41	020800ef.cha	Hlobohang	Hlobohang-020800ef.cha	mother	Keychild	CDS
1	18785	2448	16649	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	I'm tired you you know	1	emilie							kekhathetse wena uatseba	Sesotho	ke-khathets-e wena u-a-tseb-a	sm1s-tire/t^pf-m^in 2s sm2s-t^p-know-m^pt	kekhathetse wena uatseba	2674494	pfx-v-sfx pn pfx-pfx-v-sfx	138.754	142.921	138.754	142.921	Sesotho	MHL	sme	u7	NA	NA	NA	Mother	16649	2	18_63.41	020800ef.cha	Hlobohang	Hlobohang-020800ef.cha	mother	Keychild	CDS
1	18786	2448	16649	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	You really scare me	1	emilie							untSosa kannete	Sesotho	u-n-tSos-a kannete	sm2s-t^p.om1s-fear/c-m^in av	untSosa kannete	2674495	pfx-pfx-v-sfx av	138.754	142.921	138.754	142.921	Sesotho	MHL	sme	u8	NA	NA	NA	Mother	16649	2	18_63.41	020800ef.cha	Hlobohang	Hlobohang-020800ef.cha	mother	Keychild	CDS
1	18788	2448	16649	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Yes you really scare me	1	emilie							e untSosa kannete	Sesotho	e u-n-tSos-a kannete	ij sm2s-t^p.om1s-fear/c-m^in av	e untSosa kannete	2674497	ij pfx-pfx-v-sfx av	144.6	147.092	144.6	147.092	Sesotho	MHL	sme	u10	NA	NA	NA	Mother	16649	2	18_63.41	020800ef.cha	Hlobohang	Hlobohang-020800ef.cha	mother	Keychild	CDS
1	18790	2448	16649	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Yes really	1	emilie							e kannete	Sesotho	e kannete	ij av	e kannete	2674499	ij av	149.6	151.402	149.6	151.402	Sesotho	MHL	sme	u12	NA	NA	NA	Mother	16649	2	18_63.41	020800ef.cha	Hlobohang	Hlobohang-020800ef.cha	mother	Keychild	CDS
1	18792	2448	16649	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Yes	1	emilie							e	Sesotho	e	ij	e	2674501	ij	155	156.249	155	156.249	Sesotho	MHL	sme	u14	NA	NA	NA	Mother	16649	2	18_63.41	020800ef.cha	Hlobohang	Hlobohang-020800ef.cha	mother	Keychild	CDS
1	18794	2448	16649	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Yes you really scared me	1	emilie							e wantSosa kannete	Sesotho	e wa-n-tSos-a kannete	ij sm2s/t^np-om1s-fear/c-m^in av	e wantSosa kannete	2674503	ij pfx-pfx-v-sfx av	160	162.337	160	162.337	Sesotho	MHL	sme	u16	NA	NA	NA	Mother	16649	2	18_63.41	020800ef.cha	Hlobohang	Hlobohang-020800ef.cha	mother	Keychild	CDS
1	18797	2448	16649	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	No	1	emilie							ae	Sesotho	ae	ij	ae	2674506	ij	175.806	179.891	175.806	179.891	Sesotho	MHL	sme	u19	NA	NA	NA	Mother	16649	2	18_63.41	020800ef.cha	Hlobohang	Hlobohang-020800ef.cha	mother	Keychild	CDS
