%mor:	pro:dem|ça ?
%mor:	part|taire-PP&m n|tape&f-PL pro:dem|ça
%mor:	adv|comme pro:dem|ça part|taire-PP&m v:mdl|faire-PRES&12s ?
%mor:	adv|comme pro:dem|ça ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s dé#part|chaîner-PP&f ?
%mor:	co|ouais=yes
%mor:	co|ouais=yes
%mor:	part|taire-PP&m det:art|le&m&sg v|gonfler-PRES&SUB&2s ?
%mor:	part|taire-PP&m v|arriver-PRES&SUB&2s neg|pas ?
%mor:	pro|moi&sg pro:sub|je$v|arriver-IMP&2s neg|pas co|non=no qn|plus
%mor:	adv:int|pourquoi pro:y|y v:aux|avoir&PRES&3s pro|tous&m&pl
	det:poss|tes&pl n|doudou&m-PL=blankie adv:place|là ?
%mor:	pro:sub|je$pro:y|y v|arriver-PRES&SUB&13s
%mor:	v:mdl|falloir&PRES&3s pro:rel|que pro:sub|je pro:obj|me n|baisse&f
	pro:int|quoi
%mor:	prep|de pro:rel|quoi ?
%mor:	pro:sub|je v|comprendre-PRES&IMP&12s neg|pas pro:dem|ce adv|que
	part|taire-PP&m pro:obj|me$v:poss|avoir&PRES&2s v|dire-PRES&PASS&12s
%mor:	n|papa&m pro:sub|il v:aux|être&PRES&3s
%mor:	co|non=no
%mor:	pro:sub|il v:aux|être&PRES&3s prep|à&le n|boulot&m n|papa&m
%mor:	co|oui=yes
%mor:	pro:sub|il v:aux|être&PRES&3s prep|à&le n|boulot&m n|papa&m
%mor:	pro:sub|il v|emmener-IMP&2s ?|chl prep|à det:art|le$n|école&f
%mor:	co|ah co|bon
%mor:	pro:sub|il
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où adv|alors ?
%mor:	prep|à det:art|le$n|école&f prep|avec ?|chl ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|voir&INF det:art|les&pl
	n|photo&f-PL ?
%mor:	part|taire-PP&m v|venir-PRES&12s pro:obj|me v|montrer-INF ?
%mor:	part|taire-PP&m pro:obj|me n|montre&f-PL ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	?|hélène ?
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où ?|hélène ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s ?|hélène ?
%mor:	conj|et adv|puis
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça ?
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	adv|alors
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s
	det:poss|ta&f&sg n|maîtresse&f ?
%mor:	n|comment&m ?
%mor:	?|raphael
%mor:	conj|et pro:dem|ça
%mor:	v|marier-PASS&3s
%mor:	?|victor
%mor:	?|estelle
%mor:	?|sydney
%mor:	conj|et pro:dem|ça adv:place|là ?
%mor:	?|anais
%mor:	conj|et adv:place|là ?
%mor:	?|maéva
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ta&f&sg n|copine&f ?|maéva ?
%mor:	?|estelle adv|aussi ?
%mor:	pro:sub|elle v:aux|être&PRES&3s neg|pas adv:place|là ?|lisa ?
%mor:	?|ewan pro:sub|il v:aux|être&PRES&3s neg|pas adv:place|là ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui pro:dem|ça ?
%mor:	?|christelle
%mor:	co|oui=yes
%mor:	?|sydney
%mor:	adv|ensuite
%mor:	?|anais
%mor:	?|maéva
%mor:	n|louis&m
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	?|eléonor
%mor:	conj|et pro:dem|ça ?
%mor:	part|PPRE
%mor:	conj|et adv:place|là ?
%mor:	v|attendre-IMP&2s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas
%mor:	?|tiago
%mor:	conj|et adv:place|là ?
%mor:	n|oméga&m
%mor:	conj|et adv:place|là ?
