utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
11744	MOT	mother	ouais .	add à FAT		add à FAT 	Anae/2123.cha	FAT	clara						Anae	mother	Adult
11746	MOT	mother	< tu [/] t(u) as un [/] un truc à aller chercher à la poste .	add à FAT		add à FAT 	Anae/2123.cha	FAT	clara						Anae	mother	Adult
11748	MOT	mother	< euh (.) demain .			 	Anae/2123.cha	FAT	clara						Anae	mother	Adult
11750	MOT	mother	< xxx .	add à FAT		add à FAT 	Anae/2123.cha	FAT	clara						Anae	mother	Adult
11830	MOT	mother	xxx un ptit peu				Anae/2123.cha	FRI	c						Anae	mother	Adult
11832	MOT	mother	xxx internet alors				Anae/2123.cha	FRI	c						Anae	mother	Adult
11835	MOT	mother	ta [/] ta filleule qui fait un gâteau .			 	Anae/2123.cha	FRI	clara						Anae	mother	Adult
12019	MOT	mother	qu'est-ce tu veux ?	add à FAT qui est à l'extérieur	%act MOT ferme la porte	add à FAT qui est à l'extérieur %act MOT ferme la porte	Anae/2123.cha	FAT	clara		FAT	Lara			Anae	mother	Adult
12021	MOT	mother	si il te plaît .	add à FAT		add à FAT 	Anae/2123.cha	FAT	clara		FAT	Lara			Anae	mother	Adult
13156	MOT	mother	< bah non [=! signe non de la tête] .	add à FAT		add à FAT 	Anae/2123.cha	FAT	clara		FAT	Lara			Anae	mother	Adult
13157	MOT	mother	j'irai le chercher .			 	Anae/2123.cha	FAT	clara		FAT	Lara			Anae	mother	Adult
