utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
34493	MOT	mother	ah bah ils disent un pingouin mais //			%sit  Tim et sa mère regarde un livre /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34494	MOT	mother	et ça c'est quoi?			%sit  la mère de Tim lui montre une image du livre /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34496	MOT	mother	mh				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34497	MOT	mother	un perroquet				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34499	MOT	mother	là?				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34501	MOT	mother	une souris			%sit  la mère de Tim lui montre une image /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34504	MOT	mother	ah				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34509	MOT	mother	un rhinocéros				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34510	MOT	mother	tu as des moustaches de lait toi			%sit  la mère de Tim lui essuie la bouche Tim regarde toujours le livre /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34512	MOT	mother	et oui tu as mangé du xxx des céréales				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34513	MOT	mother	on n' a pas nettoyé la bouche			%sit  la soeur de Tim parle 28673348/Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34517	MOT	mother	et ça a fait quoi?				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34518	MOT	mother	ça a fait de là				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34520	MOT	mother	oui				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34522	MOT	mother	et ça a fait de la mousse?			%sit  la mère de Tim lui met le doigt sur ses moustaches de lait /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34524	MOT	mother	oui				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34527	MOT	mother	alors celuilà +				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34528	MOT	mother	mais regarde il sont déjà coloriés Tim				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34529	MOT	mother	qui a colorié?			%sit  Tim revient dans la chambre /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34531	MOT	mother	c'est Amé?			%sit  la soeur de Tim parle /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34533	MOT	mother	www			%sit  la soeur de Tim parle /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34536	MOT	mother	www				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34541	MOT	mother	Eustache				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34544	MOT	mother	regarde c'est Eustache			%sit  la mère de Tim lui montre son livre Tim le regarde sa soeur parle 19681172/Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34552	MOT	mother	des comment?				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34554	MOT	mother	coloriage			%sit  Tim sort de sa chambre /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34555	MOT	mother	non mais viens Tim				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34557	MOT	mother	pourquoi non?				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34559	MOT	mother	on fera après				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34560	MOT	mother	on peut pas le faire maintenant				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34562	MOT	mother	il y a du monde dans la cuisine				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34563	MOT	mother	attends qu'on te voit au moins faire ton caprice			%sit  la mère de Tim ouvre la porte /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34567	MOT	mother	ici?				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34569	MOT	mother	et tu sais que tu as plein d'autres livres là qu'on t'a prêté				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34571	MOT	mother	on pourrait les regarder quand même				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34575	MOT	mother	tous ces livres là				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34576	MOT	mother	regarde le livre sur les couleurs				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34578	MOT	mother	regarde celuilà			%sit  la mère de Tim attrape un livre /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34579	MOT	mother	oh				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34580	MOT	mother	oh				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34581	MOT	mother	qu'estce qu'il est beau				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34583	MOT	mother	les grands livres de la petite souris				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34594	MOT	mother	tu veux que je te le lise?				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34596	MOT	mother	alors			%sit  la mère de Tim tourne la page /Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34597	MOT	mother	petit			%sit  Tim regarde son livre sa soeur parle 2353472496/Theotime/2422a.cha	Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34599	MOT	mother	petit www ours se réveille www				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34600	MOT	mother	il a encore un peu sommeil				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34601	MOT	mother	allez il faut se lever				Theotime/2422a.cha	1	clara						Theotime	mother	Keychild
34602	MOT	mother	la journée va commencer				Theotime/2422a.cha	1							Theotime	mother	Keychild
