%mor:	conj|et adv|aussi det:art|le&m&sg n|noël prep|de ?|jack
%mor:	det:art|le&m&sg n|noël prep|de ?|jack
%mor:	adj|tien&m-PL ?|anaé v|tenir-IMP&2s
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que pro:sub|je
	pro:obj|te v|lire-PRES&SUB&13s ?
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s v:mdl|aller&INF prep|sur
	det:poss|mes&pl n|genou&m-PL ?|anaé co|hein ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chien&m
%mor:	co|bouh
%mor:	co|bouh
%mor:	det:art|une&f&sg n|étoile&f
%mor:	co|bravo n|tout&m det:art|le&m&sg n|monde&m
	pro:obj|te$v|applaudir-PASS&3s on|plap on|plap
%mor:	pro:sub|elle v:aux|être&PRES&3s prep|dans det:art|la&f&sg
	n|maison&f prep|en n|gâteau&m
%mor:	co|ah conj|et pro:dem|ça adv|aussi
%mor:	?|hansel v:mdl|devoir&IMPF&3s ?|gretel v:mdl|devoir&IMPF&3s
	v|passer-INF prep|de&les n|coup&m-PL=blow prep|de n|balai&m
%mor:	conj|et conj|et ?|gretel v|manger-IMPF&3s adv|beaucoup prep|de
	n|gâteau&m-PL prep|dans det:poss|sa&f&sg n|cage&f
%mor:	co|mmh pro:sub|je pro:obj|te n|lis&m ?
%mor:	v|entrer-PRES&SUB&13s prep|dans det:art|le&m&sg n|four&m prep|pour
	v|voir&INF adv|si pro:sub|il v:aux|être&PRES&3s n|bien&m adj|gros&m
%mor:	pro:sub|je neg|ne v:mdl|savoir&PRES&12s neg|pas adv|comment
	pro:sub|on part|faire-PP&m
%mor:	n|montre&f pro|moi&sg
%mor:	adv|alors det:art|la&f&sg n|sorcier&f pro:refl|se v|glisser-PASS&3s
	prep|dans det:art|le&m&sg n|four&m
%mor:	?|hansel co|la v|pousser-PASS&3s
%mor:	?|gretel co|la v|pousser-PASS&3s
%mor:	re#v|fermer-PASS&3s det:art|la&f&sg n|porte&f=door
%mor:	v|allumer-PASS&3s det:art|le&m&sg n|feu&m
