annotation1	utterance_id	session_id	speaker_id	uniquespeaker_id_fk	speaker_name	speaker_age	speaker_gender	speaker_role_raw_OLD	speaker_role_raw	speaker_macrorole	sentence_type	english_translation	annotation1_OLD	annotatorName1	commentsAnnotation1	annotation2_OLD	annotation2	annotatorName2	commentsAnnotation2	Diff_annotations	utterance	language	utterance_morphemes	utterance_gloses_raw	utterance_raw	utterance_id.1	utterance_poses_raw	start	end	start_raw	end_raw	corpus	speaker_label	languages_spoken	utterance_id_source	birthdate	speaker_age_in_days	speaker_addressee	speaker_role_OLD	speaker_id.1	MinuteofUtterance	TotalRecordingTime	session_CHILDES	keychild	session	speaker	role_adressee	register
885	6551	2424	16471	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	give me a washing basin Mololo	885	emilie		885	885	clara			mphe vaskomo Mololo	Sesotho	m-ph-e vaskomo Mololo	om1s-give-m^i basin(9,10) a_name	mphe vaskomo Mololo	2662260	pfx-v-sfx n ???	1.884.579	1.887.616	1.884.579	1.887.616	Sesotho	MHL	sme	u598	NA	NA	NA	Mother	16471	31	6_95.21	020400ab.cha	Hlobohang	Hlobohang-020400ab.cha	mother	Cousin	OCDS
889	6680	2425	16477	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Take away that milk Ntsoaki	889	emilie							tlosa lebese leo Ntsoaki	Sesotho	tl-os-a le-bese leo Ntsoaki	come-rv/c-m^i 5-milk(5,6) 5 a_name	tlosa lebese leo Ntsoaki	2662389	v-sfx-sfx pfx-n d ???	3.111.387	3.125.303	3.111.387	3.125.303	Sesotho	MHL	sme	u70	NA	NA	NA	Mother	16477	51	6_95.21	020400ab.cha	Hlobohang	Hlobohang-020400ab.cha	mother	Cousin	OCDS
889	6682	2425	16477	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	You bring me a stick outside	889	emilie							utlontlele le phafa kantle	Sesotho	u-tlo-n-tl-el-e le phafa kantle	sm2s-t^f2-om1s-come-ap-m^in cj whip(9,10) loc	utlontlele le phafa kantle	2662391	pfx-pfx-pfx-v-sfx-sfx cj n loc	3.126.758	3.141.123	3.126.758	3.141.123	Sesotho	MHL	sme	u72	NA	NA	NA	Mother	16477	52	6_95.21	020400ab.cha	Hlobohang	Hlobohang-020400ab.cha	mother	Cousin	OCDS
889	6683	2425	16477	884	Mahlobohang	NA	Female	Mother	Mother	Adult	question	Are you going outside ?	889	emilie							uya kantle	Sesotho	u-y-a kantle	sm2s-t^p_go-m^in loc	uya kantle	2662392	pfx-v-sfx loc	3140.6	3.142.098	3140.6	3.142.098	Sesotho	MHL	sme	u73	NA	NA	NA	Mother	16477	52	6_95.21	020400ab.cha	Hlobohang	Hlobohang-020400ab.cha	mother	Cousin	OCDS
889	6686	2425	16477	884	Mahlobohang	NA	Female	Mother	Mother	Adult	question	What are you going to pick out ?	889	emilie							uilokhetha eng	Sesotho	u-ilo-kheth-a eng	sm2s-t^f4-choose-m^in wh	uilokhetha eng	2662395	pfx-pfx-v-sfx wh	3143.6	3144.96	3143.6	3144.96	Sesotho	MHL	sme	u76	NA	NA	NA	Mother	16477	52	6_95.21	020400ab.cha	Hlobohang	Hlobohang-020400ab.cha	mother	Cousin	OCDS
889	6688	2425	16477	884	Mahlobohang	NA	Female	Mother	Mother	Adult	question	Don't you know how to pick them out here ?	889	emilie							ha utsebe hokhethela moo	Sesotho	ha u-tseb-e ho-kheth-el-a moo	ng sm2s-t^p_know-m^x if-choose-ap-m^pt loc	ha utsebe hokhethela moo	2662397	ng pfx-v-sfx pfx-v-sfx-sfx loc	3146	3.147.753	3146	3.147.753	Sesotho	MHL	sme	u78	NA	NA	NA	Mother	16477	52	6_95.21	020400ab.cha	Hlobohang	Hlobohang-020400ab.cha	mother	Cousin	OCDS
889	6784	2425	16477	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	You hit him Ntsoaki	889	emilie							umootle Ntsoaki	Sesotho	u-mo-otl-e Ntsoaki	sm2s-om1-t^p_beat-m^s a_name	umootle Ntsoaki	2662493	pfx-pfx-v-sfx ???	3488.8	3.490.902	3488.8	3.490.902	Sesotho	MHL	sme	u174	NA	NA	NA	Mother	16477	58	6_95.21	020400ab.cha	Hlobohang	Hlobohang-020400ab.cha	mother	Cousin	OCDS
889	6812	2425	16477	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	No please	889	emilie							aa hle	Sesotho	aa hle	ij ij	aa hle	2662521	ij ij	3.568.161	3.574.532	3.568.161	3.574.532	Sesotho	MHL	sme	u202	NA	NA	NA	Mother	16477	59	6_95.21	020400ab.cha	Hlobohang	Hlobohang-020400ab.cha	mother	Cousin	OCDS
889	6817	2425	16477	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	Ntsoaki please pick out these peas	889	emilie							Ntsoaki ake ukhethe dierekise tsena	Sesotho	Ntsoaki ake u-kheth-e di-erekise tsena	a_name ij sm2s-t^p_choose-m^s 10-pea(9,10) 10	Ntsoaki ake ukhethe dierekise tsena	2662526	??? ij pfx-v-sfx pfx-n d	3.585.814	3.590.322	3.585.814	3.590.322	Sesotho	MHL	sme	u207	NA	NA	NA	Mother	16477	59	6_95.21	020400ab.cha	Hlobohang	Hlobohang-020400ab.cha	mother	Cousin	OCDS
889	6818	2425	16477	884	Mahlobohang	NA	Female	Mother	Mother	Adult	default	See this fool	889	emilie							bonang sehole sena	Sesotho	bon-ang se-hole sena	see-m^ip 7-cripple(7,8) 7	bonang sehole sena	2662527	v-sfx pfx-n d	3.590.322	3.594.478	3.590.322	3.594.478	Sesotho	MHL	sme	u208	NA	NA	NA	Mother	16477	59	6_95.21	020400ab.cha	Hlobohang	Hlobohang-020400ab.cha	mother	Cousin	OCDS
